variant,scenes,full_scenes,total_K,total_N,clearance_rate,mean_T,mean_T_over_K,mean_movement_s,mean_move_m,mean_n_measure,mean_failed_clear,mean_n_switch,mean_n_safe,mean_discovery_measure,mean_refine_measure,mean_wall_s,pooled_T_over_K,p95_T_over_K,rank_eligible
ORIGINAL,420,420,5460,5460,1.0,4850.955869085648,379.60199939018304,3840.151107180887,19200.755535904435,136.26190476190476,43.22857142857143,134.8095238095238,2.3142857142857145,84.06904761904762,52.19285714285714,14.659351932142453,373.15045146812656,545.6019340377298,True
COMPACT,420,420,5460,5460,1.0,4642.346572073568,362.70052906927623,3674.546572073567,18372.732860367832,131.00238095238095,39.430952380952384,129.4952380952381,2.219047619047619,84.47619047619048,46.52619047619048,3.7637877607133956,357.1035824671974,543.9966868161972,True
J,420,420,5460,5460,1.0,3571.497661817267,279.28437681244554,2790.1071856267904,13950.535928133953,110.65,18.840476190476192,106.61904761904762,0.9880952380952381,84.36666666666666,26.283333333333335,1.1197741249992672,274.73058937055896,391.45109070333825,True
S,420,420,5460,5460,1.0,3945.686244409726,310.14098542829277,3127.907672981155,15639.538364905773,116.55238095238096,19.65714285714286,111.04523809523809,1.6571428571428573,84.46904761904761,32.083333333333336,1.6801037909519176,303.5143264930555,432.95485734956173,True
O,420,420,5460,5460,1.0,4071.2335658533643,319.1346276941904,3202.490708710507,16012.45354355254,133.5,2.0880952380952382,129.97857142857143,0.02857142857142857,84.47619047619048,49.023809523809526,1.479105771428121,313.1718127579512,437.2982065291961,True
JS,420,420,5460,5460,1.0,3279.3296587251075,257.41532096261375,2499.4653730108225,12497.326865054112,108.27142857142857,23.452380952380953,103.15,2.2261904761904763,84.37380952380953,23.89761904761905,1.2500143371428878,252.25612759423888,364.5545814148569,True
JO,420,420,5460,5460,1.0,3436.982071559948,269.06851522338496,2681.629690607567,13408.148453037838,114.11666666666666,4.142857142857143,107.3404761904762,0.0761904761904762,84.38571428571429,29.73095238095238,1.0243323933333852,264.38323627384204,377.18262552891616,True
SO,420,420,5460,5460,1.0,3824.0378821840054,300.5462094638496,3075.3331202792438,15376.665601396217,113.35714285714286,2.1333333333333333,110.51904761904763,0.030952380952380953,84.50714285714285,28.85,1.313895602142951,294.1567601680006,410.55988254832926,True
JSO,420,420,5460,5460,1.0,3238.0414355971234,254.05321048920862,2518.529530835219,12592.647654176095,107.62380952380953,4.385714285714286,103.23571428571428,0.07857142857142857,84.35238095238095,23.271428571428572,1.0099572871425022,249.08011043054827,351.8142071302852,True
JSO_ALLSCAN,420,420,5460,5460,1.0,4574.241720372994,360.37327608292594,2376.8941013253743,11884.47050662687,353.252380952381,4.938095238095238,351.27142857142854,0.09523809523809523,327.95238095238096,25.3,2.266148632380299,351.8647477209995,534.6708493873435,True
