seed,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_optical_fallback,n_cover_visited,all_certified,failure,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s
1000,11,11,6995.431714625245,635.948337693204,24897.15857312623,7621.800252820161,328,17,0,25,True,,0.4528813000069931,295,284,33,3,1942.9999999999982,73.00000000000034,4979.431714625246,223.34796510035812
1001,16,16,5940.806460492848,371.300403780803,22699.032302464235,13869.05915345914,219,27,0,17,True,,0.6661550000135321,173,157,46,2,1288.0000000000005,113.00000000000146,4539.806460492846,0.0
1002,14,14,6813.542243713573,486.6815888366838,25782.711218567856,9156.130195980299,266,19,0,25,True,,0.5552295000234153,223,209,43,2,1572.0000000000005,85.00000000000222,5156.542243713572,448.7265843465975
1003,12,12,6349.061928922583,529.088494076882,21945.309644612917,9329.847703179805,319,15,0,25,True,,0.33552990001044236,290,278,29,0,1890.999999999999,69.00000000000098,4389.061928922583,681.8561058693149
1004,15,15,6337.9187738990895,422.5279182599393,24589.593869495446,10674.97282343069,226,20,0,25,True,,0.4957329999888316,190,175,36,4,1330.0,90.00000000000058,4917.9187738990895,712.4055301686003
1005,13,13,6854.425609752287,527.2635084424836,25047.12804876144,11034.033623535362,297,21,0,25,True,,0.4580615000159014,256,243,41,7,1756.0000000000007,88.99999999999913,5009.4256097522875,291.954333773936
1006,13,13,6213.162105356321,477.9355465658709,23380.8105267816,9545.30835629926,246,17,0,25,True,,0.35434419999364763,217,204,29,0,1460.0000000000018,76.99999999999946,4676.162105356321,231.79601269744126
1007,10,10,6710.400426194511,671.0400426194511,22497.00213097256,7319.991593005253,363,14,0,25,True,,0.3651304999948479,334,324,29,3,2149.0,61.999999999999375,4499.400426194512,317.5882272318149
1008,12,12,6631.423059054155,552.6185882545129,24342.11529527078,10712.240776355882,286,18,0,25,True,,0.4318048999994062,250,238,36,1,1684.9999999999984,77.9999999999995,4868.423059054156,96.9712523347007
1009,15,15,6892.734805961924,459.51565373079495,25213.674029809623,11983.206045569425,296,22,0,25,True,,0.5373473999788985,260,245,36,2,1754.0,96.00000000000041,5042.734805961926,127.74268955667776
1010,14,14,7141.687979586939,510.12056997049564,25478.439897934695,11742.099498936606,330,19,0,25,True,,0.6607899000227917,282,268,48,5,1961.0000000000011,85.00000000000064,5095.68797958694,0.0
1011,12,12,6687.36248403953,557.2802070032941,23086.81242019766,9227.410941985967,335,17,0,25,True,,0.36333960000774823,306,294,29,2,1995.0000000000002,74.99999999999916,4617.36248403953,308.00853483731953
1012,15,15,6656.566355535811,443.7710903690541,25472.831777679054,11956.947143230625,250,18,0,25,True,,0.573777700017672,207,192,43,2,1478.0000000000002,84.0000000000006,5094.566355535812,180.03161894807
1013,11,11,6372.52470836556,579.3204280332328,22367.623541827794,8296.990057077477,310,13,0,25,True,,0.30625789999612607,284,273,26,3,1838.000000000001,61.000000000001286,4473.5247083655595,85.58899903854126
1014,14,14,7141.3293429608875,510.0949530686348,27316.64671480444,13921.487544656664,270,19,0,25,True,,0.5621553999953903,224,210,46,8,1593.0000000000007,84.99999999999986,5463.3293429608875,257.6985476257478
1015,13,13,6678.016661270233,513.6935893284794,24810.083306351167,8363.94571588582,277,16,0,25,True,,0.5595084000087809,237,224,40,2,1642.0,74.00000000000091,4962.016661270233,773.1151839956719
1016,14,14,6485.117315076607,463.2226653626148,24215.586575383022,9733.516461166604,263,21,0,25,True,,0.45423940001637675,231,217,32,1,1551.0000000000002,91.00000000000153,4843.117315076607,0.0
1017,16,16,6508.2225003598705,406.7639062724919,25441.112501799355,15297.26970797472,225,22,0,19,True,,0.6213600999908522,183,167,42,4,1321.9999999999998,98.00000000000051,5088.22250035987,0.0
1018,16,16,5003.804882381183,312.73780514882395,20394.02441190592,13928.356777454299,142,20,0,13,True,,0.462132400018163,101,85,41,4,832.9999999999999,91.99999999999956,4078.8048823811837,0.0
1019,12,12,6536.568773486733,544.7140644572278,23592.84386743365,8151.5316570508785,296,15,0,25,True,,0.39863689997582696,266,254,30,2,1749.0000000000023,69.00000000000126,4718.568773486731,318.64988015485596
1020,15,15,6514.727922679384,434.3151948452923,24078.639613396917,10698.063947524884,272,21,0,25,True,,0.552642199996626,230,215,42,4,1606.0000000000002,92.99999999999969,4815.727922679383,136.15889640511432
1021,11,11,7025.15119011372,638.6501081921564,25725.7559505686,8716.495362745713,306,17,0,25,True,,0.4043569999921601,273,262,33,7,1807.0000000000011,72.99999999999957,5145.15119011372,610.9332883520101
1022,16,16,7284.321683709404,455.27010523183776,28316.608418547003,17056.01412118504,260,21,0,20,True,,0.6565466000174638,219,203,41,4,1526.0000000000025,95.00000000000082,5663.321683709402,0.0
1023,11,11,6218.566506034569,565.3242278213245,21702.832530172847,7419.3184635226435,305,15,0,25,True,,0.3720895999867935,280,269,25,2,1811.0000000000005,66.999999999999,4340.566506034569,273.3134870386084
1024,13,13,6665.198313037509,512.7075625413469,25085.991565187545,10466.329245757863,265,18,0,25,True,,0.49813170000561513,235,222,30,0,1568.0000000000007,79.99999999999905,5017.198313037511,0.0
1025,15,15,6545.3533883015625,436.3568925534375,25466.766941507816,10722.12665048933,230,21,0,25,True,,0.5542417999822646,191,176,39,3,1358.9999999999998,93.00000000000023,5093.3533883015625,0.0
1026,14,14,7288.162975824768,520.5830697017692,27365.814879123835,11901.050264331814,294,16,0,25,True,,0.41733530000783503,260,246,34,5,1739.0000000000005,76.00000000000027,5473.162975824767,249.16083215148774
