variant,label,cases,source_total,cleared_total,full_success,failures,ratio_sum_T_K,p95_T_over_K,paired_wins,paired_losses,paired_ties,worst_delta_T_over_K,worst_scene,delta_T_over_K,improvement_pct,movement_reduction_pct,probe_reduction_pct,mean_T,mean_T_over_K,mean_move_m,mean_movement_s,mean_n_measure,mean_discovery_measure,mean_refine_measure,mean_discovery_no_signal,mean_refine_no_signal,mean_failed_clears,mean_n_clear,mean_n_optical_fallback,mean_measure_s,mean_clear_s,mean_after_last_clear_s,mean_switches,N
baseline,冻结基线 TRI25 + V4,53,530,530,53,0,686.5579259423511,760.5348546252897,0,0,53,0.0,mixed_endpoint_10020,0.0,0.0,0.0,0.0,6865.579259423511,686.5579259423511,23829.971768815667,4765.994353763134,344.0566037735849,315.9811320754717,28.07547169811321,305.9811320754717,3.7358490566037736,3.9245283018867925,13.924528301886792,0.018867924528301886,2037.811320754717,61.773584905660336,569.8057790540374,317.52830188679246,10
nearest,A 就近任务调度,53,530,530,53,0,719.6249466351162,790.7962427572139,9,44,0,134.74706001137713,mixed_smooth_10029,33.06702069276509,-4.8163482560307,-7.0877608600737885,0.2467781738415109,7196.2494663511625,719.6249466351161,25518.983180812415,5103.796636162484,343.20754716981133,314.0188679245283,29.18867924528302,304.0188679245283,4.018867924528302,4.113207547169812,14.11320754716981,0.03773584905660377,2030.1132075471696,62.33962264150958,1365.9850955792497,314.07547169811323,10
reuse,B 覆盖站复用定位,53,530,530,53,0,684.4717877729643,760.9714893257294,24,16,13,41.3979197834808,omni_endpoint_10044,-2.086138169386834,0.3038546480289228,0.3288443352059689,0.25774609267892323,6844.717877729642,684.4717877729643,23751.60825657275,4750.321651314548,343.1698113207547,316.33962264150944,26.830188679245282,306.33962264150944,3.490566037735849,3.4716981132075473,13.471698113207546,0.018867924528301886,2033.9811320754718,60.41509433962254,595.7890809055149,318.1320754716981,10
early160,C 提前清除（160 m）,53,530,530,53,0,684.7671185854911,762.1035034087372,27,22,4,53.493993199205875,omni_endpoint_10037,-1.7908073568600131,0.2608384943487474,0.2985489958532317,0.41678091582123544,6847.671185854911,684.7671185854911,23758.827627387764,4751.765525477553,342.62264150943395,315.8867924528302,26.735849056603772,305.8867924528302,3.7735849056603774,4.716981132075472,14.716981132075471,0.05660377358490566,2031.754716981132,64.15094339622648,622.9567413355917,318.64150943396226,10
nearest_early,A + C,53,530,530,53,0,711.8032826540826,783.3480331906305,12,41,0,123.62363957029572,mixed_endpoint_10059,25.245356711731386,-3.677090564074459,-5.645751728897652,0.9213051823416474,7118.032826540826,711.8032826540826,25175.352811949408,5035.070562389881,340.8867924528302,314.6792452830189,26.20754716981132,304.6792452830189,3.69811320754717,4.320754716981132,14.320754716981131,0.0,2020.0,62.96226415094356,1406.5723225654924,315.5660377358491,10
nearest_reuse,A + B,53,530,530,53,0,714.2229656148405,783.8430939755577,9,44,0,112.13744763566206,mixed_endpoint_10059,27.665039672489566,-4.029527389770826,-5.989552154089672,0.2796819303537257,7142.229656148405,714.2229656148406,25257.28035621373,5051.4560712427465,343.0943396226415,314.1698113207547,28.92452830188679,304.1698113207547,3.8679245283018866,3.5283018867924527,13.528301886792454,0.018867924528301886,2030.1886792452829,60.584905660377494,1297.3122663134855,314.7169811320755,10
reuse_early,B + C,53,530,530,53,0,683.9731209349809,758.4961576403973,28,24,1,47.083319754170816,mixed_smooth_10047,-2.5848050073701105,0.376487534365344,0.5039422964379314,0.32903756512202564,6839.7312093498085,683.9731209349809,23709.88246184339,4741.976492368678,342.92452830188677,316.79245283018867,26.132075471698112,306.79245283018867,3.69811320754717,4.452830188679245,14.452830188679245,0.05660377358490566,2034.3962264150944,63.35849056603786,617.013803411641,319.77358490566036,10
full,A + B + C,53,530,530,53,0,705.5551581202761,781.4107332408859,14,39,0,111.9032777670244,mixed_endpoint_10059,18.997232177925056,-2.767025397288969,-4.623372667150405,1.6122840690978912,7055.551581202762,705.5551581202762,24931.720170164754,4986.344034032951,338.50943396226415,312.7169811320755,25.79245283018868,302.7169811320755,3.3962264150943398,4.320754716981132,14.320754716981131,0.0,2006.245283018868,62.962264150943554,1277.3686963803657,313.6981132075472,10
center_route,按源中心规划联合路线,53,530,530,53,0,677.1513530001913,777.8840404648092,36,17,0,71.51156650744781,boundary_endpoint_10047,-9.406572942159734,1.3701062338255965,1.2967195067993265,1.7768028516589096,6771.513530001913,677.1513530001912,23520.963876424667,4704.192775284933,337.9433962264151,316.2641509433962,21.67924528301887,306.2641509433962,3.7547169811320753,3.6792452830188678,13.679245283018869,0.0,2006.2830188679245,61.03773584905647,643.8749439990713,316.5660377358491,10
probe_off,关闭已发现频道顺路探测,53,530,530,53,0,704.6453268246742,760.5348546252897,4,44,5,104.92067837890306,mixed_smooth_10029,18.087400882323152,-2.6345047080327477,-3.7072081178283645,-0.1316150260487925,7046.453268246742,704.6453268246743,24713.39841670541,4942.679683341083,344.50943396226415,316.64150943396226,27.867924528301888,306.64150943396226,3.943396226415094,5.0,15.0,0.1509433962264151,2038.7735849056603,65.00000000000014,603.8520044438334,316.22641509433964,10
