variant,label,cases,source_total,cleared_total,full_success,failures,ratio_sum_T_K,p95_T_over_K,paired_wins,paired_losses,paired_ties,worst_delta_T_over_K,worst_scene,delta_T_over_K,improvement_pct,movement_reduction_pct,probe_reduction_pct,mean_T,mean_T_over_K,mean_move_m,mean_movement_s,mean_n_measure,mean_discovery_measure,mean_refine_measure,mean_discovery_no_signal,mean_refine_no_signal,mean_failed_clears,mean_n_clear,mean_n_optical_fallback,mean_measure_s,mean_clear_s,mean_after_last_clear_s,mean_switches,source_kind,error_mode
nearest,A 就近任务调度,50,635,635,50,0,604.4431576444746,769.4412548164249,18,32,0,76.55078574239838,boundary_endpoint_10006,4.87667073537855,-0.7965011053618909,-1.2239051805760237,0.5812458206882365,7676.4281020848275,617.1383113721304,26562.340510424143,5312.468102084829,386.56,360.84,25.72,348.14,9.34,2.82,15.52,0.02,2291.9999999999995,71.96000000000014,142.23475266474267,359.2,boundary,endpoint
baseline,冻结基线 TRI25 + V4,50,635,635,50,0,600.3602114862686,757.252235064291,0,0,50,0.0,boundary_endpoint_10000,0.0,0.0,0.0,0.0,7624.57468587561,612.2616406367517,26241.173429378046,5248.23468587561,388.82,361.72,27.1,349.02,10.46,2.96,15.66,0.02,2303.96,72.38000000000022,151.67101557885303,359.86,boundary,endpoint
reuse,B 覆盖站复用定位,50,635,635,50,0,599.2132934660596,755.2786539324134,21,19,10,23.598361540407836,boundary_endpoint_10032,-0.85479970165145,0.13961346668110997,0.2192329334589016,0.13888174476621717,7610.008827018956,611.4068409351001,26183.644135094797,5236.728827018957,388.28,361.16,27.12,348.46,10.62,2.9,15.6,0.02,2301.0799999999995,72.20000000000009,117.33350115829047,359.68,boundary,endpoint
nearest_reuse,A + B,50,635,635,50,0,605.7836945177216,769.4412548164249,18,32,0,76.55078574239838,boundary_endpoint_10006,5.959041389938212,-0.9732834779165422,-1.4274939857602087,0.30862609948048014,7693.452920375064,618.2206820266899,26615.76460187533,5323.152920375066,387.62,361.92,25.7,349.22,9.28,2.84,15.54,0.02,2298.2799999999993,72.02000000000007,137.07535648943258,360.18,boundary,endpoint
nearest_early,A + C,50,635,635,50,0,605.5090536392041,764.1972439895325,19,31,0,76.55078574239838,boundary_endpoint_10006,6.0009692631698694,-0.9801315099422059,-1.500510172577063,0.7972840903245682,7689.964981217892,618.2626098999217,26634.924906089458,5326.984981217891,385.72,360.46,25.26,347.76,9.0,4.04,16.74,0.02,2287.359999999999,75.62000000000016,138.9341401100992,358.76,boundary,endpoint
early160,C 提前清除（160 m）,50,635,635,50,0,603.2570588286596,758.2865073649482,5,32,13,58.349502636429406,boundary_endpoint_10021,3.1742015210645125,-0.5184387376879318,-0.7170022588669722,0.20060696466230876,7661.364647123978,615.4358421578163,26429.323235619886,5285.864647123978,388.04,361.3,26.74,348.6,10.28,4.1,16.8,0.02,2299.6999999999994,75.80000000000013,159.55299278640808,359.5,boundary,endpoint
full,A + B + C,50,635,635,50,0,606.6610309051902,764.1972439895325,18,32,0,76.55078574239838,boundary_endpoint_10006,6.915649886106602,-1.129525259644626,-1.6721890668588202,0.5503832107401796,7704.595092495915,619.1772905228585,26679.975462479568,5335.995092495914,386.68,361.54,25.14,348.84,8.9,4.02,16.72,0.02,2293.0399999999995,75.56000000000009,133.7747439347891,359.64,boundary,endpoint
reuse_early,B + C,50,635,635,50,0,602.9656003838415,755.2786539324134,17,30,3,58.349502636429406,boundary_endpoint_10021,3.1667459694631908,-0.5172210308928893,-0.7848055863436842,0.5246643691168229,7657.663124874787,615.4283866062149,26447.115624373942,5289.423124874788,386.78,359.9,26.88,347.2,10.5,4.1,16.8,0.02,2292.4399999999996,75.80000000000005,136.63350826568603,358.54,boundary,endpoint
probe_off,关闭已发现频道顺路探测,50,635,635,50,0,606.5645487362922,757.252235064291,3,17,30,48.227189826433346,boundary_endpoint_10035,5.989399646164318,-0.9782418575064344,-1.4685906345371702,-0.06686898822076959,7703.36976895091,618.251040282916,26626.548844754543,5325.30976895091,389.08,361.98,27.1,349.28,10.46,2.96,15.66,0.02,2305.6799999999994,72.38000000000012,127.41193800123429,360.28,boundary,endpoint
probe_strict,收紧顺路探测门槛,50,635,635,50,0,602.100695786476,757.252235064291,1,10,39,19.991015748788868,boundary_endpoint_10011,1.614149501801387,-0.26363720910600463,-0.4215541403317369,0.0051437683246668975,7646.678836488245,613.8757901385532,26351.79418244122,5270.358836488245,388.8,361.72,27.08,349.02,10.44,2.96,15.66,0.02,2303.9399999999996,72.38000000000017,151.67101557885303,359.94,boundary,endpoint
