variant,scene_id,seed,source_kind,error_mode,scenario_sha256,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,n_optical_fallback,n_cover_visited,failure,all_certified,n_probe,n_replan,planner_wall_s,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s,failed_clears,switches,accounting_residual_s,full_success,certificate_max_distance_m,certificate_hull_margin_m,event_sha256,n_selective_probe,n_optimistic_attempt,n_early_optical_proposals,n_mass_attempt,n_budget_probe,n_burst_actions,n_local_optical_proposals
baseline,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6952.102071269618,695.2102071269618,24145.510356348088,8750.515811262274,345,18,10,0,25,,True,8,64,0.5096152998739854,0.5435817000106908,315,305,30,3,2048.9999999999995,73.99999999999999,4829.102071269618,1020.4855514512865,8,324,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,4605c0b7c069e3be1ad643e67430b332e45e38f836ffdfc07d0b4e4fbc054449,0,0,0,0,0,0,0
LC,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6340.439893315939,634.0439893315939,21382.199466579692,6423.08447381446,335,17,10,4,25,,True,7,44,0.7588298999762628,0.8035587999911513,319,309,16,1,1993.0000000000007,71.00000000000038,4276.439893315938,214.10450308801683,7,318,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,d58121619e74644d0d03c70daba1b620d57661d2094ea3d2a19746cd0852237e,0,0,0,0,0,0,6
LPC,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6223.574764431494,622.3574764431494,21332.873822157457,6544.992129585078,317,18,10,3,25,,True,11,44,0.5754812998638954,0.6114952999923844,298,288,19,3,1883.0000000000014,74.00000000000074,4266.574764431492,815.4893533954437,8,298,2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,ca8287ccedc276bc0c5d708541983d23d027fd432bf43b1753e1be09bd9408d9,11,0,0,0,11,0,23
previous_best,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6474.010949355806,647.4010949355805,22090.054746779035,6974.108733228809,334,16,10,0,25,,True,9,52,0.7380897999973968,0.7758341000007931,313,303,21,2,1988.0000000000007,67.99999999999963,4418.010949355807,0.0,6,318,-9.094947017729282e-13,True,943.0121947375769,2.074856830987301,c51bf8e8c4c5ddd27453fb78ee4cd8dd6b1f13e50e29669059f995d5891c462d,9,6,0,0,0,0,0
E1,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6307.880699660206,630.7880699660207,21259.40349830102,6293.7246944742865,334,16,10,5,25,,True,7,42,0.9738300999742933,1.0365048000239767,319,309,15,1,1988.0000000000011,68.00000000000037,4251.880699660204,214.10450308801683,6,318,1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,17a33584473623b04704cbb2ba763a3cdfafe868b47e785da4c53c140c5a9411,0,0,0,0,0,0,5
E2,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6307.880699660206,630.7880699660207,21259.40349830102,6293.7246944742865,334,16,10,5,25,,True,7,42,1.0465839000826236,1.1066894000105094,319,309,15,1,1988.0000000000011,68.00000000000037,4251.880699660204,214.10450308801683,6,318,1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,17a33584473623b04704cbb2ba763a3cdfafe868b47e785da4c53c140c5a9411,0,0,0,0,0,0,5
G075,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6340.439893315939,634.0439893315939,21382.199466579692,6423.08447381446,335,17,10,4,25,,True,7,44,0.6933140999171883,0.9034211999969557,319,309,16,1,1993.0000000000007,71.00000000000038,4276.439893315938,214.10450308801683,7,318,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,d58121619e74644d0d03c70daba1b620d57661d2094ea3d2a19746cd0852237e,0,0,0,0,0,0,6
G15,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6340.439893315939,634.0439893315939,21382.199466579692,6423.08447381446,335,17,10,4,25,,True,7,44,0.6001011999323964,0.7820814000151586,319,309,16,1,1993.0000000000007,71.00000000000038,4276.439893315938,214.10450308801683,7,318,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,d58121619e74644d0d03c70daba1b620d57661d2094ea3d2a19746cd0852237e,0,0,0,0,0,0,6
R2,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6340.439893315939,634.0439893315939,21382.199466579692,6423.08447381446,335,17,10,4,25,,True,7,44,0.77469999997993,0.8178133000037633,319,309,16,1,1993.0000000000007,71.00000000000038,4276.439893315938,214.10450308801683,7,318,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,d58121619e74644d0d03c70daba1b620d57661d2094ea3d2a19746cd0852237e,0,0,0,0,0,0,6
R4,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6340.439893315939,634.0439893315939,21382.199466579692,6423.08447381446,335,17,10,4,25,,True,7,44,0.8377770000079181,0.8824044999782927,319,309,16,1,1993.0000000000007,71.00000000000038,4276.439893315938,214.10450308801683,7,318,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,d58121619e74644d0d03c70daba1b620d57661d2094ea3d2a19746cd0852237e,0,0,0,0,0,0,6
