seed,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_optical_fallback,n_cover_visited,all_certified,failure,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s
0,15,15,6947.981357072323,463.19875713815486,26474.90678536161,12236.139380192979,264,18,0,25,True,,0.5636071000189986,233,218,31,5,1568.9999999999986,84.00000000000048,5294.981357072323,208.33113892817437
1,13,13,6512.481342350532,500.96010325773324,23927.406711752665,8811.946665443094,279,15,0,25,True,,0.3715620999864768,251,238,28,5,1655.9999999999993,71.00000000000017,4785.481342350533,173.14763910561487
2,15,15,6622.498102877839,441.4998735251893,26097.49051438919,11205.970475589587,223,16,0,25,True,,0.49591649998910725,195,180,28,1,1325.0000000000011,78.00000000000149,5219.4981028778375,734.936698372273
3,15,15,6579.625437411941,438.64169582746274,25053.127187059705,10451.213358528657,251,16,0,25,True,,0.568885600019712,225,210,26,2,1491.0000000000005,77.9999999999981,5010.625437411942,416.7363182963845
4,15,15,6254.888261318307,416.9925507545538,24024.441306591536,11964.538688361634,230,18,0,25,True,,0.44262990000424907,205,190,25,1,1366.0000000000014,83.99999999999993,4804.888261318305,205.58208771202317
5,14,14,6046.16281408032,431.86877243430854,23030.814070401597,7916.748874815475,231,15,0,25,True,,0.4599693999916781,207,193,24,5,1367.0,73.0000000000003,4606.1628140803205,1498.039886106515
6,13,13,6676.401982736103,513.5693832873925,24942.009913680504,11121.503522980165,272,14,0,25,True,,0.3845568000106141,246,233,26,2,1619.9999999999998,68.00000000000145,4988.401982736103,98.96649247375444
7,16,16,5268.509240934686,329.2818275584179,20572.546204673436,11466.486060291312,179,19,0,17,True,,0.5451246000011452,151,135,28,2,1064.9999999999989,88.99999999999999,4114.509240934688,0.0
8,15,15,6395.34924517055,426.3566163447033,25446.74622585274,10921.600957307966,208,17,0,25,True,,0.5169217999791726,179,164,29,5,1225.0000000000005,81.00000000000004,5089.34924517055,163.41898534744269
9,12,12,8106.022557410714,675.5018797842262,29505.112787053593,14977.99049683403,310,115,1,25,True,,0.5630075999943074,278,266,32,12,1835.9999999999993,368.9999999999996,5901.022557410714,0.0
10,15,15,7601.606089844469,506.7737393229646,29648.030449222355,15480.162438874262,219,117,1,25,True,,0.7050087999959942,187,172,32,9,1291.0000000000016,380.9999999999949,5929.606089844473,1030.6322356283872
11,10,10,6754.951815438308,675.4951815438308,23219.759077191542,7351.115527885735,347,10,0,25,True,,0.27690789999905974,331,321,16,4,2060.999999999999,50.0,4643.951815438309,124.59546792070068
12,14,14,6354.470794247081,453.89077101764866,23802.35397123541,9803.905870185987,255,17,0,25,True,,0.4271034999983385,225,211,30,6,1514.9999999999998,78.99999999999991,4760.470794247082,81.27253475709676
13,16,16,5771.2423825431,360.70264890894373,22591.21191271549,12129.30212799281,197,18,0,20,True,,0.612532300001476,166,150,31,4,1167.0000000000014,86.00000000000084,4518.242382543098,0.0
14,11,11,6559.5963530980835,596.3269411907348,24207.98176549042,8321.247071152651,279,14,0,25,True,,0.7399168999982066,254,243,25,7,1653.9999999999995,63.999999999999574,4841.596353098084,811.8061341231833
15,16,16,6009.894253824816,375.618390864051,23339.471269124067,10909.495635523417,211,19,0,20,True,,0.5255863000056706,178,162,33,4,1253.0000000000016,89.00000000000182,4667.894253824815,0.0
16,13,13,6667.068055344949,512.8513888726884,24385.340276724746,10624.600881620485,289,16,0,25,True,,0.3458379000076093,259,246,30,4,1715.9999999999984,74.00000000000011,4877.06805534495,434.0342643372742
17,15,15,8032.877953700605,535.5251969133736,30924.38976850301,16569.255922190438,249,114,1,25,True,,0.5702228999871295,215,200,34,11,1475.9999999999995,372.0000000000096,6184.877953700607,238.4878817815652
18,16,16,5679.527083063069,354.9704426914418,23002.635415315344,13244.375491095983,166,21,0,17,True,,0.5494133000029251,137,121,29,3,983.9999999999991,94.99999999999969,4600.527083063071,0.0
19,14,14,6671.465007632196,476.53321483087115,25417.32503816098,10759.362374603983,255,17,0,25,True,,0.626781300001312,231,217,24,5,1508.9999999999995,78.99999999999997,5083.465007632198,128.83519611188785
20,16,16,6487.882717951368,405.4926698719605,25799.413589756834,15519.355647844002,204,31,1,18,True,,0.791533099982189,163,147,41,15,1203.0000000000005,125.00000000000064,5159.882717951368,0.0
21,12,12,8025.536160597412,668.7946800497843,30292.680802987106,14868.104385370569,271,113,1,25,True,,0.4022302000084892,242,230,29,10,1603.9999999999982,362.9999999999938,6058.536160597422,179.44230469544254
22,15,15,8596.946546298193,573.1297697532129,32874.73273149102,18504.291897121817,259,154,2,25,True,,0.614044499990996,222,207,37,16,1529.9999999999998,491.99999999999517,6574.946546298194,0.0
23,10,10,6935.88988463478,693.588988463478,24359.449423173915,9063.124597484013,338,12,0,25,True,,0.24851410000701435,320,310,18,3,2007.9999999999982,55.999999999998614,4871.889884634784,405.5021013810574
24,12,12,6496.696542908595,541.3913785757162,24658.482714542984,9712.802283900932,253,15,0,25,True,,0.3503981000103522,229,217,24,2,1495.9999999999993,68.9999999999995,4931.696542908595,895.7318824441982
25,13,13,6396.511052310116,492.03931171616273,24142.55526155058,9401.523752174287,252,17,0,25,True,,0.49129969999194145,227,214,25,2,1491.0000000000005,76.99999999999989,4828.511052310115,0.0
26,16,16,7308.652285456325,456.79076784102034,28258.26142728168,17807.731511048394,218,113,1,20,True,,0.784040600003209,181,165,37,11,1285.9999999999984,370.999999999997,5651.652285456329,0.0
27,10,10,6822.736308092567,682.2736308092567,23923.681540462836,9070.9206657034,333,13,0,25,True,,0.3876378000131808,312,302,21,2,1978.9999999999995,59.0000000000007,4784.736308092566,227.33190643071885
28,14,14,6739.681533606495,481.40582382903534,24113.40766803247,8077.204857759965,309,16,0,25,True,,0.4315204000158701,287,273,22,2,1841.0000000000002,75.99999999999983,4822.681533606494,664.3928194643786
29,16,16,5759.645849873233,359.97786561707704,22178.229249366177,10090.83661222461,207,20,0,21,True,,0.6784777999855578,182,166,25,2,1231.9999999999993,91.99999999999886,4435.645849873234,0.0
