seed,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_optical_fallback,n_cover_visited,all_certified,failure,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s
2000,11,11,7367.3028311670405,669.7548028333673,27406.51415583521,12054.367401391508,302,26,1,25,True,,0.47289429997908883,269,258,33,10,1785.999999999999,99.99999999999916,5481.302831167041,312.60653846399873
2001,10,10,7307.529140684346,730.7529140684346,24862.645703421735,8717.910273786318,383,13,0,25,True,,0.3332881000242196,361,351,22,3,2276.0000000000005,58.99999999999953,4972.529140684346,0.0
2002,15,15,7441.97604602837,496.1317364018913,28254.880230141836,15102.276782013058,287,21,0,25,True,,0.7009558999852743,246,231,41,12,1697.9999999999995,92.99999999999946,5650.97604602837,173.37526200814045
2003,15,15,9387.197891957636,625.8131927971757,36120.98945978824,20399.63529949135,309,104,1,25,True,,0.7892837999970652,263,248,46,23,1820.9999999999968,341.99999999999375,7224.197891957642,0.0
2004,14,14,7447.646862303804,531.9747758788432,27678.234311519012,15017.747872997588,307,21,0,25,True,,0.7845941999985371,268,254,39,7,1820.9999999999995,91.00000000000013,5535.646862303803,0.0
2005,12,12,7220.053461329055,601.6711217774213,26035.26730664527,9159.770464804236,326,17,0,25,True,,0.7604527999938,292,280,34,11,1937.9999999999995,75.0000000000014,5207.053461329055,0.0
2006,11,11,7095.518764324452,645.047160393132,24892.593821622257,10045.826692997021,343,21,1,25,True,,0.5803988999978174,314,303,29,4,2032.0000000000007,85.00000000000017,4978.518764324451,178.8093641793257
2007,12,12,8227.841007674677,685.6534173062231,30059.2050383734,14383.376016753198,314,112,1,25,True,,0.575228400004562,281,269,33,15,1855.9999999999989,360.0000000000032,6011.841007674677,0.0
2008,14,14,7208.342818532755,514.8816298951967,26831.71409266378,11875.281153901284,294,24,0,25,True,,0.8486786000139546,257,243,37,7,1742.0000000000002,100.00000000000108,5366.342818532755,84.53341802022805
2009,16,16,5862.344163109643,366.3965101943527,22771.720815548208,11985.113984558056,205,21,0,19,True,,0.6013511999917682,170,154,35,9,1212.9999999999998,95.00000000000121,4554.344163109644,0.0
2010,15,15,9018.126575087079,601.2084383391386,34865.63287543541,18240.337077908298,282,116,1,25,True,,0.8054851999913808,240,225,42,15,1666.9999999999986,377.9999999999976,6973.12657508708,715.0058382915267
2011,14,14,8278.608768578919,591.3291977556371,31888.04384289458,16936.463666478186,257,119,1,25,True,,0.9836510999884922,214,200,43,16,1515.9999999999986,385.0000000000023,6377.608768578919,388.58610711989786
2012,16,16,9496.868737495039,593.5542960934399,36219.34368747522,23082.072322840795,266,218,2,21,True,,1.123096000024816,217,201,49,22,1566.9999999999977,686.0000000000019,7243.868737495035,0.0
2013,13,13,6524.012865189736,501.8471434761335,24250.06432594869,9982.673941208575,270,16,0,25,True,,0.7138620000041556,243,230,27,7,1599.999999999999,73.99999999999926,4850.012865189738,0.0
2014,12,12,8426.362012185738,702.1968343488115,29741.81006092873,13909.83494879751,362,103,1,25,True,,0.6741494000016246,331,319,31,13,2145.0000000000014,332.99999999999653,5948.362012185737,181.1453587504584
2015,15,15,9390.859527830307,626.0573018553538,34514.29763915153,19372.804037540096,327,177,2,25,True,,1.608392099995399,280,265,47,19,1927.0000000000023,560.9999999999945,6902.859527830307,105.91673003837604
2016,11,11,7105.122305362101,645.9202095783728,24550.611526810502,6704.125206584024,358,14,0,25,True,,0.5895430000091437,337,326,21,2,2130.9999999999986,64.00000000000011,4910.1223053621015,198.84957205322462
