seed,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_optical_fallback,n_cover_visited,all_certified,failure,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s
0,15,15,8778.62041875155,585.2413612501034,35148.10209375776,10481.128926494084,280,20,0,37,True,,0.1803968000167515,249,234,31,11,1658.9999999999977,90.00000000000021,7029.620418751551,0.0
1,13,13,9558.418683914764,735.2629756857511,35322.093419573794,10466.329932546789,402,27,1,37,True,,0.24049189998186193,365,352,37,18,2387.000000000001,107.00000000000341,7064.41868391476,0.0
2,15,15,9832.777398090735,655.518493206049,39533.886990453684,15906.013263190976,307,27,0,37,True,,0.31184330000542104,267,252,40,7,1815.0000000000007,110.99999999999716,7906.777398090736,0.0
3,15,15,10049.586208823292,669.9724139215527,39777.93104411646,14966.828969460366,335,28,0,37,True,,0.21868849999736995,290,275,45,15,1980.0000000000007,113.9999999999998,7955.58620882329,0.0
4,15,15,8679.753242726794,578.6502161817863,34748.76621363397,10995.571140128499,275,23,0,37,True,,0.1960454999934882,236,221,39,14,1631.0000000000007,99.00000000000016,6949.753242726793,0.0
5,14,14,9376.35624385104,669.7397317036457,36731.78121925521,11452.49681526385,327,20,0,37,True,,0.17019890001392923,291,277,36,15,1942.0000000000005,87.99999999999868,7346.35624385104,0.0
6,13,13,9585.953189680375,737.381014590798,38174.76594840185,12555.284575226298,316,19,0,37,True,,0.163142000004882,293,280,23,2,1868.0000000000011,83.00000000000234,7634.953189680369,0.0
7,16,16,7961.858594513546,497.61616215709665,32484.292972567717,15116.378862670514,231,20,0,28,True,,0.20877099997596815,187,171,44,18,1373.0000000000014,92.0000000000006,6496.858594513546,0.0
8,15,15,9512.703861028067,634.1802574018711,37668.519305140326,12042.425363238699,319,22,0,37,True,,0.17940079999971204,288,273,31,8,1882.9999999999993,95.99999999999933,7533.703861028069,0.0
9,12,12,9268.472187753036,772.372682312753,34352.360938765196,10615.53021560933,382,34,1,37,True,,0.18803639998077415,339,327,43,22,2272.0000000000014,125.99999999999898,6870.472187753035,0.0
10,15,15,8978.015432262466,598.534362150831,34465.077161312314,11256.615694752614,336,21,0,37,True,,0.17829559999518096,297,282,39,18,1992.000000000003,92.99999999999935,6893.015432262463,0.0
11,10,10,9921.162495109991,992.1162495109991,36495.81247554996,10365.204734179784,432,14,0,37,True,,0.14775669999653473,407,397,25,8,2560.000000000001,61.99999999999945,7299.162495109993,0.0
12,14,14,9203.308595743527,657.3791854102519,35866.54297871762,12716.644295473081,329,18,0,37,True,,0.177344700001413,291,277,38,17,1948.000000000001,82.00000000000057,7173.308595743527,0.0
13,16,16,9568.674098557562,598.0421311598476,38573.37049278779,15974.760775242341,284,46,2,34,True,,0.2010530999978073,246,230,38,16,1684.0000000000023,170.00000000000017,7714.674098557556,0.0
14,11,11,9351.022908141966,850.0929916492696,34630.11454070983,9632.447082862078,396,18,0,37,True,,0.15275860001565889,369,358,27,8,2349.0000000000005,75.99999999999928,6926.022908141966,0.0
15,16,16,6011.3021572219695,375.7063848263731,24201.51078610986,13256.720778322302,181,25,0,18,True,,0.26137049999670126,142,126,39,9,1063.9999999999998,106.99999999999889,4840.3021572219695,0.0
16,13,13,9080.794473668231,698.5226518206332,33798.97236834115,10128.682472058237,377,18,0,37,True,,0.16045659998781048,353,340,24,5,2241.0000000000023,79.99999999999925,6759.794473668232,0.0
17,15,15,9412.243109773472,627.4828739848981,37426.21554886735,14712.937850471399,306,28,1,37,True,,0.23235199999180622,258,243,48,22,1812.999999999998,114.00000000000065,7485.243109773474,0.0
18,16,16,6831.625490853037,426.97659317831483,27513.127454265188,12756.99184206637,207,24,0,23,True,,0.19931230001384392,177,161,30,3,1224.999999999999,104.00000000000105,5502.625490853037,0.0
19,14,14,9250.607959508181,660.7577113934415,35958.03979754091,13490.276533945218,333,17,0,37,True,,0.15316869999514893,298,284,35,17,1979.9999999999998,79.0000000000007,7191.607959508179,0.0
20,16,16,7687.100270313532,480.44376689459574,31540.50135156767,13196.080975218025,218,21,0,26,True,,0.2309164999751374,187,171,31,8,1283.9999999999989,94.99999999999916,6308.100270313533,0.0
21,12,12,9600.705814497527,800.0588178747939,36413.52907248765,11466.678553709131,380,15,0,37,True,,0.12463759997626767,362,350,18,3,2249.000000000001,68.99999999999814,7282.705814497528,0.0
22,15,15,9288.320511530583,619.2213674353721,36776.6025576529,12716.775379282928,311,20,0,37,True,,0.16973920000600629,283,268,28,8,1843.0000000000027,89.9999999999998,7355.320511530583,0.0
23,10,10,10153.37354830684,1015.3373548306839,37301.8677415342,11719.199840212279,443,14,0,37,True,,0.13566800000262447,419,409,24,8,2630.999999999999,62.00000000000007,7460.373548306841,0.0
24,12,12,8691.542942318465,724.2952451932055,32837.71471159232,8177.6101587033345,346,17,0,37,True,,0.1557856000144966,320,308,26,9,2049.0,74.99999999999923,6567.542942318466,0.0
25,13,13,8923.655197546052,686.4350151958502,34493.27598773025,10342.849396203834,330,15,0,37,True,,0.14383670000825077,308,295,22,5,1954.0000000000011,70.99999999999963,6898.655197546052,0.0
26,16,16,8068.900320040713,504.3062700025446,31314.501600203563,12374.323973808621,287,23,0,29,True,,0.24214760001632385,249,233,38,14,1705.0000000000011,101.00000000000003,6262.900320040713,0.0
27,10,10,8787.57754004495,878.7577540044949,30567.887700224757,5660.008803256375,441,12,0,37,True,,0.1084526999911759,424,414,17,5,2617.9999999999995,55.99999999999869,6113.57754004495,0.0
28,14,14,9011.81559785905,643.7011141327893,35094.07798929524,11120.38293189699,321,21,0,37,True,,0.16727259999606758,291,277,30,9,1901.9999999999995,91.00000000000207,7018.815597859048,0.0
29,16,16,7997.604239644002,499.8502649777501,32398.02119822003,15150.142782712128,232,38,1,27,True,,0.20637359999818727,191,175,41,16,1371.9999999999998,145.99999999999685,6479.604239644003,0.0
