seed,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_optical_fallback,n_cover_visited,all_certified,failure,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s
3000,15,15,10430.039571025027,695.3359714016684,36475.19785512514,14908.87071868263,515,15,0,37,True,,0.19176029998925515,477,462,38,23,3060.000000000002,74.99999999999895,7295.039571025028,0.0
3001,12,12,9634.261773297794,802.8551477748161,31316.308866488973,8079.03743766874,556,15,0,37,True,,0.16901450001751073,531,519,25,10,3302.000000000001,68.99999999999896,6263.261773297793,421.7301192931045
3002,13,13,10408.809518776328,800.6776552904868,36964.04759388162,13052.566516526647,496,14,0,37,True,,0.16649039997719228,466,453,30,16,2948.0000000000023,68.00000000000057,7392.8095187763265,0.0
3003,16,16,11721.964050787079,732.6227531741924,42039.82025393513,24903.108270019377,452,200,2,30,True,,0.3743249000108335,412,396,40,23,2681.9999999999986,632.0000000000387,8407.96405078705,0.0
3004,12,12,10385.806439240834,865.4838699367361,34604.03219620416,11562.822537174203,571,14,0,37,True,,0.1694677000050433,543,531,28,14,3399.0000000000005,66.0000000000006,6920.806439240834,0.0
3005,14,14,10299.628746098899,735.6877675784928,35723.14373049448,11974.71648425085,518,15,0,37,True,,0.17762380000203848,489,475,29,14,3082.000000000001,73.00000000000193,7144.628746098897,0.0
3006,11,11,10354.12701722965,941.2842742936045,35200.635086148235,14119.57840072645,548,11,0,37,True,,0.15028229999006726,522,511,26,15,3259.000000000003,54.99999999999975,7040.127017229649,0.0
3007,16,16,12498.906999397537,781.1816874623461,43814.534996987786,23454.76461185941,486,274,3,35,True,,0.673479800025234,445,429,41,25,2881.999999999997,854.0000000000031,8762.906999397534,0.0
3008,15,15,9679.743097797053,645.3162065198035,33538.71548898525,11736.338102882339,488,17,0,37,True,,0.2958958000235725,456,441,32,15,2890.9999999999986,81.00000000000212,6707.743097797052,392.2508820313269
3009,11,11,10308.0937818418,937.0994347128909,34565.468909209,12244.130195662485,561,12,0,37,True,,0.268872199987527,530,519,31,19,3337.0,57.99999999999943,6913.093781841802,0.0
3010,16,16,10493.820803986153,655.8638002491346,36094.10401993076,13977.946710726019,530,31,1,35,True,,0.5373607999936212,496,480,34,16,3150.000000000001,124.99999999999889,7218.820803986152,0.0
3011,16,16,12458.162365404356,778.6351478377723,42155.811827021666,21486.459889994225,568,207,2,33,True,,0.4855925999872852,530,514,38,21,3374.0000000000014,653.0000000000211,8431.16236540434,0.0
3012,14,14,10475.493994333328,748.2495710238092,36712.46997166664,15748.900211381415,515,14,0,37,True,,0.4180032000003848,485,471,30,16,3063.000000000002,70.00000000000091,7342.493994333326,0.0
3013,16,16,10089.897747332718,630.6186092082949,34549.48873666359,14048.381902045303,520,19,0,33,True,,0.5071155999903567,482,466,38,19,3090.999999999998,89.00000000000149,6909.89774733272,0.0
