seed,N,before_T_over_K,after_T_over_K,delta_T_over_K
3000,15,695.3359714016684,504.97132093859125,-190.36465046307717
3001,12,802.8551477748161,590.9857308679616,-211.86941690685455
3002,13,800.6776552904868,578.1963527791618,-222.481302511325
3003,16,732.6227531741924,485.84145546461116,-246.78129770958128
3004,12,865.4838699367361,654.7947997529428,-210.68907018379332
3005,14,735.6877675784928,579.623950057675,-156.0638175208178
3006,11,941.2842742936045,727.0036516215498,-214.28062267205473
3007,16,781.1816874623461,480.6674722330634,-300.5142152292827
3008,15,645.3162065198035,507.3869973014818,-137.92920921832166
3009,11,937.0994347128909,689.7281572915739,-247.37127742131702
3010,16,655.8638002491346,485.0066802563494,-170.85711999278516
3011,16,778.6351478377723,487.8896984672363,-290.74544937053594
3012,14,748.2495710238092,528.0201667360162,-220.22940428779293
3013,16,630.6186092082949,517.5122012790422,-113.10640792925267
3014,11,867.6802101831204,630.2410119797789,-237.43919820334145
3015,13,788.8941187164091,636.0510590443452,-152.843059672064
3016,14,756.1714124046922,512.2784842568576,-243.8929281478346
3017,11,1012.6564542945763,680.815367596219,-331.84108669835734
3018,13,792.5910775240502,611.5420223341866,-181.04905518986357
3019,16,594.5598599912596,492.69561623751594,-101.86424375374366
3020,14,730.3777870804466,544.4375496106989,-185.94023746974779
3021,13,776.7334551246478,607.4467134977442,-169.28674162690356
3022,16,640.61687289646,448.1938107043748,-192.42306219208518
3023,12,828.7093887303141,662.2618353784122,-166.4475533519019
3024,10,973.748199463162,743.2419799332135,-230.50621952994845
3025,16,656.5416331404331,483.66321012657926,-172.87842301385382
3026,11,910.2844628707861,680.2666993043268,-230.01776356645928
3027,12,853.490819172321,662.6393505253924,-190.85146864692865
3028,11,884.0701818312638,665.3061440585627,-218.76403777270104
3029,12,876.1007050064321,637.1211944388057,-238.97951056762645
