seed,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_optical_fallback,n_cover_visited,all_certified,failure,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s
0,15,15,6971.223537716918,464.74823584779455,27311.117688584585,13952.720446967041,239,19,0,25,True,,0.169630699994741,210,195,29,9,1421.9999999999993,87.0000000000008,5462.22353771692,0.0
1,13,13,8067.278874312138,620.559913408626,29681.39437156073,16367.203182248039,299,108,1,25,True,,0.230985200003488,277,264,22,6,1780.999999999998,349.99999999999807,5936.278874312141,0.0
2,15,15,7524.040840763396,501.60272271755974,30445.20420381699,15550.103886535446,224,28,1,25,True,,0.27119550001225434,193,178,31,7,1320.9999999999989,114.0000000000014,6089.040840763399,0.0
3,15,15,7667.555231919632,511.17034879464217,29392.776159598165,15542.84914659349,286,19,0,25,True,,0.16708440001821145,255,240,31,11,1701.9999999999989,86.99999999999937,5878.555231919634,0.0
4,15,15,6456.06262916732,430.4041752778213,25415.313145836604,13227.83830533197,217,17,0,25,True,,0.150122699997155,192,177,25,7,1291.9999999999995,80.99999999999915,5083.062629167321,0.0
5,14,14,7144.734300599458,510.33816432853274,27573.671502997295,12372.405271981213,261,17,0,25,True,,0.149892399989767,240,226,21,4,1550.999999999999,79.00000000000085,5514.73430059946,0.0
6,13,13,6450.713877458023,496.2087598044633,24363.56938729012,9901.899417570849,253,17,0,25,True,,0.14019060001010075,231,218,22,5,1501.0,77.00000000000003,4872.713877458024,0.0
7,16,16,5265.157987231027,329.07237420193917,20865.789936155154,15189.960522339967,169,18,0,14,True,,0.1726663000008557,143,127,26,7,1005.999999999998,85.99999999999899,4173.157987231029,0.0
8,15,15,6869.700803712868,457.9800535808579,27608.504018564345,11568.255817888921,213,20,0,25,True,,0.16483069999958389,185,170,28,8,1258.0000000000002,89.99999999999913,5521.700803712869,0.0
9,12,12,7147.735815554069,595.6446512961724,25853.679077770375,10931.791520140543,307,41,1,25,True,,0.15961140001309104,275,263,32,15,1829.999999999998,146.9999999999989,5170.735815554071,0.0
10,15,15,7399.511846077204,493.30078973848026,29402.559230386025,14776.15064208277,239,24,0,25,True,,0.1861835999879986,203,188,36,10,1416.9999999999998,101.9999999999984,5880.511846077205,0.0
11,10,10,7227.890002840603,722.7890002840603,25899.450014203027,10250.479801613661,335,13,0,25,True,,0.10913040000014007,321,311,14,0,1988.9999999999982,59.0,5179.890002840606,0.0
12,14,14,7149.719361583065,510.69424011307603,28313.596807915314,13556.465672427285,237,19,0,25,True,,0.1601105000008829,209,195,28,8,1402.0000000000007,85.00000000000189,5662.719361583066,0.0
13,16,16,5573.4806042722885,348.34253776701803,22472.403021361442,15880.384302208837,166,20,0,13,True,,0.17650050000520423,136,120,30,9,986.9999999999992,92.00000000000003,4494.4806042722885,0.0
14,11,11,6664.981700030775,605.907427275525,23564.908500153873,9293.42183056077,317,14,0,25,True,,0.12836890001199208,291,280,26,11,1888.0000000000002,64.00000000000082,4712.981700030776,0.0
15,16,16,5638.482277988374,352.4051423742734,22572.411389941884,16673.279957094597,160,46,1,13,True,,0.17831920000026003,135,119,25,3,953.9999999999997,169.99999999999918,4514.482277988374,0.0
16,13,13,7369.554394887468,566.8887996067283,26667.77197443734,14101.589632476393,328,17,0,25,True,,0.14117669998086058,304,291,24,6,1959.0000000000011,76.9999999999997,5333.5543948874665,0.0
17,15,15,7416.997577112311,494.46650514082074,28784.987885561553,15721.944097095646,254,39,1,25,True,,0.1832019000139553,217,202,37,17,1513.0000000000011,147.0000000000037,5756.997577112311,0.0
18,16,16,6605.342407081233,412.8339004425771,26266.712035406174,18355.20167141742,211,23,0,17,True,,0.19739290000870824,170,154,41,14,1251.0,100.99999999999939,5253.342407081234,0.0
19,14,14,7285.008179465824,520.3577271047017,27635.04089732912,14913.646677255188,282,16,0,25,True,,0.15316270000766963,247,233,35,17,1682.0000000000005,76.0000000000007,5527.008179465823,0.0
20,16,16,7595.268007038274,474.7042504398921,29546.340035191446,18103.749418506774,220,119,1,21,True,,0.24911530001554638,177,161,43,16,1296.9999999999986,388.9999999999955,5909.268007038278,0.0
21,12,12,6901.673622154355,575.1394685128629,25823.368110771782,11525.6271665968,280,17,0,25,True,,0.14674369999556802,258,246,22,3,1662.0,74.99999999999964,5164.673622154355,0.0
22,15,15,7411.141910627605,494.0761273751737,28250.70955313804,15214.653008815989,271,39,1,25,True,,0.17463260001386516,241,226,30,12,1613.9999999999984,146.9999999999994,5650.141910627606,0.0
23,10,10,7498.513572071663,749.8513572071663,27522.567860358326,12140.922859201606,326,11,0,25,True,,0.1010934000078123,314,304,12,0,1940.999999999998,52.99999999999984,5504.513572071664,0.0
24,12,12,5799.13912817392,483.2615940144933,21075.695640869602,7845.530906509404,256,13,0,25,True,,0.110430600005202,240,228,16,3,1520.9999999999995,63.00000000000087,4215.139128173921,797.8764852949998
25,13,13,7098.2497422055185,546.0192109388861,26501.248711027598,11958.666067020495,289,19,0,25,True,,0.1621033000119496,263,250,26,5,1714.9999999999998,82.99999999999872,5300.24974220552,0.0
26,16,16,7434.536793898208,464.658549618638,28022.683969491045,17654.498609729988,234,134,2,21,True,,0.21330249999300577,204,188,30,10,1395.999999999999,434.0000000000066,5604.53679389821,0.0
27,10,10,7104.426496775244,710.4426496775244,25512.132483876245,9917.594117406064,320,27,1,25,True,,0.1377300999884028,302,292,18,6,1901.0000000000005,100.99999999999729,5102.426496775246,0.0
28,14,14,6933.415081380593,495.24393438432804,25072.075406902964,10153.236422151987,307,19,0,25,True,,0.16104390000691637,275,261,32,13,1834.0,84.99999999999987,5014.415081380593,0.0
29,16,16,8070.698180374114,504.4186362733821,31118.490901870533,18417.870612189832,225,162,2,20,True,,0.2430547999974806,190,174,35,10,1328.999999999998,518.0000000000018,6223.698180374116,0.0
