seed,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_optical_fallback,n_cover_visited,all_certified,failure,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s
3000,15,15,8734.950695537766,582.3300463691844,31169.753477688828,13517.75032881945,409,16,0,25,True,,0.5857632999832276,375,360,34,17,2423.0000000000027,77.9999999999992,6233.950695537764,0.0
3001,12,12,7858.552551141545,654.8793792617954,27082.762755707736,10659.105551317189,401,15,1,25,True,,0.6487161999975797,369,357,32,18,2372.9999999999986,68.99999999999865,5416.552551141547,0.0
3002,13,13,7463.718867069034,574.1322205437718,24093.594335345177,7304.923670992645,434,14,0,25,True,,0.5429636999906506,414,401,20,6,2576.9999999999986,68.00000000000045,4818.718867069035,0.0
3003,16,16,8841.89007453616,552.61812965851,32949.45037268083,16508.32042207655,331,87,1,23,True,,0.8790798999834806,293,277,38,18,1959.000000000001,292.99999999999505,6589.890074536164,0.0
3004,12,12,8152.422419762488,679.3685349802073,29447.112098812428,11267.489950025825,370,15,0,25,True,,0.9691458000161219,340,328,30,15,2193.9999999999995,69.00000000000162,5889.422419762486,0.0
3005,14,14,8756.780111438078,625.4842936741485,31378.900557190394,14898.631614759448,407,18,0,25,True,,1.4664811000111513,360,346,47,23,2398.999999999997,82.00000000000125,6275.780111438078,0.0
3006,11,11,9775.581235337408,888.6892032124916,34237.906176687065,16610.396154187074,434,115,1,25,True,,0.4515421999967657,395,384,39,25,2560.9999999999986,366.9999999999982,6847.5812353374085,0.0
3007,16,16,9636.213374546724,602.2633359091702,36041.06687273359,22347.828061445223,310,190,2,21,True,,0.6561645999900065,264,248,46,30,1825.9999999999993,602.0000000000052,7208.213374546713,0.0
3008,15,15,9806.617040748091,653.7744693832061,36238.085203740484,20003.29187660899,385,86,1,25,True,,1.0578562000009697,338,323,47,27,2271.0,287.9999999999949,7247.617040748096,290.1325623577195
3009,11,11,8172.519672070543,742.9563338245948,28327.598360352724,9754.009463794711,413,12,0,25,True,,0.3043930999992881,389,378,24,12,2448.999999999997,58.0000000000002,5665.5196720705435,0.0
3010,16,16,8516.239753911237,532.2649846194523,29956.198769556184,14416.073517551857,410,24,0,24,True,,0.7349619000160601,365,349,45,20,2421.0000000000027,104.00000000000065,5991.239753911234,0.0
3011,16,16,7418.05366077008,463.62835379813,27500.268303850404,10369.960637246162,311,19,0,25,True,,0.82898250001017,274,258,37,16,1828.9999999999998,88.99999999999947,5500.05366077008,0.0
3012,14,14,7503.156907320958,535.9397790943542,26120.7845366048,7485.053614596086,372,16,0,25,True,,0.5190969999821391,342,328,30,13,2202.9999999999995,75.99999999999969,5224.1569073209575,0.0
3013,16,16,9322.146946460054,582.6341841537534,33115.73473230026,17896.746844922134,388,124,1,23,True,,0.9158772999944631,351,335,37,19,2294.9999999999977,403.9999999999999,6623.146946460061,0.0
3014,11,11,9768.607923385869,888.0552657623517,34133.03961692947,16772.117607476335,422,140,2,25,True,,0.625108000007458,392,381,30,21,2499.999999999998,441.99999999997806,6826.607923385889,0.0
3015,13,13,8044.939891264645,618.8415300972804,26859.69945632323,9069.286170429492,437,19,0,25,True,,0.4278233000077307,408,395,29,10,2590.0000000000005,83.00000000000168,5371.939891264645,0.0
3016,14,14,7263.087330160544,518.7919521543246,25785.436650802712,8259.038423488,342,17,0,25,True,,0.41797690000385046,316,302,26,9,2026.9999999999993,79.00000000000112,5157.087330160544,0.0
