seed,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_optical_fallback,n_cover_visited,all_certified,failure,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s
0,15,15,6787.281355907149,452.48542372714326,25246.40677953575,10913.483738812436,279,20,0,25,True,,0.6833350000088103,241,226,38,3,1647.999999999999,89.99999999999956,5049.281355907149,110.36555862868227
1,13,13,7297.682219152556,561.3601707040427,26658.41109576278,11816.648567247385,320,15,0,25,True,,0.5615846999862697,282,269,38,4,1895.000000000001,71.00000000000006,5331.682219152555,265.58281088134027
2,15,15,6319.204446329412,421.2802964219608,24451.022231647057,9473.496597170386,227,20,0,25,True,,0.5069880000082776,189,174,38,4,1339.0000000000011,90.0,4890.2044463294105,212.69268755012126
3,15,15,7245.897102266327,483.05980681775515,26584.48551133164,11434.781847813174,311,19,0,25,True,,0.4650635999860242,272,257,39,6,1841.9999999999995,87.00000000000063,5316.897102266326,190.94863351780532
4,15,15,6301.573855565641,420.10492370437606,24007.869277828202,12276.65236211817,239,20,0,25,True,,0.5360272000252735,198,183,41,1,1410.0000000000002,90.00000000000001,4801.573855565641,429.8166265344744
5,14,14,6618.6399447883705,472.75999605631216,23533.19972394184,8081.122332595878,310,15,0,25,True,,0.4371056999952998,276,262,34,1,1839.0000000000027,72.99999999999966,4706.639944788369,0.0
6,13,13,6836.812823494638,525.9086787303568,25804.0641174732,9889.06007734188,270,18,0,25,True,,0.5649034999951255,227,214,43,4,1595.999999999999,80.00000000000011,5160.812823494639,252.14496360609428
7,16,16,5541.957648253332,346.37235301583326,20989.78824126664,10854.005092794761,212,20,0,20,True,,0.6620731999864802,169,153,43,2,1252.0000000000016,92.00000000000063,4197.95764825333,0.0
8,15,15,6791.26932990017,452.75128866001137,26611.34664950085,11006.455727666747,236,19,0,25,True,,0.5185528000001796,197,182,39,4,1382.0000000000016,86.99999999999943,5322.26932990017,1038.831612296256
9,12,12,6957.638715506309,579.8032262921924,25213.193577531554,9002.61717207775,312,15,0,25,True,,0.44639460000325926,277,265,35,5,1846.0000000000007,68.9999999999988,5042.638715506313,1051.372607809114
10,15,15,6711.904673380821,447.4603115587214,25664.52336690411,11940.679691035946,253,19,0,25,True,,0.48640520000481047,220,205,33,3,1491.9999999999998,86.99999999999922,5132.904673380819,0.0
