seed,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_optical_fallback,n_cover_visited,all_certified,failure,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s
3000,15,15,7574.569814078869,504.97132093859125,24987.849070394353,7341.884406370712,421,16,0,25,True,,0.42086239997297525,393,378,28,9,2498.999999999999,77.99999999999861,4997.569814078872,0.0
3001,12,12,7091.828770415539,590.9857308679616,24749.143852077697,8448.110088405998,349,16,0,25,True,,0.28484910001861863,322,310,27,10,2069.999999999999,71.99999999999962,4949.828770415538,156.07035290050044
3002,13,13,7516.552586129103,578.1963527791618,24307.76293064552,7527.229602727341,436,14,0,25,True,,0.35558939998736605,414,401,22,6,2586.9999999999995,68.00000000000028,4861.5525861291035,0.0
3003,16,16,7773.4632874337785,485.84145546461116,28262.316437168894,11395.645668020949,342,22,0,23,True,,0.4320834999962244,309,293,33,10,2022.9999999999986,97.9999999999998,5652.4632874337785,0.0
3004,12,12,7857.537597035313,654.7947997529428,27992.687985176563,9191.211007737673,370,14,0,25,True,,0.3938141000107862,340,328,30,14,2192.999999999999,65.9999999999998,5598.537597035313,0.0
3005,14,14,8114.735300807449,579.623950057675,28348.67650403725,10475.486394236097,399,18,0,25,True,,0.6450567000138108,363,349,36,12,2362.9999999999977,82.00000000000061,5669.735300807449,0.0
3006,11,11,7997.040167837048,727.0036516215498,27435.20083918524,9152.71681591582,413,13,0,25,True,,0.2780958999937866,388,377,25,10,2449.0000000000005,61.00000000000014,5487.04016783705,143.8952240485869
3007,16,16,7690.679555729014,480.6674722330634,28213.39777864508,10060.142974239421,332,18,0,25,True,,0.40678619997925125,300,284,32,15,1961.9999999999993,86.00000000000063,5642.6795557290125,0.0
3008,15,15,7610.804959522227,507.3869973014818,28964.02479761113,12030.702811334339,294,19,0,25,True,,0.42230730000301264,259,244,35,16,1731.0000000000007,86.99999999999969,5792.804959522227,0.0
3009,11,11,7587.009730207313,689.7281572915739,24720.048651036577,6206.1298028103965,435,13,0,25,True,,0.39738110001781024,415,404,20,7,2581.9999999999986,60.99999999999821,4944.009730207316,0.0
3010,16,16,7760.10688410159,485.0066802563494,26505.53442050795,10863.624793389263,399,22,0,24,True,,0.5685194999969099,365,349,34,11,2361.000000000001,98.0000000000004,5301.106884101589,0.0
3011,16,16,7806.235175475781,487.8896984672363,29386.175877378922,12233.848484981809,312,21,0,25,True,,0.5926978999923449,274,258,38,14,1833.999999999997,94.99999999999972,5877.235175475783,0.0
3012,14,14,7392.282334304227,528.0201667360162,25636.411671521153,6992.046629716181,369,17,0,25,True,,0.4046927999879699,342,328,27,9,2186.0,78.99999999999869,5127.282334304228,0.0
3013,16,16,8280.195220464675,517.5122012790422,29530.976102323395,13550.641193370528,386,21,0,23,True,,0.6477188999997452,351,335,35,13,2278.9999999999955,95.0000000000006,5906.195220464677,0.0
3014,11,11,6932.6511317775685,630.2410119797789,21998.25565888783,4214.340882380629,417,11,0,25,True,,0.24224589997902513,400,389,17,5,2477.9999999999995,55.00000000000096,4399.6511317775685,0.0
3015,13,13,8268.663767576487,636.0510590443452,27823.31883788245,9921.936358211226,445,16,0,25,True,,0.4820514000020921,408,395,37,16,2629.999999999999,73.99999999999976,5564.663767576489,0.0
3016,14,14,7171.8987795960065,512.2784842568576,24909.49389798002,8294.217802066338,355,20,0,25,True,,0.39075550000416115,327,313,28,8,2102.000000000002,88.00000000000057,4981.898779596004,0.0
3017,11,11,7488.969043558408,680.815367596219,24899.845217792037,6655.825296134718,411,16,0,25,True,,0.3420998000074178,390,379,21,5,2438.999999999998,70.00000000000131,4979.969043558407,0.0
3018,13,13,7950.046290344427,611.5420223341866,27370.231451722146,9357.908998083669,405,17,0,25,True,,0.4184617999999318,379,366,26,10,2398.999999999997,76.99999999999945,5474.0462903444295,357.97759471365407
3019,16,16,7883.129859800255,492.69561623751594,28800.649299001292,12596.192303738599,345,18,0,25,True,,0.4846718999906443,312,296,33,13,2036.9999999999995,85.99999999999926,5760.129859800257,0.0
