seed,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_optical_fallback,n_cover_visited,all_certified,failure,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s
2000,11,11,7033.097349745025,639.3724863404568,26390.48674872513,10439.594681874347,285,16,0,25,True,,0.33195900000282563,259,248,26,2,1685.0000000000002,69.99999999999957,5278.097349745025,0.0
2001,10,10,7399.367399464605,739.9367399464605,25036.836997323033,8515.809697142528,392,16,0,25,True,,0.39740180000080727,360,350,32,2,2324.000000000001,67.99999999999882,5007.367399464607,0.0
2002,15,15,7873.499581174229,524.899972078282,30057.497905871147,17181.72120100229,299,22,0,25,True,,0.6509323999925982,246,231,53,13,1766.0000000000007,95.99999999999929,6011.499581174229,0.0
2003,15,15,7648.136613239211,509.87577421594744,29155.683066196056,13826.128920888426,293,19,0,25,True,,0.42917749998741783,259,244,34,6,1730.0000000000014,86.99999999999977,5831.13661323921,509.1367334042934
2004,14,14,7394.346184172271,528.1675845837336,27426.730920861348,12662.733249569954,308,20,0,25,True,,0.5705215999914799,267,253,41,7,1821.000000000001,87.99999999999996,5485.346184172271,129.34677437429218
2005,12,12,6983.676886769438,581.9730738974532,23718.384433847194,9429.706740817086,366,15,0,25,True,,0.3887185000057798,339,327,27,2,2171.000000000001,68.99999999999946,4743.676886769438,0.0
2006,11,11,6708.068630855438,609.824420986858,23710.343154277187,8796.600619735109,320,16,0,25,True,,0.37229389999993145,291,280,29,4,1896.0000000000002,69.99999999999959,4742.068630855439,93.60070487465146
2007,12,12,6958.212350321803,579.8510291934836,25686.061751609013,8392.425174808743,294,17,0,25,True,,0.3946950000245124,263,251,31,5,1745.9999999999993,75.00000000000091,5137.212350321801,273.1066847994289
2008,14,14,6394.284688450552,456.73462060361084,24831.42344225277,9915.812940983491,226,23,0,25,True,,0.6921981000050437,182,168,44,5,1330.9999999999995,96.99999999999903,4966.2846884505525,484.3207892857072
2009,16,16,6199.552149926961,387.47200937043505,23992.760749634814,13746.893616016645,222,22,0,21,True,,0.4622003999829758,177,161,45,10,1302.9999999999982,98.00000000000092,4798.552149926963,0.0
2010,15,15,7219.9804754079405,481.3320316938627,28479.9023770397,14544.705614819886,243,22,0,25,True,,0.6722258999943733,195,180,48,11,1427.9999999999984,95.99999999999999,5695.980475407939,0.0
2011,14,14,6593.314961288477,470.95106866346265,24986.574806442386,10596.366613455022,257,16,0,25,True,,0.4565647999988869,222,208,35,5,1520.000000000001,76.00000000000011,4997.314961288478,490.84128360087016
2012,16,16,7072.031109152984,442.0019443220615,26595.155545764905,13790.928713073943,281,22,0,23,True,,0.7077782000123989,228,212,53,10,1655.000000000003,98.0000000000002,5319.031109152981,0.0
2013,13,13,6846.264142372734,526.635703259441,24246.32071186366,9871.800417980357,323,19,0,25,True,,0.41841839998960495,285,272,38,9,1914.0000000000007,83.00000000000071,4849.264142372732,0.0
2014,12,12,6904.217845910635,575.3514871592196,24456.089229553185,8756.97239588787,328,16,0,25,True,,0.41989929997362196,295,283,33,5,1940.9999999999998,72.00000000000051,4891.217845910635,697.0600195872512
2015,15,15,7027.476750089065,468.4984500059376,27132.38375044532,14019.447737077891,256,22,0,25,True,,0.5940646000090055,206,191,50,11,1505.0000000000011,96.00000000000044,5426.476750089066,0.0
2016,11,11,7126.474682335577,647.8613347577798,24607.373411677887,7335.028589129318,360,15,0,25,True,,0.5591339000093285,337,326,23,0,2138.0000000000014,66.9999999999986,4921.474682335577,198.84957205322462
2017,12,12,6839.274928843152,569.939577403596,24376.37464421577,9604.568348706616,319,17,0,25,True,,0.41570680000586435,286,274,33,6,1888.9999999999993,75.0000000000005,4875.274928843152,482.1407383267633
2018,12,12,7205.320973688241,600.4434144740201,24881.60486844118,9418.218371123206,364,16,0,25,True,,0.6368546999874525,331,319,33,8,2157.0000000000045,72.00000000000077,4976.320973688236,518.9750781495522
