seed,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_optical_fallback,n_cover_visited,all_certified,failure,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s
4000,16,16,5299.888135810689,331.2430084881681,20889.44067905345,12818.637606042617,176,17,0,15,True,,0.5182738000003155,136,120,40,0,1039.0000000000005,83.00000000000007,4177.888135810688,0.0
4001,16,16,3123.479230903952,195.217451931497,13047.396154519762,11517.738977854347,72,20,0,4,True,,0.5082962000160478,37,21,35,0,421.99999999999994,91.99999999999993,2609.4792309039526,0.0
4002,10,10,6838.271575810678,683.8271575810678,24821.357879053397,8516.91657611847,304,16,0,25,True,,0.3994902999838814,276,266,28,0,1806.0000000000005,67.99999999999886,4964.271575810679,506.0020944035632
4003,10,10,6709.570426588995,670.9570426588996,24352.852132944972,6643.655101277192,300,12,0,25,True,,0.3105056000058539,279,269,21,0,1783.000000000001,55.999999999999865,4870.570426588996,1605.0850855904719
4004,15,15,6472.777854213798,431.5185236142532,25198.88927106898,11021.13216831126,228,19,0,25,True,,0.4536521000263747,192,177,36,0,1345.999999999999,87.00000000000077,5039.7778542137985,510.5680638202639
4005,16,16,6012.918501202927,375.8074063251829,23349.59250601463,8928.763874835176,212,20,0,22,True,,0.5845501000003424,175,159,37,0,1251.0000000000016,92.00000000000097,4669.918501202925,0.0
4006,11,11,7317.487410420526,665.2261282200478,26417.437052102625,8256.744590345103,330,18,0,25,True,,0.4318833999859635,299,288,31,1,1958.0000000000005,75.99999999999959,5283.487410420528,768.383311245525
4007,14,14,6335.05657278126,452.5040409129471,23990.282863906297,9223.276669740935,247,17,0,25,True,,0.41399299999466166,219,205,28,0,1458.0000000000002,79.00000000000024,4798.05657278126,0.0
4008,14,14,6157.02434051174,439.78745289369573,23365.121702558707,9863.949500559747,238,19,0,25,True,,0.6637569000013173,189,175,49,1,1398.9999999999986,84.99999999999976,4673.024340511741,157.7466623694636
4009,15,15,5961.6941039321155,397.44627359547434,23323.470519660583,10243.074233822781,206,17,0,25,True,,0.5039906999736559,170,155,36,1,1215.9999999999998,80.99999999999883,4664.6941039321155,0.0
4010,13,13,6579.821691031348,506.1401300793344,23589.10845515674,9354.531141037343,302,16,0,25,True,,0.4718245000112802,272,259,30,0,1788.0000000000014,73.99999999999882,4717.821691031346,300.43211072224767
4011,13,13,6224.0233425466,478.77102634973846,23740.116712733005,8520.210736359046,239,14,0,25,True,,0.43643250002060086,210,197,29,0,1407.9999999999995,67.9999999999997,4748.0233425466,1027.450256206087
4012,16,16,4478.095186039665,279.8809491274791,16855.47593019833,11679.358538513032,172,18,0,13,True,,0.623942000005627,121,105,51,0,1020.9999999999998,85.99999999999966,3371.0951860396663,0.0
4013,13,13,6603.795400180274,507.98426155232875,25168.977000901374,9661.75924900691,252,20,0,25,True,,0.4357194000040181,222,209,30,0,1484.0000000000011,85.99999999999915,5033.795400180274,0.0
4014,10,10,6306.7309174022475,630.6730917402248,21918.654587011242,6229.767142405767,315,12,0,25,True,,0.4165439000062179,291,281,24,0,1866.9999999999995,55.99999999999991,4383.730917402248,934.8552656435522
4015,13,13,6665.415141784569,512.724241675736,23472.075708922843,10730.532108996842,319,19,0,25,True,,0.5119040999852587,281,268,38,0,1887.999999999999,82.99999999999973,4694.41514178457,0.0
4016,14,14,6518.70079903564,465.62148564540286,24903.50399517819,10381.641706655659,247,18,0,25,True,,0.609203100000741,206,192,41,0,1456.0000000000007,81.99999999999955,4980.70079903564,419.9798435057901
4017,16,16,4691.816855575484,293.23855347346773,18544.084277877424,12182.294371835249,151,21,0,13,True,,0.4468822999915574,119,103,32,0,887.9999999999999,95.0000000000003,3708.8168555754837,0.0
4018,15,15,6247.735110517519,416.5156740345013,23248.6755525876,10020.356699925836,259,15,0,25,True,,0.5842271000146866,219,204,40,0,1522.9999999999993,74.99999999999994,4649.7351105175185,121.6597625736722
4019,14,14,6663.811179810455,475.9865128436039,25929.055899052266,10842.673463040603,234,22,0,25,True,,0.6421542000025511,193,179,41,1,1384.0,94.00000000000024,5185.811179810455,451.16665980515154
4020,12,12,6117.151536257568,509.762628021464,22505.75768128784,8068.903522122542,262,15,0,25,True,,0.5926160000090022,230,218,32,0,1547.0000000000002,68.99999999999916,4501.151536257568,0.0
4021,15,15,6445.152912497718,429.6768608331812,25055.764562488595,10745.418061417178,229,18,0,25,True,,0.4685184999834746,195,180,34,0,1350.0000000000007,83.99999999999898,5011.152912497717,54.42335893594645
4022,11,11,6438.892292133139,585.3538447393762,23714.461460665698,6800.947053360597,276,13,0,25,True,,0.39282809998258017,256,245,20,0,1634.999999999999,61.00000000000068,4742.89229213314,254.7636126418356
4023,13,13,6313.625782606598,485.66352173896905,23753.128913033004,9762.647063692222,252,16,0,25,True,,0.4493374000012409,227,214,25,0,1488.999999999999,73.9999999999992,4750.625782606599,1033.8644433582422
4024,10,10,6151.199088621437,615.1199088621437,21020.99544310719,5817.0284988566655,318,12,0,25,True,,0.4122020000068005,295,285,23,0,1890.9999999999993,55.99999999999981,4204.199088621439,446.8809836126202
4025,13,13,6712.13807779886,516.3183136768354,25420.690388994295,10335.819877271473,262,19,0,25,True,,0.5563329000142403,227,214,35,1,1544.9999999999993,82.99999999999966,5084.138077798859,365.5262651917674
4026,13,13,6349.986482699352,488.4604986691809,24219.932413496754,9488.929413953168,243,15,0,25,True,,0.5266826000006404,210,197,33,0,1435.0000000000007,71.00000000000098,4843.98648269935,554.6942250180609
4027,15,15,6195.543338989189,413.03622259927926,23237.716694945942,9991.770493359274,247,19,0,25,True,,0.5154956000042148,209,194,38,0,1460.999999999999,87.00000000000058,4647.54333898919,637.9062150160835
4028,11,11,6396.756808699717,581.5233462454288,21978.78404349857,7856.990933843193,325,17,0,25,True,,0.48341759998584166,295,284,30,0,1928.0000000000023,73.00000000000132,4395.756808699713,591.6970815743034
4029,15,15,6273.625241631316,418.2416827754211,23458.12620815658,9382.473946017446,252,20,0,25,True,,0.5123648000007961,218,203,34,0,1491.9999999999977,90.00000000000055,4691.625241631318,0.0
