seed,N,before_T_over_K,after_T_over_K,delta_T_over_K
0,15,585.2413612501034,452.48542372714326,-132.75593752296015
1,13,735.2629756857511,561.3601707040427,-173.9028049817084
2,15,655.518493206049,421.2802964219608,-234.2381967840882
3,15,669.9724139215527,483.05980681775515,-186.9126071037976
4,15,578.6502161817863,420.10492370437606,-158.54529247741021
5,14,669.7397317036457,472.75999605631216,-196.97973564733354
6,13,737.381014590798,525.9086787303568,-211.47233586044126
7,16,497.61616215709665,346.37235301583326,-151.2438091412634
8,15,634.1802574018711,452.75128866001137,-181.42896874185976
9,12,772.372682312753,579.8032262921924,-192.56945602056055
10,15,598.534362150831,447.4603115587214,-151.07405059210964
11,10,992.1162495109991,696.3819683618193,-295.73428114917976
12,14,657.3791854102519,484.24911109447476,-173.13007431577716
13,16,598.0421311598476,392.43732583280985,-205.60480532703775
14,11,850.0929916492696,620.4992970319136,-229.59369461735605
15,16,375.7063848263731,315.6580637994717,-60.04832102690142
16,13,698.5226518206332,576.625864390993,-121.8967874296402
17,15,627.4828739848981,464.7479000663248,-162.7349739185733
18,16,426.97659317831483,332.0343831135626,-94.9422100647522
19,14,660.7577113934415,494.11398142603304,-166.64372996740843
20,16,480.44376689459574,466.0102450332657,-14.433521861330064
21,12,800.0588178747939,559.3716025037348,-240.6872153710591
22,15,619.2213674353721,442.3867129383176,-176.83465449705454
23,10,1015.3373548306839,682.1785655221773,-333.1587893085066
24,12,724.2952451932055,524.5245646270401,-199.7706805661653
25,13,686.4350151958502,523.1820638298839,-163.25295136596628
26,16,504.3062700025446,403.45830034840725,-100.84796965413733
27,10,878.7577540044949,681.8506599662201,-196.90709403827486
28,14,643.7011141327893,503.2796071833899,-140.42150694939937
29,16,499.8502649777501,367.4493091950594,-132.4009557826907
