K,T,T_over_K,move_m,n_measure,n_clear,n_clear_ok,all_certified,failure,wall_s,cover_mode,n_optical_fallback,n_cover_visited,seed,N,error_mode
15,10516.675417051083,701.1116944700722,43653.37708525542,290,22,15,True,,0.26876749999064486,HEX37,0,37,0,15,smooth
13,12009.305814454565,923.7927549580435,47266.529072272795,371,118,13,True,,0.3053583000000799,HEX37,2,37,1,13,smooth
15,12242.038821957074,816.135921463805,50050.194109785334,306,140,15,True,,0.3159861999884015,HEX37,2,37,2,15,smooth
15,12438.038419607517,829.2025613071678,51095.19209803763,298,150,15,True,,0.3075154000107432,HEX37,3,37,3,15,smooth
15,11999.738887936392,799.9825925290928,50893.69443968197,296,23,15,True,,0.28850799999781884,HEX37,0,37,4,15,smooth
14,11126.402484406099,794.7430346004356,46347.0124220305,303,20,14,True,,0.24349069999880157,HEX37,0,37,5,14,smooth
13,11045.88125540992,849.6831734930709,44844.40627704961,340,19,13,True,,0.21914869999454822,HEX37,0,37,6,13,smooth
16,11134.163696362923,695.8852310226827,47310.81848181463,269,27,16,True,,0.27374929998768494,HEX37,1,37,7,16,smooth
15,11229.47284623089,748.6315230820594,46447.364231154475,262,127,15,True,,0.2559614999918267,HEX37,2,37,8,15,smooth
12,11895.260265535877,991.2716887946564,47831.30132767938,374,39,12,True,,0.29821930000616703,HEX37,1,37,9,12,smooth
15,11913.198749423262,794.2132499615508,48945.99374711629,336,42,15,True,,0.29076920000079554,HEX37,1,37,10,15,smooth
10,11608.390924972959,1160.839092497296,43056.95462486479,492,22,10,True,,0.19305020000319928,HEX37,1,37,11,10,smooth
14,11226.398256860728,801.8855897757663,45126.99128430364,327,90,14,True,,0.3157206000032602,HEX37,1,37,12,14,smooth
16,11760.448978879558,735.0280611799724,50437.24489439778,258,48,16,True,,0.3164483000000473,HEX37,3,37,13,16,smooth
11,12192.351140725737,1108.3955582477943,45961.75570362865,441,124,11,True,,0.20414630000595935,HEX37,2,37,14,11,smooth
16,11363.721187082787,710.2325741926742,47328.60593541395,302,36,16,True,,0.30521479999879375,HEX37,1,37,15,16,smooth
13,10685.376416431041,821.952032033157,40801.88208215521,416,16,13,True,,0.22860980000405107,HEX37,0,37,16,13,smooth
15,12028.331850813827,801.8887900542552,49846.659254069105,314,67,15,True,,0.3423811999964528,HEX37,2,37,17,15,smooth
16,11779.084228273508,736.1927642670943,50015.42114136757,255,91,16,True,,0.3248606999986805,HEX37,2,37,18,16,smooth
14,10836.572724477443,774.0409088912459,42157.86362238722,393,18,14,True,,0.17922279999766033,HEX37,0,37,19,14,smooth
16,12580.150097622018,786.2593811013761,51940.75048811011,291,155,16,True,,0.32483630000206176,HEX37,3,37,20,16,smooth
12,11249.773542385085,937.4811285320903,44258.86771192542,385,34,12,True,,0.17765179999696556,HEX37,1,37,21,12,smooth
15,11307.713438240502,753.8475625493668,46343.56719120249,310,63,15,True,,0.19972439999401104,HEX37,2,37,22,15,smooth
10,11088.708258151442,1108.8708258151441,41293.54129075721,459,34,10,True,,0.2089925000036601,HEX37,1,37,23,10,smooth
12,10048.142516531165,837.3452097109304,39375.712582655826,357,15,12,True,,0.15053149999585003,HEX37,0,37,24,12,smooth
13,10806.889587995,831.2991990765385,42344.44793997501,378,31,13,True,,0.23347509998711757,HEX37,1,37,25,13,smooth
16,11347.171543639419,709.1982214774637,47750.8577181971,277,51,16,True,,0.2687990000122227,HEX37,1,37,26,16,smooth
10,10158.628331947464,1015.8628331947464,37678.141659737325,433,14,10,True,,0.13830059999600053,HEX37,0,37,27,10,smooth
14,11278.226584529702,805.587613180693,45816.13292264852,345,21,14,True,,0.23468550000688992,HEX37,0,37,28,14,smooth
16,11624.441857315536,726.527616082221,49672.209286577694,235,98,16,True,,0.26388329999463167,HEX37,2,37,29,16,smooth
