K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,all_certified,failure,wall_s,cover_mode,route_mode,n_optical_fallback,n_cover_visited,n_insert,n_defer,pending_max,n_batch,n_probe,seed,N,error_mode
15,9600.26437933142,640.0176252887613,38271.32189665711,13054.03960792803,316,18,15,True,,0.18251109999255277,HEX37,ROUTE_INSERT_V2,0,37,15,33,9,9,17,0,15,smooth
13,10972.44968083077,844.0345908331362,42017.24840415384,15919.488470421034,420,22,13,True,,0.22234649999882095,HEX37,ROUTE_INSERT_V2,0,37,12,36,5,11,14,1,13,smooth
15,9320.828963799271,621.3885975866181,36784.14481899634,11851.946898075486,317,22,15,True,,0.24678909999784082,HEX37,ROUTE_INSERT_V2,0,37,15,19,8,12,25,2,15,smooth
15,9956.8346907269,663.7889793817934,37269.1734536345,12813.408897878933,408,17,15,True,,0.1971239999984391,HEX37,ROUTE_INSERT_V2,0,37,15,34,7,12,28,3,15,smooth
15,10255.080881723121,683.6720587815414,41140.40440861562,14895.306263486244,328,18,15,True,,0.22925340000074357,HEX37,ROUTE_INSERT_V2,0,37,13,36,8,12,34,4,15,smooth
14,10147.210876192217,724.8007768708727,38111.054380961104,13842.75753043441,412,19,14,True,,0.20797430000675377,HEX37,ROUTE_INSERT_V2,0,37,13,36,6,10,37,5,14,smooth
13,9722.032521915224,747.8486555319403,37330.162609576124,10843.265526304476,369,17,13,True,,0.20385399999213405,HEX37,ROUTE_INSERT_V2,0,37,13,21,9,10,21,6,13,smooth
16,9474.022457089966,592.1264035681229,37895.112285449824,14585.282579309885,305,19,16,True,,0.2152258999994956,HEX37,ROUTE_INSERT_V2,0,37,15,36,7,11,30,7,16,smooth
15,9418.530142106476,627.902009473765,37202.65071053237,12404.574201983156,321,16,15,True,,0.15917030000127852,HEX37,ROUTE_INSERT_V2,0,37,13,36,8,11,23,8,15,smooth
12,10926.654760081028,910.5545633400857,39368.273800405135,13784.965667678034,453,112,12,True,,0.21507629999541678,HEX37,ROUTE_INSERT_V2,1,37,11,35,6,8,33,9,12,smooth
15,10329.59349151604,688.6395661010694,42332.967457580206,16230.732635694814,300,21,15,True,,0.25948580000840593,HEX37,ROUTE_INSERT_V2,0,37,10,36,10,9,26,10,15,smooth
10,10339.039092058292,1033.9039092058292,36825.19546029145,9998.14044389754,491,15,10,True,,0.14687820000108331,HEX37,ROUTE_INSERT_V2,0,37,7,36,4,8,10,11,10,smooth
14,9428.658171821256,673.4755837015183,36473.290859106295,12583.359551266758,347,17,14,True,,0.24001600001065526,HEX37,ROUTE_INSERT_V2,0,37,14,35,8,12,30,12,14,smooth
16,9593.971350101949,599.6232093813718,38004.85675050974,13106.278957141683,322,18,16,True,,0.28709120000712574,HEX37,ROUTE_INSERT_V2,0,37,14,36,8,12,33,13,16,smooth
11,9694.007809966233,881.2734372696576,34460.03904983115,9543.799275841462,461,15,11,True,,0.24495300000126008,HEX37,ROUTE_INSERT_V2,0,37,10,36,6,11,20,14,11,smooth
16,10169.00456643726,635.5627854023287,40710.02283218628,16099.933671499877,327,24,16,True,,0.3227898000041023,HEX37,ROUTE_INSERT_V2,0,37,15,36,8,10,38,15,16,smooth
13,10605.02968341491,815.7715141088393,38930.14841707453,15498.375949232888,445,50,13,True,,0.20386050001252443,HEX37,ROUTE_INSERT_V2,1,37,11,36,4,11,21,16,13,smooth
15,9602.281491066251,640.1520994044167,37001.407455331246,13634.114288715667,354,23,15,True,,0.24355909999576397,HEX37,ROUTE_INSERT_V2,1,37,14,36,8,13,36,17,15,smooth
16,9717.12944231554,607.3205901447212,39105.647211577685,14367.759365916292,305,21,16,True,,0.2537233000039123,HEX37,ROUTE_INSERT_V2,0,37,14,36,8,11,27,18,16,smooth
14,10887.23219064376,777.65944218884,41426.160953218816,15643.64551939881,425,21,14,True,,0.2219506000110414,HEX37,ROUTE_INSERT_V2,0,37,14,36,6,11,14,19,14,smooth
16,10072.085952825104,629.505372051569,40500.429764125525,14190.713188811853,318,21,16,True,,0.20318450000195298,HEX37,ROUTE_INSERT_V2,0,37,13,36,10,9,24,20,16,smooth
12,9982.349043664077,831.8624203053397,37476.74521832038,12277.437558755548,408,14,12,True,,0.15655250000418164,HEX37,ROUTE_INSERT_V2,0,37,8,36,7,8,19,21,12,smooth
15,9799.529603540837,653.3019735693891,38347.6480177042,13773.610223331752,345,18,15,True,,0.20141069999954198,HEX37,ROUTE_INSERT_V2,0,37,14,36,8,11,33,22,15,smooth
10,10637.580493034066,1063.7580493034066,39127.90246517031,12319.77097156105,464,13,10,True,,0.15404670000134502,HEX37,ROUTE_INSERT_V2,0,37,8,36,4,8,13,23,10,smooth
12,9190.22825981328,765.85235498444,34566.14129906641,10599.269697763144,373,13,12,True,,0.16437040000164416,HEX37,ROUTE_INSERT_V2,0,37,10,36,8,11,24,24,12,smooth
13,9384.472817712442,721.8825244394186,34362.36408856221,9229.533082247002,412,13,13,True,,0.17168449999007862,HEX37,ROUTE_INSERT_V2,0,37,11,36,8,9,20,25,13,smooth
16,10219.35854733685,638.7099092085531,41131.792736684234,17644.933823027248,321,21,16,True,,0.23074179999821354,HEX37,ROUTE_INSERT_V2,0,37,14,36,7,14,24,26,16,smooth
10,9895.15157512623,989.5151575126231,35970.757875631156,9984.264924283947,446,10,10,True,,0.10831180000968743,HEX37,ROUTE_INSERT_V2,0,37,8,36,4,7,13,27,10,smooth
14,10365.895841071007,740.4211315050719,38819.479205355026,13167.20387330267,424,20,14,True,,0.23377429999527521,HEX37,ROUTE_INSERT_V2,0,37,12,36,6,10,32,28,14,smooth
16,9841.125327015492,615.0703329384683,39290.626635077446,13484.33815803955,320,23,16,True,,0.24891529999149498,HEX37,ROUTE_INSERT_V2,0,37,16,33,8,8,26,29,16,smooth
