K,T,T_over_K,move_m,n_measure,n_clear,n_clear_ok,all_certified,failure,wall_s,cover_mode,n_optical_fallback,n_cover_visited,seed,N,error_mode
15,16750.26277420919,1116.6841849472794,65946.31387104595,592,25,15,True,,0.3116107999958331,SQUARE81,0,81,0,15,smooth
13,18529.65561781483,1425.3581244472948,70088.27808907419,706,115,13,True,,0.3061376000114251,SQUARE81,1,81,1,13,smooth
15,18043.964792452174,1202.9309861634783,71559.82396226085,584,98,15,True,,0.30370099999709055,SQUARE81,3,81,2,15,smooth
15,17864.367561510146,1190.9578374340097,67391.83780755069,729,26,15,True,,0.28017679999175016,SQUARE81,0,81,3,15,smooth
15,17613.517012237364,1174.234467482491,69877.58506118681,605,25,15,True,,0.29569830000400543,SQUARE81,0,81,4,15,smooth
14,17572.82752962582,1255.2019664018444,65874.13764812906,713,62,14,True,,0.29313779999210965,SQUARE81,2,81,5,14,smooth
13,17377.50537791771,1336.731182916747,67192.52688958855,657,21,13,True,,0.24371579999569803,SQUARE81,0,81,6,13,smooth
16,17438.413525735174,1089.9008453584484,70667.06762867584,550,25,16,True,,0.31225990000530146,SQUARE81,0,81,7,16,smooth
15,16795.608396206633,1119.7072264137755,65628.04198103318,571,98,15,True,,0.20446979999542236,SQUARE81,1,81,8,15,smooth
12,19034.675890700404,1586.2229908917004,69933.37945350198,826,53,12,True,,0.25897550000809133,SQUARE81,2,81,9,12,smooth
15,19428.188226034195,1295.2125484022797,77850.94113017095,535,238,15,True,,0.39625590000650845,SQUARE81,4,81,10,15,smooth
10,18370.49212407266,1837.0492124072662,61687.4606203633,1002,27,10,True,,0.1769607000023825,SQUARE81,1,81,11,10,smooth
14,17715.023057446007,1265.358789817572,66905.11528723004,688,90,14,True,,0.27870660000189673,SQUARE81,1,81,12,14,smooth
16,17913.420616424482,1119.5887885265302,72227.1030821224,569,39,16,True,,0.34191409999039024,SQUARE81,1,81,13,16,smooth
11,18216.92880120087,1656.0844364728064,66739.64400600434,815,19,11,True,,0.2737807000085013,SQUARE81,0,81,14,11,smooth
16,17558.257164162635,1097.3910727601647,70711.28582081317,531,98,16,True,,0.3046273000072688,SQUARE81,1,81,15,16,smooth
13,18207.863830143862,1400.6049100110663,67209.31915071933,795,19,13,True,,0.22954170001321472,SQUARE81,0,81,16,13,smooth
15,17851.15385731832,1190.0769238212213,70560.76928659163,605,61,15,True,,0.391250200002105,SQUARE81,2,81,17,15,smooth
16,18357.126606950245,1147.3204129343903,75145.6330347512,540,53,16,True,,0.36349749998771586,SQUARE81,2,81,18,16,smooth
14,18085.535708869298,1291.8239792049499,66252.67854434648,801,31,14,True,,0.30814100000134204,SQUARE81,1,81,19,14,smooth
16,18369.42476385212,1148.0890477407575,71112.12381926058,675,57,16,True,,0.40442910000274424,SQUARE81,1,81,20,16,smooth
12,17855.451236446526,1487.9542697038771,64102.25618223264,830,40,12,True,,0.26655030000256374,SQUARE81,1,81,21,12,smooth
15,18110.267652736897,1207.3511768491264,71691.33826368442,576,128,15,True,,0.3721398999914527,SQUARE81,1,81,22,15,smooth
10,18462.558747087696,1846.2558747087696,64302.793735438485,931,28,10,True,,0.24454350001178682,SQUARE81,1,81,23,10,smooth
12,16300.576908076717,1358.3814090063931,60597.884540383595,699,15,12,True,,0.17140459999791346,SQUARE81,0,81,24,12,smooth
13,17558.44326567793,1350.6494819752256,64407.21632838971,770,43,13,True,,0.2767896000004839,SQUARE81,2,81,25,13,smooth
16,17461.96801835666,1091.3730011472912,71829.84009178329,510,31,16,True,,0.2785732999909669,SQUARE81,1,81,26,16,smooth
10,17799.803053362557,1779.9803053362557,61204.015266812785,931,10,10,True,,0.1416555000032531,SQUARE81,0,81,27,10,smooth
14,17606.56979632183,1257.612128308702,69242.84898160916,576,123,14,True,,0.34173200000077486,SQUARE81,2,81,28,14,smooth
16,17099.64970371556,1068.7281064822225,69583.24851857778,480,119,16,True,,0.3144227000011597,SQUARE81,1,81,29,16,smooth
