K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,all_certified,failure,wall_s,cover_mode,route_mode,n_optical_fallback,n_cover_visited,n_insert,n_defer,pending_max,n_batch,n_probe,n_aggressive_clear,n_aggressive_clear_ok,hex37_route,mean_first_detect_index,p95_first_detect_index,seed,N,error_mode
15,8778.62041875155,585.2413612501034,35148.10209375776,10481.128926494084,280,20,15,True,,0.14895010000327602,HEX37,ROUTE_INSERT_V3,0,37,27,36,9,25,22,13,8,PREFIX_A,3.2666666666666666,12.499999999999984,0,15,smooth
13,9558.418683914764,735.2629756857511,35322.093419573794,10466.329932546789,402,27,13,True,,0.17179060001217294,HEX37,ROUTE_INSERT_V3,1,37,26,36,8,21,23,10,6,PREFIX_A,7.153846153846154,23.799999999999997,1,13,smooth
15,9832.777398090735,655.518493206049,39533.886990453684,15906.013263190976,307,27,15,True,,0.2676805999944918,HEX37,ROUTE_INSERT_V3,0,37,28,36,11,22,18,13,4,PREFIX_A,4.466666666666667,23.299999999999997,2,15,smooth
15,10049.586208823292,669.9724139215527,39777.93104411646,14966.828969460366,335,28,15,True,,0.24856370000634342,HEX37,ROUTE_INSERT_V3,0,37,40,36,9,38,23,16,4,PREFIX_A,6.0,23.0,3,15,smooth
15,8679.753242726794,578.6502161817863,34748.76621363397,10995.571140128499,275,23,15,True,,0.2061668000096688,HEX37,ROUTE_INSERT_V3,0,37,30,36,10,27,27,14,7,PREFIX_A,2.4,7.299999999999999,4,15,smooth
14,9376.35624385104,669.7397317036457,36731.78121925521,11452.49681526385,327,20,14,True,,0.17480049999721814,HEX37,ROUTE_INSERT_V3,0,37,27,36,8,23,27,13,7,PREFIX_A,3.9285714285714284,12.299999999999994,5,14,smooth
13,9585.953189680375,737.381014590798,38174.76594840185,12555.284575226298,316,19,13,True,,0.15165909999632277,HEX37,ROUTE_INSERT_V3,0,37,21,36,11,19,14,10,5,PREFIX_A,1.6153846153846154,5.999999999999993,6,13,smooth
16,9090.920467370715,568.1825292106697,37149.60233685357,14442.556706105197,263,21,16,True,,0.1970657000056235,HEX37,ROUTE_INSERT_V3,0,37,30,36,10,24,27,13,8,PREFIX_A,3.6875,14.25,7,16,smooth
15,9512.703861028067,634.1802574018711,37668.519305140326,12042.425363238699,319,22,15,True,,0.1769415000017034,HEX37,ROUTE_INSERT_V3,0,37,31,36,7,26,16,10,4,PREFIX_A,5.866666666666666,28.499999999999993,8,15,smooth
12,9268.472187753036,772.372682312753,34352.360938765196,10615.53021560933,382,34,12,True,,0.19565049999800976,HEX37,ROUTE_INSERT_V3,1,37,24,36,10,22,29,9,7,PREFIX_A,2.5833333333333335,5.449999999999999,9,12,smooth
15,8978.015432262466,598.534362150831,34465.077161312314,11256.615694752614,336,21,15,True,,0.2129185000085272,HEX37,ROUTE_INSERT_V3,0,37,25,36,10,21,27,11,6,PREFIX_A,6.466666666666667,29.599999999999998,10,15,smooth
10,9921.162495109991,992.1162495109991,36495.81247554996,10365.204734179784,432,14,10,True,,0.15677610000420827,HEX37,ROUTE_INSERT_V3,0,37,19,36,9,16,11,7,4,PREFIX_A,2.7,6.649999999999997,11,10,smooth
14,9203.308595743527,657.3791854102519,35866.54297871762,12716.644295473081,329,18,14,True,,0.18294959999911953,HEX37,ROUTE_INSERT_V3,0,37,30,36,9,25,22,8,5,PREFIX_A,3.9285714285714284,19.15,12,14,smooth
16,9603.838171555763,600.2398857222352,38679.190857778805,14326.710584679253,297,24,16,True,,0.20095250000304077,HEX37,ROUTE_INSERT_V3,0,37,30,36,9,25,26,11,3,PREFIX_A,5.875,30.0,13,16,smooth
11,9351.022908141966,850.0929916492696,34630.11454070983,9632.447082862078,396,18,11,True,,0.15571730000374373,HEX37,ROUTE_INSERT_V3,0,37,29,36,10,27,15,13,6,PREFIX_A,2.272727272727273,5.0,14,11,smooth
16,8802.79886169676,550.1749288560475,36138.99430848382,10587.281553960118,251,23,16,True,,0.23016170000482816,HEX37,ROUTE_INSERT_V3,0,37,20,36,9,17,18,8,5,PREFIX_A,3.375,10.25,15,16,smooth
13,9080.794473668231,698.5226518206332,33798.97236834115,10128.682472058237,377,18,13,True,,0.17580589999852236,HEX37,ROUTE_INSERT_V3,0,37,25,36,10,24,14,9,4,PREFIX_A,6.230769230769231,18.19999999999999,16,13,smooth
15,9412.243109773472,627.4828739848981,37426.21554886735,14712.937850471399,306,28,15,True,,0.24060780000581872,HEX37,ROUTE_INSERT_V3,1,37,24,36,12,22,30,12,7,PREFIX_A,3.8666666666666667,14.499999999999984,17,15,smooth
16,9090.450902465338,568.1531814040836,36942.25451232666,13071.007478737698,270,25,16,True,,0.20569679999607615,HEX37,ROUTE_INSERT_V3,0,37,34,36,11,27,18,13,5,PREFIX_A,4.3125,22.0,18,16,smooth
