variant,label,cases,source_total,cleared_total,full_success,failures,ratio_sum_T_K,p95_T_over_K,paired_wins,paired_losses,paired_ties,worst_delta_T_over_K,worst_scene,delta_T_over_K,improvement_pct,movement_reduction_pct,probe_reduction_pct,mean_T,mean_T_over_K,mean_move_m,mean_movement_s,mean_n_measure,mean_discovery_measure,mean_refine_measure,mean_discovery_no_signal,mean_refine_no_signal,mean_failed_clears,mean_n_clear,mean_n_optical_fallback,mean_measure_s,mean_clear_s,mean_after_last_clear_s,mean_switches,N
baseline,冻结基线 TRI25 + V4,62,620,620,62,0,685.9517998958803,774.7795664285784,0,0,62,0.0,mixed_endpoint_50000,0.0,0.0,0.0,0.0,6859.517998958802,685.9517998958803,23739.92870447143,4747.985740894287,346.0967741935484,318.6290322580645,27.467741935483872,308.6290322580645,3.306451612903226,3.5483870967741935,13.548387096774194,0.04838709677419355,2050.8870967741937,60.64516129032268,479.2073462743348,320.4032258064516,10
previous_best,上轮 JSO + 紧凑外圈 + D-optimal,62,620,620,62,0,662.9388462491652,765.2429394977165,46,16,0,46.109053900665,mixed_endpoint_50065,-23.012953646715086,3.3548936893537107,4.722216827597547,0.4473855904557733,6629.388462491652,662.9388462491652,22618.87779632923,4523.775559265845,344.5483870967742,322.241935483871,22.306451612903224,312.241935483871,4.161290322580645,3.3225806451612905,13.32258064516129,0.0,2045.6451612903227,59.96774193548385,484.64470341728276,322.9032258064516,10
S_all,S 不限制单站补测数量,62,620,620,62,0,683.1367041426633,764.961965651384,30,28,4,47.295075655718165,mixed_smooth_50037,-2.8150957532169,0.4103926476531239,1.0739220796393223,-1.0998229098704293,6831.3670414266335,683.1367041426633,23484.980368423498,4696.996073684697,349.9032258064516,321.2741935483871,28.629032258064516,311.2741935483871,3.2903225806451615,3.225806451612903,13.225806451612904,0.016129032258064516,2074.6935483870966,59.67741935483883,441.1077422675436,325.1774193548387,10
F60,F 连续处理当前源（60 m）,62,620,620,62,0,685.9683150563055,774.7795664285784,0,1,61,1.0239399463659993,mixed_endpoint_50147,0.016515160425258052,-0.002407626953915276,-0.0034783508895186444,0.0,6859.683150563056,685.9683150563055,23740.754462492692,4748.15089249854,346.0967741935484,318.6290322580645,27.467741935483872,308.6290322580645,3.306451612903226,3.5483870967741935,13.548387096774194,0.04838709677419355,2050.8870967741937,60.64516129032268,479.2073462743348,320.4032258064516,10
C15,C 局部光学代价比 ≤1.5,62,620,620,62,0,674.5405822359371,765.8075052758783,57,5,0,1.9151893256549783,mixed_smooth_50022,-11.411217659943242,1.663559693505512,2.257988053114657,1.370118370770812,6745.405822359371,674.5405822359369,23203.883950506526,4640.776790101307,341.35483870967744,318.33870967741933,23.016129032258064,308.33870967741933,2.4838709677419355,10.14516129032258,20.14516129032258,4.5,2024.193548387097,80.43548387096783,482.1695316196747,317.4193548387097,10
P1,P 每站最多补测1次,62,620,620,62,0,684.6148710624416,786.7063005915976,31,27,4,48.65184174682611,mixed_endpoint_50057,-1.336928833438646,0.19490127930875678,0.8512594105547722,-1.2862335725603469,6846.148710624415,684.6148710624418,23537.840327315633,4707.568065463126,350.5483870967742,322.01612903225805,28.532258064516128,312.01612903225805,3.3870967741935485,3.403225806451613,13.403225806451612,0.03225806451612903,2078.3709677419356,60.209677419354925,480.80715289081246,325.6290322580645,10
F120,F 连续处理当前源（120 m）,62,620,620,62,0,687.5358447753273,777.2530450600735,18,24,20,64.09612386313052,mixed_endpoint_50057,1.5840448794470507,-0.23092655776797422,-0.5622444750459366,0.43806505732129075,6875.358447753273,687.5358447753273,23873.405141992178,4774.681028398434,344.5806451612903,317.80645161290323,26.774193548387096,307.80645161290323,3.0,3.2096774193548385,13.209677419354838,0.06451612903225806,2041.0483870967741,59.62903225806467,554.4249535119832,318.14516129032256,10
L30,L 局部完成代价（惩罚30 s）,62,620,620,62,0,683.8481933676728,759.4053212142759,33,29,0,92.42730365956436,mixed_endpoint_50020,-2.1036065282076217,0.30666972934935144,0.8788908801843243,-0.2749557274676073,6838.481933676728,683.8481933676726,23531.28063612557,4706.256127225115,347.0483870967742,324.56451612903226,22.483870967741936,314.56451612903226,4.080645161290323,6.82258064516129,16.822580645161292,0.14516129032258066,2061.7580645161293,70.467741935484,412.3797393301007,326.51612903225805,10
P2,P 每站最多补测2次,62,620,620,62,0,683.2172307618957,764.961965651384,30,28,4,47.295075655718165,mixed_smooth_50037,-2.734569133984513,0.3986532485809491,1.1187877931206236,-1.2396309068878564,6832.172307618957,683.2172307618958,23474.32928003028,4694.865856006054,350.38709677419354,321.9032258064516,28.483870967741936,311.9032258064516,3.1774193548387095,3.225806451612903,13.225806451612904,0.016129032258064516,2077.6290322580644,59.67741935483883,438.38484745879947,325.69354838709677,10
L90,L 局部完成代价（惩罚90 s）,62,620,620,62,0,686.8248777339659,774.3486952107587,31,31,0,87.26134570970805,mixed_endpoint_50050,0.873077838085393,-0.12727976487820758,-0.3214634010778594,0.6524373194146893,6868.248777339659,686.8248777339656,23816.243886698285,4763.248777339658,343.83870967741933,322.6290322580645,21.20967741935484,312.6290322580645,2.725806451612903,4.032258064516129,14.03225806451613,0.03225806451612903,2042.903225806452,62.09677419354839,525.8993585426998,323.7096774193548,10
C1,C 局部光学代价比 ≤1.0,62,620,620,62,0,681.1859629191376,771.2066004547231,45,2,15,2.5890418102571857,mixed_endpoint_50028,-4.765836976742508,0.6947772390809459,0.8688978066139885,0.6198154534439504,6811.859629191376,681.1859629191376,23533.65298466657,4706.730596933312,343.9516129032258,318.5967741935484,25.35483870967742,308.5967741935484,2.870967741935484,5.419354838709677,15.419354838709678,1.6935483870967742,2038.8709677419358,66.25806451612918,474.15493948660196,319.11290322580646,10
M75,M 后验质量试清除（0.75）,62,620,620,62,0,689.481976690986,768.9024867869363,33,29,0,76.27909644709234,mixed_endpoint_50155,3.5301767951057137,-0.5146391912145276,-0.5716208748209883,-0.6337962531456798,6894.819766909861,689.481976690986,23875.63109261382,4775.126218522763,348.2903225806452,319.9516129032258,28.338709677419356,309.9516129032258,3.1774193548387095,2.725806451612903,12.725806451612904,0.08064516129032258,2061.516129032258,58.1774193548388,543.957714985266,320.06451612903226,10
M50,M 后验质量试清除（0.50）,62,620,620,62,0,685.0560837941306,774.6439597034947,40,22,0,31.34476949714997,mixed_endpoint_50168,-0.8957161017498045,0.13058003519866856,0.07145440347986476,0.21903252866065648,6850.560837941306,685.0560837941304,23722.965480029103,4744.593096005822,345.33870967741933,317.9516129032258,27.387096774193548,307.9516129032258,3.225806451612903,3.2580645161290325,13.258064516129032,0.06451612903225806,2046.193548387097,59.7741935483872,574.9082254665439,319.5,10
LPC,L + P + C,62,620,620,62,0,670.9432452282743,747.9066302782879,42,20,0,57.65296119719869,mixed_endpoint_50051,-15.008554667605889,2.1879896910955043,3.2989554375395413,1.2629322397241127,6709.432452282744,670.9432452282743,22956.75903560726,4591.351807121453,341.7258064516129,322.03225806451616,19.693548387096776,312.03225806451616,3.532258064516129,12.5,22.5,4.17741935483871,2030.5806451612902,87.49999999999996,587.616889869467,321.9516129032258,10
PC,P + C,62,620,620,62,0,675.6898868997984,774.2740079073728,43,19,0,60.423184421254405,omni_endpoint_50037,-10.261912996082017,1.4960107980822368,2.5876460492813336,0.09786559791220562,6756.898868997983,675.6898868997985,23125.623377247975,4625.124675449595,345.758064516129,321.9193548387097,23.838709677419356,311.9193548387097,2.7903225806451615,10.064516129032258,20.06451612903226,4.370967741935484,2051.5806451612902,80.19354838709704,485.8728272101441,322.7903225806452,10
LC,L + C,62,620,620,62,0,675.5812018679736,747.3822299944034,42,20,0,87.69381881520485,mixed_endpoint_50020,-10.370598027906485,1.511855210450752,2.5004731646258604,0.8341877155373378,6755.812018679737,675.5812018679737,23146.318157914815,4629.263631582963,343.2096774193548,324.43548387096774,18.774193548387096,314.43548387096774,3.6774193548387095,12.225806451612904,22.225806451612904,4.548387096774194,2039.8709677419354,86.67741935483855,412.6269041288095,323.8225806451613,10
baseline,冻结基线 TRI25 + V4,48,528,528,48,0,631.2703636527641,696.5633779294137,0,0,48,0.0,mixed_endpoint_50004,0.0,0.0,0.0,0.0,6943.974000180406,631.2703636527641,24411.328334235357,4882.265666847073,336.6875,306.6875,30.0,295.6875,3.5625,4.166666666666667,15.166666666666666,0.08333333333333333,1994.2083333333333,67.49999999999994,320.1828472446957,310.7708333333333,11
previous_best,上轮 JSO + 紧凑外圈 + D-optimal,48,528,528,48,0,598.3134350993035,698.306613756,43,5,0,53.503502884966224,boundary_endpoint_50038,-32.95692855346071,5.220731155943992,6.714035445619048,1.973887754470638,6581.447786092339,598.3134350993033,22772.343097128356,4554.468619425671,330.0416666666667,306.4791666666667,23.5625,295.4791666666667,3.9166666666666665,4.125,15.125,0.0,1959.6041666666667,67.37500000000009,277.3808723547859,309.3958333333333,11
S_all,S 不限制单站补测数量,48,528,528,48,0,620.7440781714668,683.0353325972654,32,14,2,31.558551956657425,mixed_endpoint_50116,-10.526285481297343,1.6674765817277337,2.2107558456012533,0.27844811583441764,6828.184859886135,620.7440781714668,23871.65346609734,4774.330693219468,335.75,303.6666666666667,32.083333333333336,292.6666666666667,3.7708333333333335,3.2083333333333335,14.208333333333334,0.0,1989.2291666666667,64.62499999999996,367.0756063816788,310.4791666666667,11
L90,L 局部完成代价（惩罚90 s）,48,528,528,48,0,622.8118378894087,698.3127314247108,33,15,0,114.85674154952085,mixed_endpoint_50059,-8.458525763355546,1.3399212525060378,0.9345480120034,2.6792896479178263,6850.930216783495,622.8118378894086,24183.19275058414,4836.638550116829,327.6666666666667,304.7291666666667,22.9375,293.7291666666667,3.0625,4.541666666666667,15.541666666666666,0.0,1945.6666666666667,68.62500000000006,421.8714344702587,307.3333333333333,11
L30,L 局部完成代价（惩罚30 s）,48,528,528,48,0,622.7858210002858,679.9309834836118,31,17,0,77.01723752744999,mixed_endpoint_50148,-8.484542652478417,1.3440426069400324,1.5689601455068924,1.2127962378565615,6850.644031003143,622.7858210002856,24028.32432168238,4805.664864336476,332.6041666666667,307.6666666666667,24.9375,296.6666666666667,3.9583333333333335,5.291666666666667,16.291666666666668,0.08333333333333333,1974.1041666666667,70.87500000000018,334.8942489631947,311.0833333333333,11
P1,P 每站最多补测1次,48,528,528,48,0,624.0188357879545,684.499585748033,30,16,2,66.05729793983267,mixed_endpoint_50018,-7.2515278648096055,1.1487198326323278,1.3982607906093625,0.5259575521316728,6864.207193667499,624.0188357879546,24069.99430167083,4813.998860334167,334.9166666666667,303.6458333333333,31.270833333333332,292.6458333333333,3.5,3.5416666666666665,14.541666666666666,0.0,1984.583333333333,65.62500000000004,357.9110640828597,310.0,11
F60,F 连续处理当前源（60 m）,48,528,528,48,0,631.2631477382702,696.5633779294137,1,0,47,0.0,mixed_endpoint_50004,-0.007215914493959493,0.0011430782925092586,0.001625783291003824,0.0,6943.894625120972,631.2631477382702,24410.931458938194,4882.186291787639,336.6875,306.6875,30.0,295.6875,3.5625,4.166666666666667,15.166666666666666,0.08333333333333333,1994.2083333333333,67.49999999999994,320.1828472446957,310.7708333333333,11
P2,P 每站最多补测2次,48,528,528,48,0,622.048858328552,683.7097270554689,30,16,2,31.740370138475555,mixed_endpoint_50116,-9.221505324212123,1.4607854027635758,2.0285812364848277,0.03712641544458828,6842.537441614072,622.048858328552,23916.12470807036,4783.224941614072,336.5625,304.2916666666667,32.270833333333336,293.2916666666667,3.9166666666666665,3.4375,14.4375,0.0,1994.0,65.31250000000001,403.66135869170984,311.1875,11
F120,F 连续处理当前源（120 m）,48,528,528,48,0,633.1112571734716,698.3511513443775,11,23,14,32.51765632837328,mixed_endpoint_50021,1.8408935207074606,-0.2916172889941171,-0.33240705241932567,-0.25988490811212905,6964.223828908187,633.1112571734716,24492.473311207603,4898.49466224152,337.5625,307.2708333333333,30.291666666666668,296.2708333333333,3.5208333333333335,4.1875,15.1875,0.0625,1998.166666666667,67.56249999999987,322.4658900261582,310.3541666666667,11
C1,C 局部光学代价比 ≤1.0,48,528,528,48,0,625.5546235582976,694.43433383977,36,2,10,1.1684512497789683,mixed_smooth_50021,-5.71574009446649,0.9054345686993703,1.0240766162858184,1.0024132170038946,6881.100859141275,625.5546235582977,24161.337629039703,4832.267525807941,333.3125,305.375,27.9375,294.375,3.4583333333333335,6.291666666666667,17.291666666666668,1.7708333333333333,1974.9583333333333,73.87499999999991,304.06384252161405,308.3958333333333,11
C15,C 局部光学代价比 ≤1.5,48,528,528,48,0,619.5504765976419,684.2418365156522,44,4,0,8.3475930971033,mixed_endpoint_50089,-11.719887055122188,1.8565558800046622,2.4976025325231133,1.5283707691355675,6815.055242574061,619.5504765976419,23801.630379536975,4760.326075907394,331.5416666666667,306.2916666666667,25.25,295.2916666666667,3.0833333333333335,11.395833333333334,22.395833333333332,4.791666666666667,1965.5416666666667,89.18750000000007,326.12360449847694,307.8333333333333,11
PC,P + C,48,528,528,48,0,617.0658725462209,678.6082732958561,37,11,0,44.74949841892908,mixed_endpoint_50018,-14.204491106543257,2.2501438249612815,2.8781767542784387,1.924385867211198,6787.72459800843,617.0658725462208,23708.727156708814,4741.745431341763,330.2083333333333,303.625,26.583333333333332,292.625,2.7916666666666665,10.875,21.875,4.770833333333333,1958.3541666666667,87.62500000000018,378.4169144301695,307.3125,11
M50,M 后验质量试清除（0.50）,48,528,528,48,0,631.6641585258785,701.9189786075812,23,25,0,38.398273344611994,mixed_endpoint_50160,0.3937948731143166,-0.062381333860783705,-0.08232332852244895,-0.07425283088917656,6948.305743784663,631.6641585258785,24431.42455225665,4886.28491045133,336.9375,306.7083333333333,30.229166666666668,295.7083333333333,3.5833333333333335,4.0625,15.0625,0.0625,1994.8333333333333,67.18749999999994,363.21936274128416,310.1458333333333,11
M75,M 后验质量试清除（0.75）,48,528,528,48,0,631.1877466238759,700.135977424554,27,21,0,50.49039283076104,mixed_endpoint_50160,-0.08261702888822953,0.013087423970004064,-0.10427971416633319,0.006187735907425829,6943.065212862635,631.1877466238759,24436.784397646512,4887.356879529301,336.6666666666667,305.25,31.416666666666668,294.25,3.4166666666666665,2.9791666666666665,13.979166666666666,0.020833333333333332,1991.7708333333333,63.93750000000014,345.3136030917771,308.4375,11
LC,L + C,48,528,528,48,0,614.7631706378432,679.6304274699706,34,14,0,63.94279539135471,mixed_endpoint_50089,-16.507193014920997,2.614916518400179,3.3602900994272433,2.1409566239712796,6762.394877016275,614.7631706378431,23591.036885081372,4718.207377016275,329.4791666666667,308.125,21.354166666666668,297.125,3.8125,10.854166666666666,21.854166666666668,4.479166666666667,1956.625,87.56250000000001,329.3121711893831,309.2291666666667,11
LPC,L + P + C,48,528,528,48,0,610.7354301760989,664.8621208251898,38,10,0,54.84520596789707,mixed_endpoint_50088,-20.534933476665167,3.2529538307235706,4.274161816449151,1.9924509621929265,6718.089731937089,610.7354301760989,23367.94865968544,4673.589731937089,329.9791666666667,308.0416666666667,21.9375,297.0416666666667,3.4791666666666665,9.958333333333334,20.958333333333332,4.5625,1959.625,84.87499999999984,377.3986212086775,309.7291666666667,11
previous_best,上轮 JSO + 紧凑外圈 + D-optimal,40,480,480,40,0,546.1596363798533,648.6111460462446,30,10,0,61.718714809977996,boundary_endpoint_50048,-34.84248095475359,5.996962819102336,7.2207730353607396,2.947649740606828,6553.91563655824,546.1596363798533,23245.953182791203,4649.19063655824,308.675,282.15,26.525,270.15,4.275,4.575,16.575,0.0,1831.0,73.72500000000011,400.19645505979025,287.625,12
S_all,S 不限制单站补测数量,40,480,480,40,0,563.308636310354,609.745940974876,27,12,1,39.73569645577447,mixed_endpoint_50048,-17.69348102425289,3.045338475774073,4.275507602662321,-0.41660116333910313,6759.703635724249,563.3086363103541,23983.89317862124,4796.7786357242485,319.375,284.075,35.3,272.075,3.675,4.1,16.1,0.0,1890.625,72.29999999999977,486.6665270179795,293.75,12
