scene_id,variant,seed,source_kind,error_mode,scenario_sha256,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,n_optical_fallback,n_cover_visited,failure,all_certified,n_probe,n_replan,planner_wall_s,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s,failed_clears,switches,accounting_residual_s,full_success,certificate_max_distance_m,certificate_hull_margin_m,event_sha256,n_selective_probe,n_optimistic_attempt,n_early_optical_proposals,n_mass_attempt,n_budget_probe,n_burst_actions,n_local_optical_proposals,delta_T,delta_T_over_K,delta_move_m,delta_movement_s,delta_n_measure,delta_discovery_measure,delta_refine_measure,delta_discovery_no_signal,delta_refine_no_signal,delta_failed_clears,delta_n_clear,delta_n_optical_fallback,delta_measure_s,delta_clear_s,delta_after_last_clear_s,delta_switches
mixed_endpoint_50000,baseline,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6952.102071269618,695.2102071269618,24145.510356348088,8750.515811262274,345,18,10,0,25,,True,8,64,0.7315560000133701,0.7755768999923021,315,305,30,3,2048.9999999999995,73.99999999999999,4829.102071269618,1020.4855514512864,8,324,9.094947017729282e-13,True,943.0121947375768,17.74943008678929,4605c0b7c069e3be1ad643e67430b332e45e38f836ffdfc07d0b4e4fbc054449,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50001,baseline,50001,mixed,endpoint,d3e96ba0e56bc884daefeabb1c77fff144a59766c48950cb73f7d571766ff99c,14,14,6728.817565525966,480.6298261089975,25754.08782762983,8867.40612163712,254,20,14,0,25,,True,7,77,0.7757795999932569,0.8139608000055887,214,200,40,1,1490.0000000000005,87.99999999999956,5150.817565525967,2320.2636428729866,6,220,-9.094947017729282e-13,True,943.0121947375768,17.74943008678929,f7923a68d102e229ae11303e8e6d4bd14f1cc763e13edf39acc287cd61e54c92,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50002,baseline,50002,mixed,endpoint,af22126e7672ed70e8298e57eea43428ff7091457b68f1248e43fd6d2c1fa61b,16,16,5186.54702206569,324.1591888791056,21002.73511032844,15488.214120876171,151,20,16,0,13,,True,4,64,0.6787640999536961,0.703087499976391,115,99,36,3,894.000000000001,92.00000000000053,4200.547022065689,0.0,4,139,1.8189894035458565e-12,True,943.0121947375768,17.74943008678929,beb5e0e5aa8241fb864d7d916ae255984b4aa70da92cc2bac9d879208aba8bdb,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50003,baseline,50003,mixed,endpoint,45b09915201a4a6577aa5ff2427ee83e628f31ee1516a783e326741212b15e51,15,15,6889.977580739013,459.3318387159342,26234.88790369507,11721.030554209152,265,20,15,0,25,,True,13,85,1.2047897000156809,1.2486561999830883,211,196,54,6,1552.9999999999998,89.99999999999781,5246.977580739015,262.9109142517473,5,228,-9.094947017729282e-13,True,943.0121947375768,17.74943008678929,ba59efafd31fd68458237f2d73010ae3b25ce2f190fc7bbb0a3017ad47b57cf3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50004,baseline,50004,mixed,endpoint,229ba66b9b30b0111fd55a390f4da63195397b499fbcc9d396f536d418f8c836,11,11,7072.028861690038,642.9117146990943,24710.144308450203,8881.927849049782,347,16,11,0,25,,True,11,57,0.757584200007841,0.8023520999995526,319,308,28,3,2060.0,69.99999999999847,4942.028861690039,309.57528116508547,5,325,-2.7284841053187847e-12,True,943.0121947375768,17.74943008678929,810f39361b3c9f17fce60fd05d4a874561d6f742ac2dabd603ae4b7350d2f466,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50005,baseline,50005,mixed,endpoint,ba1f05d300ae41e4fdf9aed5b10ef178ad98767bb4c05608a8bf35cdaffa3c0f,13,13,7127.470121946717,548.2669324574398,26717.35060973358,11583.378670291306,290,16,13,0,25,,True,3,75,0.820293800032232,0.8520907000056468,252,239,38,5,1710.0000000000002,73.9999999999999,5343.470121946718,533.4655017354726,3,260,9.094947017729282e-13,True,943.0121947375768,17.74943008678929,bc9bd059a1463445bf8b63aef7a9366338283e6f76efcd0f614234201c85bc32,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50006,baseline,50006,mixed,endpoint,eb4b03e93aba8921d2cbea1cc98aac46c60a864f587cc7dfcb5301bb5b6bb1c6,13,13,6943.551363591932,534.1193356609178,26232.756817959667,10584.400113828318,274,20,13,0,25,,True,5,79,1.0120568000129424,1.04943989997264,234,221,40,5,1610.9999999999986,85.99999999999915,5246.551363591932,1386.969868095819,7,241,-9.094947017729282e-13,True,943.0121947375768,17.74943008678929,8f4f80706e58ffff587034ccc276a292c1f22338607783f8dd5d7edcbb3bb2a5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50007,baseline,50007,mixed,endpoint,c0f7a003c2e2662bc4d635170197603ff3e8534061ead741e6256f334f1b9b64,13,13,6848.953587840993,526.8425836800764,25889.76793920498,9473.621073832364,269,16,13,0,25,,True,10,59,0.775292999955127,0.8164389000157826,240,227,29,3,1597.0000000000002,73.99999999999865,5177.953587840995,241.5049394550333,3,252,-2.7284841053187847e-12,True,943.0121947375768,17.74943008678929,1f2a3a265b9fbdd3ff54da192523a574989fecaa75a8565634b529cefb5b6eac,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50008,baseline,50008,mixed,endpoint,b3a0a1190ee97c9716ddd3fd7ecc8934e53306a31bc2b771be4181c6bfbdc04c,15,15,7063.17512174215,470.87834144947664,25185.875608710747,13597.116281697625,327,20,15,0,25,,True,15,87,1.418869800021639,1.4932810999744106,269,254,58,4,1935.9999999999995,90.00000000000006,5037.175121742152,0.0,5,301,0.0,True,943.0121947375768,17.74943008678929,aedd0e43fdb66b5ec924f35692346550634e41d7efa2d567318bbed453c35b0b,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50009,baseline,50009,mixed,endpoint,9b8596c841b13d6f62f9afa1ffdfb7fc86c747436ddce1a036cf5117c87eb22a,10,10,7147.462507951282,714.7462507951282,25222.31253975641,6780.839447095937,344,13,10,0,25,,True,3,54,0.4309033000899944,0.4735517000081017,324,314,20,2,2043.999999999999,58.99999999999969,5044.4625079512825,312.5988393801836,3,324,-9.094947017729282e-13,True,943.0121947375768,17.74943008678929,69b5a8ca9d3d3fa57e2c163576150396f01c9cbd7742152d34ba56521a81fd1e,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50010,baseline,50010,mixed,endpoint,ea902b3a29ca09ac17a376db333376f3791052b29ed18437bf98ef63ef90a388,13,13,6745.380938791291,518.8754568300993,23501.90469395645,9007.242916500558,333,15,13,0,25,,True,10,74,1.7922015000658575,1.87152490002336,288,275,45,5,1973.9999999999995,71.00000000000026,4700.380938791292,183.144717710019,2,309,9.094947017729282e-13,True,943.0121947375768,17.74943008678929,8235d3d9ca37412d73279b668ea760ffff5b797d27cff7784db95fa9f7e0f70c,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_50011,baseline,50011,mixed,endpoint,7e0a970d25d0443ec8543701869009526f28fb63cba7ece232743bdb06ef694e,13,13,6234.283055247891,479.5602350190685,22501.41527623945,7511.17726753938,279,18,13,0,25,,True,16,60,1.0403909000451677,1.087856099999044,245,232,34,2,1654.000000000001,79.99999999999999,4500.283055247891,525.5775709557929,5,259,9.094947017729282e-13,True,943.0121947375768,17.74943008678929,256f837d9b2a565e8083bf643f038632288f2af441ee3bba3a0397c281371bfe,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
