variant,scene_id,seed,source_kind,error_mode,scenario_sha256,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,n_optical_fallback,n_cover_visited,failure,all_certified,n_probe,n_replan,planner_wall_s,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s,failed_clears,switches,accounting_residual_s,full_success,certificate_max_distance_m,certificate_hull_margin_m,event_sha256,n_selective_probe,n_optimistic_attempt,n_early_optical_proposals,n_mass_attempt,n_budget_probe,n_burst_actions,n_local_optical_proposals
baseline,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6952.102071269618,695.2102071269618,24145.510356348088,8750.515811262274,345,18,10,0,25,,True,8,64,0.7315560000133701,0.7755768999923021,315,305,30,3,2048.9999999999995,73.99999999999999,4829.102071269618,1020.4855514512865,8,324,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,4605c0b7c069e3be1ad643e67430b332e45e38f836ffdfc07d0b4e4fbc054449,0,0,0,0,0,0,0
previous_best,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6474.010949355806,647.4010949355805,22090.054746779035,6974.108733228809,334,16,10,0,25,,True,9,52,0.9059760999807622,0.9392676999850664,313,303,21,2,1988.0000000000007,67.99999999999963,4418.010949355807,0.0,6,318,-9.094947017729282e-13,True,943.0121947375769,2.074856830987301,c51bf8e8c4c5ddd27453fb78ee4cd8dd6b1f13e50e29669059f995d5891c462d,9,6,0,0,0,0,0
S_all,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6704.593883235863,670.4593883235864,22902.969416179305,6687.024331043377,347,15,10,0,25,,True,15,56,0.7245971999363974,0.7726860999828205,315,305,32,1,2059.0000000000023,65.00000000000072,4580.59388323586,0.0,5,324,2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,79e3eb383c5928b920c169f2fc12ca3660baf12620629ee95aa27cfb8de4912c,15,0,0,0,0,0,0
F60,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6952.102071269618,695.2102071269618,24145.510356348088,8750.515811262274,345,18,10,0,25,,True,8,63,0.3602673999557737,0.6048931000113953,315,305,30,3,2048.9999999999995,73.99999999999999,4829.102071269618,1020.4855514512865,8,324,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,b63156f216f27e3f58b359318a344d835a0ae2e34585e4afaf5650c614367504,0,0,0,0,0,1,0
C15,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6641.082881366576,664.1082881366576,22970.414406832875,7608.984126759825,325,33,10,6,25,,True,7,53,0.656534300011117,0.7100466999982018,300,290,25,3,1928.0000000000002,119.00000000000048,4594.082881366577,1160.49294511664,23,303,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,ad77cf76cf2b27a6b3bed810cbb9e512020d00919385c767e4ccddd7282abe10,0,0,0,0,0,0,73
P1,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6699.544147936857,669.9544147936857,22902.720739684282,6686.7687605156725,346,15,10,0,25,,True,14,56,0.7891856997739524,0.8430976000090595,315,305,31,1,2054.000000000002,65.00000000000072,4580.544147936855,0.0,5,324,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,6b8ab8648c4d3ee6050de9369b7abca29718ccd7f1ecf608c06f5529a60655bf,14,0,0,0,14,0,0
F120,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6912.478377553994,691.2478377553994,23997.39188776996,8616.850103272767,344,17,10,0,25,,True,8,51,0.4836075000639539,0.7439104999939445,315,305,29,3,2042.0,70.99999999999996,4799.478377553993,1020.4855514512865,7,322,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,63be9b5a79a0901fadfead9a061a7954aea48068cfe250dcea3b21b8e46f46fa,0,0,0,0,0,11,0
L30,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6669.286134196261,666.9286134196261,22921.43067098129,7533.420521350194,340,15,10,0,25,,True,7,53,1.2352792999881785,1.2834252000029664,319,309,21,1,2020.0000000000014,65.0000000000011,4584.286134196257,214.10450308801683,5,320,2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,e6cebef4cd0c12cafa4bf594d8eb45f4d6b8396aeb9eed92e82a5269fe785eb4,0,0,0,0,0,0,0
P2,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6704.593883235863,670.4593883235864,22902.969416179305,6687.024331043377,347,15,10,0,25,,True,15,56,0.8208901999460068,0.8797483000089414,315,305,32,1,2059.0000000000023,65.00000000000072,4580.59388323586,0.0,5,324,2.7284841053187847e-12,True,943.0121947375769,17.74943008678929,baaec9bfcfa012beaca74f4ad8e5c1d6a3bac7087a964846ff2fc545047343df,15,0,0,0,15,0,0
L90,mixed_endpoint_50000,50000,mixed,endpoint,c45156dd8e49ffe2b2c71f607a87e92016c2ac0caf91fb7749616c8965094f45,10,10,6665.871377799083,666.5871377799083,22864.356888995408,7773.7262442623205,340,17,10,0,25,,True,10,54,1.2563968999893405,1.3185759999905713,317,307,23,3,2022.0000000000011,71.00000000000033,4572.8713777990815,147.22514740271072,7,322,1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,b000a14a5a46b3633bad3f8d70d47b12268fb487b29e09f681b7e188ba5ec019,0,0,0,0,0,0,0
