variant,label,cases,source_total,cleared_total,full_success,failures,ratio_sum_T_K,p95_T_over_K,paired_wins,paired_losses,paired_ties,worst_delta_T_over_K,worst_scene,delta_T_over_K,improvement_pct,movement_reduction_pct,probe_reduction_pct,mean_T,mean_T_over_K,mean_move_m,mean_movement_s,mean_n_measure,mean_discovery_measure,mean_refine_measure,mean_discovery_no_signal,mean_refine_no_signal,mean_failed_clears,mean_n_clear,mean_n_optical_fallback,mean_measure_s,mean_clear_s,mean_after_last_clear_s,mean_switches,source_kind,error_mode
S_all,S 不限制单站补测数量,50,646,646,50,0,582.3708548064901,778.0116397660522,31,11,8,33.63873785013959,boundary_endpoint_50008,-7.253829689841556,1.2014751825620507,1.8765657088962828,-0.13133966457870017,7524.2314440998525,596.4897844207128,25503.957220499276,5100.791444099855,396.44,368.0,28.44,355.08,11.02,2.94,15.86,0.0,2350.0199999999995,73.42000000000003,53.64069613033531,367.82,boundary,endpoint
previous_best,上轮 JSO + 紧凑外圈 + D-optimal,50,646,646,50,0,594.6915411214769,766.1913116798801,25,25,0,122.44988481769201,boundary_endpoint_50034,4.209670970918001,-0.697261366005475,-1.458406783705657,0.1565972923822989,7683.414711289482,607.9532850814724,26370.77355644741,5274.154711289481,395.3,367.66,27.64,354.74,11.9,0.94,13.86,0.0,2341.8399999999992,67.41999999999986,90.89186201858871,365.34,boundary,endpoint
baseline,冻结基线 TRI25 + V4,50,646,646,50,0,589.6750574825169,781.0367042228148,0,0,50,0.0,boundary_endpoint_50000,0.0,0.0,0.0,0.0,7618.601742674118,603.7436141105543,25991.708713370594,5198.341742674119,395.92,368.46,27.46,355.54,10.18,3.12,16.04,0.0,2346.2999999999993,73.95999999999998,38.779166793611786,366.7,boundary,endpoint
L30,L 局部完成代价（惩罚30 s）,50,646,646,50,0,560.2963791695083,737.7076566268515,47,3,0,11.207411180217491,boundary_endpoint_50015,-29.402813781152886,4.87008277917268,5.772466272094457,3.379470600121237,7239.029218870048,574.3408003294014,24491.346094350247,4898.2692188700485,382.54,362.9,19.64,349.98,4.94,1.54,14.46,0.0,2271.54,69.21999999999998,133.02402631653638,358.84,boundary,endpoint
L90,L 局部完成代价（惩罚90 s）,50,646,646,50,0,592.7728830984327,778.780452603683,29,21,0,98.69256770429064,boundary_endpoint_50034,2.5158825185603164,-0.41671372744320756,-1.9183792042562375,2.6065871893311776,7658.62564963175,606.2594966291147,26490.32824815876,5298.065649631751,385.6,366.12,19.48,353.2,4.82,1.8,14.72,0.0,2290.56,69.99999999999994,121.02816173853007,362.56,boundary,endpoint
P1,P 每站最多补测1次,50,646,646,50,0,583.3682810838424,790.6697354945017,29,13,8,33.63873785013959,boundary_endpoint_50008,-6.198089798724009,1.0266095829195687,1.608658206989244,-0.09597898565365526,7537.118191603243,597.5455243118304,25573.590958016222,5114.718191603244,396.3,368.0,28.3,355.08,11.02,2.88,15.8,0.0,2349.1599999999994,73.24,53.64069613033531,367.66,boundary,endpoint
P2,P 每站最多补测2次,50,646,646,50,0,582.3274250230376,778.0116397660522,31,11,8,33.63873785013959,boundary_endpoint_50008,-7.306069778229365,1.210127876713496,1.8792802822966581,-0.11113356233583005,7523.670331297646,596.4375443323249,25503.25165648823,5100.650331297647,396.36,368.0,28.36,355.08,11.0,2.92,15.84,0.0,2349.6599999999994,73.36000000000001,53.64069613033531,367.86,boundary,endpoint
F60,F 连续处理当前源（60 m）,50,646,646,50,0,589.6868334446771,781.0367042228148,0,2,48,0.5106610347146443,boundary_endpoint_50007,0.011504791499814928,-0.0019055756832697668,-0.0029268070211418973,0.0,7618.753888105228,603.755118902054,25992.46944052614,5198.493888105227,395.92,368.46,27.46,355.54,10.18,3.12,16.04,0.0,2346.2999999999993,73.95999999999998,38.779166793611786,366.7,boundary,endpoint
F120,F 连续处理当前源（120 m）,50,646,646,50,0,591.3422531595146,782.0460748750359,2,19,29,18.156828526882578,boundary_endpoint_50046,1.6510892915220712,-0.2734752389811135,-0.43975885538936055,0.045463730046479967,7640.141910820929,605.3947034020764,26106.00955410465,5221.20191082093,395.74,368.04,27.7,355.12,10.22,3.2,16.12,0.02,2344.7399999999993,74.19999999999987,48.253308296202796,366.04,boundary,endpoint
C15,C 局部光学代价比 ≤1.5,50,646,646,50,0,579.3935620679742,773.0783399908612,48,2,0,0.2876402152267019,boundary_endpoint_50033,-10.453471022489394,1.7314420853775103,2.020969877633494,1.4043241058799727,7485.764821918227,593.290143088065,25466.424109591135,5093.284821918227,390.36,366.26,24.1,353.34,10.06,4.26,17.18,4.18,2315.0999999999995,77.38000000000001,61.53006572068809,363.3,boundary,endpoint
LC,L + C,50,646,646,50,0,556.2853492394626,736.1297631770108,48,2,0,5.2929988456894534,boundary_endpoint_50024,-33.345200519764624,5.523072996621147,6.598162404071195,3.7633865427359137,7187.2067121738555,570.3984135907897,24276.733560869285,4855.346712173856,381.02,362.9,18.12,349.98,4.94,1.26,14.18,2.2,2263.48,68.3799999999999,133.02651953622382,358.38,boundary,endpoint
