variant,label,cases,source_total,cleared_total,full_success,failures,ratio_sum_T_K,p95_T_over_K,paired_wins,paired_losses,paired_ties,worst_delta_T_over_K,worst_scene,delta_T_over_K,improvement_pct,movement_reduction_pct,probe_reduction_pct,mean_T,mean_T_over_K,mean_move_m,mean_movement_s,mean_n_measure,mean_discovery_measure,mean_refine_measure,mean_discovery_no_signal,mean_refine_no_signal,mean_failed_clears,mean_n_clear,mean_n_optical_fallback,mean_measure_s,mean_clear_s,mean_after_last_clear_s,mean_switches,ci95_delta_low,ci95_delta_high,block_signflip_p,independent_seed_blocks,holm_p,mean_n_mass_attempt,mean_n_budget_probe,mean_n_burst_actions,mean_n_local_optical_proposals,mean_mass_success,mean_burst_measurements,mean_burst_clears,mean_cost_gated_optical_executions,mean_optimistic_success,mean_selective_heard
baseline,冻结基线 TRI25 + V4,400,5208,5208,400,0,523.3271108423997,700.644622596898,0,0,400,0.0,mixed_endpoint_50000,0.0,0.0,0.0,0.0,6813.718983168044,537.3760030439045,24925.46991584022,4985.093983168044,295.55,260.2125,35.3375,247.1925,4.345,5.3875,18.4075,0.05,1747.3625,81.26249999999999,343.0597548485919,269.6125,0.0,0.0,1.0,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
previous_best,上轮 JSO + 紧凑外圈 + D-optimal,400,5208,5208,400,0,499.69962273515097,674.6335249230257,303,97,0,122.44988481769201,boundary_endpoint_50034,-23.887129721667762,4.445142616410481,5.626020213527527,1.8541701911690134,6506.089088011666,513.4888733222366,23523.157940058332,4704.631588011665,290.07,260.6875,29.3825,247.6675,5.3625,5.595,18.615,0.0225,1719.5725,81.88500000000002,284.660394246632,269.2225,-29.06058407333839,-19.2104086032464,9.999000099990002e-05,200,0.0014998500149985003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7025,12.215
S_all,S 不限制单站补测数量,400,5208,5208,400,0,515.5790502335836,700.3195988265421,249,143,8,97.61248883274578,mixed_endpoint_50129,-7.742373085279508,1.440773879262136,2.675721853532953,-1.77127389612588,6712.839234041259,529.633629958625,24258.533670206303,4851.7067340412605,300.785,261.8025,38.9825,248.7825,4.25,5.375,18.395,0.0275,1779.9075,81.22499999999991,361.19671301029285,275.9825,-10.679667554467326,-4.827737641800102,9.999000099990002e-05,200,0.0014998500149985003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.765
L30,L 局部完成代价（惩罚30 s）,400,5208,5208,400,0,512.4759083923705,710.9708267667178,246,154,0,93.9373503885779,directional_endpoint_50046,-10.20714157489023,1.899441269627422,2.3082845837592902,2.0698697343935035,6672.436327268664,527.1688614690142,24350.119136343317,4870.023827268665,289.4325,260.09,29.3425,247.07,4.66,7.135,20.155,0.115,1715.9075,86.50500000000004,369.6438086160857,268.745,-14.996075737136852,-5.797579778832622,9.999000099990002e-05,200,0.0014998500149985003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L90,L 局部完成代价（惩罚90 s）,400,5208,5208,400,0,516.3695375626085,708.4922157242393,238,162,0,114.85674154952085,mixed_endpoint_50059,-6.801429138231554,1.265674146166873,1.174503515893044,2.416680764676027,6723.131379065162,530.5745739056729,24632.719395325817,4926.543879065163,288.4075,261.0225,27.385,248.0025,3.8125,7.0175,20.0375,0.0725,1710.435,86.15250000000002,375.3796655104759,268.3975,-10.906286875210995,-2.7458080542012655,0.0010998900109989002,200,0.0054994500549945015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1,P 每站最多补测1次,400,5208,5208,400,0,513.3815010390697,696.927740947373,252,140,8,97.57823298695331,mixed_endpoint_50129,-9.3443260578199,1.738880412390964,2.819341824124233,-0.5109118592454776,6684.2271435286875,528.0316769860846,24222.735717643434,4844.547143528687,297.06,259.4325,37.6275,246.4125,4.2275,5.46,18.48,0.03,1758.2,81.48000000000002,351.0073261461372,272.9,-12.819327469948925,-6.054928621941954,9.999000099990002e-05,200,0.0014998500149985003,0.0,13.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0675
P2,P 每站最多补测2次,400,5208,5208,400,0,513.2504988112831,700.3195988265421,254,138,8,97.61248883274578,mixed_endpoint_50129,-9.65373738355518,1.7964585930284938,3.130933723057905,-1.3364912874302082,6682.521494522906,527.7222656603492,24145.069972614536,4829.013994522906,299.5,261.1225,38.3775,248.1025,4.235,5.285,18.305,0.03,1772.5525,80.95499999999994,356.81690662522107,275.0525,-12.798732977452433,-6.606114638495405,9.999000099990002e-05,200,0.0014998500149985003,0.0,14.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2375
F60,F 连续处理当前源（60 m）,400,5208,5208,400,0,523.3367864202031,700.644622596898,6,9,385,42.02404692144677,mixed_smooth_50045,0.008533826795392371,-0.0015880550577440644,0.009157780746804622,0.005921163931643658,6813.844959191044,537.3845368706999,24923.187295955213,4984.6374591910435,295.5325,260.195,35.3375,247.175,4.3525,5.6125,18.6325,0.05,1747.27,81.93749999999999,343.0597548485919,269.6075,-0.221831879361127,0.28182926441294204,0.9398060193980602,200,1.0,0.0,0.0,1.7925,0.0,0.0,0.295,1.4975,0.0,0.0,0.0
F120,F 连续处理当前源（120 m）,400,5208,5208,400,0,524.3619118902573,703.7644495456209,120,180,100,84.47318066117737,directional_endpoint_50045,1.1633722752220617,-0.21649129634226938,-0.3459936703569255,0.12857384537303673,6827.192092811149,538.5393753191265,25011.71046405575,5002.34209281115,295.17,260.01,35.16,246.99,4.2875,5.3975,18.4175,0.055,1743.5575,81.29249999999996,325.64227313958037,267.7075,-1.0237956432805189,3.186089482386206,0.29917008299170084,200,1.0,0.0,0.0,12.22,0.0,0.0,7.095,5.125,0.0,0.0,0.0
C1,C 局部光学代价比 ≤1.0,400,5208,5208,400,0,518.6171519412422,695.4829113155556,322,24,54,40.20928592717655,mixed_endpoint_50119,-4.771469940661811,0.8879201738883569,1.0483987878570966,1.008289629504322,6752.395318274974,532.6045331032427,24664.15159137487,4932.830318274973,292.57,259.6525,32.9175,246.6325,4.0225,8.0675,21.0875,2.1275,1730.2625,89.30250000000005,340.02149425026363,267.4125,-5.621869081871694,-4.009757232935711,9.999000099990002e-05,200,0.0014998500149985003,0.0,0.0,0.0,7.22,0.0,0.0,0.0,2.095,0.0,0.0
