K,T,T_over_K,move_m,n_measure,n_clear,all_certified,failure,wall_s,seed,N,error_mode
14,37869.84174358942,2704.9886959706732,167429.20871794713,727,32,False,pending_unresolved,1.6916638999973657,0,15,smooth
12,31274.379023316702,2606.1982519430585,133351.8951165835,756,39,False,pending_unresolved,1.6253872999950545,1,13,smooth
14,36035.802761617146,2573.985911544082,161004.01380808582,632,35,False,pending_unresolved,1.7148835999978473,2,15,smooth
13,38573.438513223286,2967.1875779402526,165542.19256611646,899,38,False,pending_unresolved,1.7360941000079038,3,15,smooth
15,20448.769999150103,1363.2513332766734,81753.84999575047,666,30,True,,1.451724500002456,4,15,smooth
13,30984.99220143553,2383.4609385719637,131114.96100717763,785,32,False,pending_unresolved,1.4588196000113385,5,14,smooth
11,38654.82187395657,3514.0747158142335,165619.10936978282,911,35,False,pending_unresolved,1.4976999000064097,6,13,smooth
16,20813.635862212424,1300.8522413882765,88078.1793110621,517,29,True,,1.5603985999914585,7,16,smooth
15,19964.536114214527,1330.9690742809685,79082.68057107259,675,31,True,,1.4415523999923607,8,15,smooth
10,37920.54550424121,3792.054550424121,158502.727521206,1027,29,False,pending_unresolved,1.1989815999986604,9,12,smooth
15,20012.789938167283,1334.1859958778189,79243.94969083637,676,34,True,,1.4513626999978442,10,15,smooth
9,37865.58979670148,4207.287755189053,155947.9489835074,1117,18,False,pending_unresolved,0.8977706000005128,11,10,smooth
14,18898.453656944985,1349.8895469246418,74122.26828472491,669,18,True,,1.2152148000022862,12,14,smooth
14,31498.127220436436,2249.866230031174,136185.63610218218,694,35,False,pending_unresolved,1.6285702000022866,13,16,smooth
10,38343.40226667321,3834.340226667321,162427.01133336607,972,35,False,pending_unresolved,1.3699396999872988,14,11,smooth
16,19785.988996275497,1236.6243122672186,82054.94498137746,545,32,True,,1.619200400004047,15,16,smooth
11,36396.72169006034,3308.792880914576,153548.6084503017,937,25,False,pending_unresolved,1.3007490000018151,16,13,smooth
12,40969.77803482246,3414.1481695685384,174658.8901741123,986,43,False,pending_unresolved,1.6606505000090692,17,15,smooth
15,39119.0326501541,2607.9355100102734,175735.16325077048,652,45,False,pending_unresolved,1.7902430999965873,18,16,smooth
13,27139.099298986865,2087.6230229989897,112420.49649493431,767,27,False,pending_unresolved,1.3553504000010435,19,14,smooth
16,20538.433864180784,1283.652116511299,81727.16932090391,680,36,True,,1.5370781999954488,20,16,smooth
12,19135.295249130882,1594.6079374275735,71071.47624565443,809,21,True,,1.1550396000093315,21,12,smooth
14,30824.90928393078,2201.7792345664843,133924.54641965393,665,31,False,pending_unresolved,1.5530699999944773,22,15,smooth
10,20213.541746218863,2021.3541746218864,72672.70873109429,934,24,True,,1.1352140000090003,23,10,smooth
12,19016.113320314988,1584.676110026249,71555.56660157494,773,19,True,,1.0188108000002103,24,12,smooth
13,19097.812766293617,1469.0625204841244,71914.06383146805,776,17,True,,1.232772199989995,25,13,smooth
15,37434.88558137385,2495.6590387582564,162304.4279068692,821,37,False,pending_unresolved,1.7133862000046065,26,16,smooth
10,20142.673717839876,2014.2673717839875,72248.36858919938,937,22,True,,1.130580099998042,27,10,smooth
13,37476.69827538437,2882.822944260336,163958.49137692185,780,26,False,pending_unresolved,1.8542802000010852,28,14,smooth
16,19803.928472805623,1237.7455295503514,82459.64236402808,534,33,True,,1.5340034999971977,29,16,smooth
