evidence,revision,case_code,N,n_omni,n_directional,K,K_over_N,T,T_over_K,wall_s,move_m,n_measure,n_clear,all_certified,failure,pending,count_source
20260911-195041-q4-p4,historical,KP2M-TB28-AEBW-4JC4,10,6,4,0,0.0,36212.007054,,32.78227239999978,131460.03528759052,1637,33,False,,2;4;5;8;9;13;16;17;18;19,post-exit ui-after.txt
20260911-195413-q4-p4,historical,GKD8-ZTVZ-PH6K-FHG6,11,8,3,9,0.8181818181818182,22369.781623,2485.5312914444444,31.617447399999946,82958.90811816766,766,389,False,,13;19,post-exit ui-after.txt
20260911-195707-q4-p4,historical,KDBD-SYTS-TRY9-ACY8,16,11,5,12,0.75,25450.767295,2120.8972745833335,52.184765900005004,103348.83647555273,458,672,False,,2;7;14;20,post-exit ui-after.txt
20260911-195953-q4-p4,historical,B4JM-ASRN-G57A-GYGK,10,2,8,10,1.0,19595.0,1959.5,12.241316300001927,65600.0,966,220,True,,,post-exit ui-after.txt
20260911-200740-q4-p4,historical,YY2W-SHHN-N9XS-VY98,,,,9,,25452.100411,2828.0111567777776,58.55663770000683,95350.50205562738,782,559,False,,3;12;14,not available
20260911-202958-q4-p4,historical,GPYF-JUG2-XJXV-YWBU,16,3,13,8,0.5,8554.27815,1069.28476875,39.428511499994784,32506.390746754118,336,11,False,,8,post-exit ui-after.txt
20260911-203359-q4-p4,historical,JN8H-B658-3WUA-9WWW,15,5,10,4,0.26666666666666666,2450.871846,612.7179615,0.49104170000646263,10914.359229173517,41,7,False,,16,post-exit ui-after.txt
20260911-203652-q4-p4,historical,JP7X-K2B3-CBSE-DPFH,14,2,12,8,0.5714285714285714,5109.390079,638.673759875,0.6241892999969423,23461.950389540445,62,15,False,,10;13,post-exit ui-after.txt
20260911-203852-q4-p4,historical,CBES-NG4F-QEUS-FWW4,16,0,16,7,0.4375,3991.428358,570.2040511428571,0.7705728000000818,17882.141771420487,65,10,False,,7,post-exit ui-after.txt
20260911-204015-q4-p4,historical,765B-KFUH-2K2J-FBXE,16,0,16,13,0.8125,39337.500079,3025.9615445384616,6.962462299998151,169457.50039487766,897,22,False,pending_unresolved,1;6;19,post-exit ui-after.txt
20260911-204515-q4-p4,historical,UAWW-HNNR-3F74-X2E4,11,0,11,7,0.6363636363636364,39152.273127,5593.181875285714,8.941180699999677,158001.36560383282,1247,34,False,pending_unresolved,7;11;15;16,post-exit ui-after.txt
20260911-204709-q4-p4,historical,8263-MEUQ-RJ24-H59D,13,10,3,9,0.6923076923076923,39844.735884,4427.192876,8.939064899997902,164258.67939014616,1152,32,False,pending_unresolved,10;11;15;18,post-exit ui-after.txt
20260911-211252-q4-p4,cumulative-optical-v2,RY5T-NRA4-FUT8-YMV7,12,0,12,12,1.0,19858.118636,1654.8432196666665,9.533892699997523,70925.59328087741,846,223,True,,,post-exit ui-after.txt
20260911-211657-q4-p4,cumulative-optical-v2,T23C-W3X2-QC5X-CRR3,16,12,4,16,1.0,16518.837864,1032.4273665,4.783598299996811,66074.18932587918,550,18,True,,,post-exit ui-after.txt
