variant,label,cases,source_total,cleared_total,full_success,failures,ratio_sum_T_K,p95_T_over_K,paired_wins,paired_losses,paired_ties,worst_delta_T_over_K,worst_scene,delta_T_over_K,improvement_pct,movement_reduction_pct,probe_reduction_pct,mean_T,mean_T_over_K,mean_move_m,mean_movement_s,mean_n_measure,mean_discovery_measure,mean_refine_measure,mean_discovery_no_signal,mean_refine_no_signal,mean_failed_clears,mean_n_clear,mean_n_optical_fallback,mean_measure_s,mean_clear_s,mean_after_last_clear_s,mean_switches,N
J,J 源中心联合路线,70,700,700,70,0,676.6858882007606,781.6596705739073,35,34,1,89.490856075657,directional_endpoint_30028,-2.3266935363071153,0.342658383494876,0.625895803704124,0.04662795133738573,6766.858882007606,676.6858882007606,23517.222981466606,4703.44459629332,336.85714285714283,314.9,21.957142857142856,304.9,3.3714285714285714,4.571428571428571,14.571428571428571,0.02857142857142857,1999.6999999999996,63.714285714285666,581.9654300715392,315.4142857142857,10
baseline,冻结基线 TRI25 + V4,70,700,700,70,0,679.0125817370678,777.1735913415121,0,0,70,0.0,mixed_endpoint_30003,0.0,0.0,0.0,0.0,6790.125817370677,679.0125817370676,23665.34337256768,4733.0686745135345,337.01428571428573,309.0857142857143,27.928571428571427,299.0857142857143,3.585714285714286,3.6142857142857143,13.614285714285714,0.014285714285714285,1996.2142857142858,60.84285714285712,699.5321323746367,311.14285714285717,10
previous_best,上一轮最优（附加对照）,70,700,700,70,0,664.2615986704456,776.044451427768,48,22,0,48.026579543305274,mixed_endpoint_30097,-14.750983066622114,2.1724167509364345,3.1793593033618284,0.27552880335721674,6642.615986704455,664.2615986704457,22912.93707637943,4582.587415275884,336.0857142857143,315.34285714285716,20.742857142857144,305.34285714285716,3.3142857142857145,4.457142857142857,14.457142857142857,0.014285714285714285,1996.6571428571428,63.37142857142852,605.975135463212,316.22857142857146,10
S,S 选择性顺路探测,70,700,700,70,0,672.5441787288144,743.8290821456466,41,27,2,66.08174826146103,mixed_endpoint_30086,-6.468403008253286,0.9526190209473984,1.7590164939349617,-0.7333305073968788,6725.441787288143,672.5441787288144,23249.066079297867,4649.813215859573,339.48571428571427,308.84285714285716,30.642857142857142,298.84285714285716,2.942857142857143,4.628571428571429,14.628571428571428,0.08571428571428572,2011.7428571428572,63.8857142857141,686.0607073155346,314.3142857142857,10
JS,J + S,70,700,700,70,0,669.6128827696546,758.4172160978262,41,28,1,84.36364769515069,mixed_endpoint_30131,-9.399698967413194,1.3843188212163016,2.2494585556906976,-0.26281208935610145,6696.128827696545,669.6128827696547,23133.00128133987,4626.600256267973,337.9,313.9428571428571,23.957142857142856,303.9428571428571,3.1857142857142855,4.371428571428571,14.371428571428572,0.014285714285714285,2006.4142857142858,63.11428571428587,596.8517159008707,316.9142857142857,10
O,O 测向交点试清除,70,700,700,70,0,676.8625785037199,768.2800688004069,47,23,0,45.79463643763381,mixed_endpoint_30088,-2.150003233347952,0.3166367297418371,0.29126445372377185,0.2416175660209463,6768.6257850371985,676.8625785037198,23596.4146394717,4719.282927894342,336.2,308.5571428571429,27.642857142857142,298.5571428571429,3.5142857142857142,2.6714285714285713,12.67142857142857,0.02857142857142857,1991.3285714285714,58.014285714285634,707.047471104404,310.3285714285714,10
JO,J + O,70,700,700,70,0,674.6756493579283,779.227061288419,35,35,0,88.42575628960196,directional_endpoint_30028,-4.336932379139508,0.6387116374256929,0.991459661281191,0.07630028400661404,6746.756493579282,674.6756493579284,23430.711039324982,4686.142207864997,336.75714285714287,314.9,21.857142857142858,304.9,3.2857142857142856,3.757142857142857,13.757142857142858,0.02857142857142857,1999.3428571428572,61.27142857142859,579.5477792274637,315.5571428571429,10
JSO,J + S + O,70,700,700,70,0,668.8603601100239,753.4047574079151,38,32,0,82.32371124351789,mixed_endpoint_30131,-10.152221627043955,1.4951448471060669,2.233391015967401,0.12292823534398867,6688.603601100239,668.860360110024,23136.80371978691,4627.360743957382,336.6,313.14285714285717,23.457142857142856,303.14285714285717,3.2714285714285714,4.371428571428571,14.371428571428572,0.0,1998.1285714285714,63.114285714285636,502.7919284425602,315.12857142857143,10
insert200,路线插入 ≤200 m,70,700,700,70,0,719.4543900775308,820.1800584026752,7,63,0,99.64583393468001,boundary_endpoint_30011,40.44180834046312,-5.9559733395519565,-8.705999614295479,0.6231189860540054,7194.543900775308,719.4543900775308,25725.648075305122,5145.129615061023,334.9142857142857,311.04285714285714,23.87142857142857,301.04285714285714,2.657142857142857,3.7142857142857144,13.714285714285714,0.014285714285714285,1988.2714285714285,61.14285714285726,0.0,313.7,10
insert80,路线插入 ≤80 m,70,700,700,70,0,741.7515622385952,820.3566868862185,4,66,0,147.74560460692953,directional_endpoint_30006,62.738980501527244,-9.239737552583605,-13.72751394157432,1.4454664914586024,7417.515622385951,741.7515622385949,26914.006683358326,5382.801336671667,332.14285714285717,310.25714285714287,21.885714285714286,300.25714285714287,2.5285714285714285,3.8,13.8,0.014285714285714285,1973.3142857142857,61.39999999999998,0.0,312.6,10
SO,S + O,70,700,700,70,0,673.3881936653434,736.5591971993481,38,32,0,66.81696155900113,mixed_endpoint_30086,-5.62438807172425,0.828318682598761,1.2679999682202236,-0.20770632868465366,6733.881936653434,673.3881936653434,23365.266826124316,4673.053365224861,337.7142857142857,307.9428571428571,29.771428571428572,297.9428571428571,3.2142857142857144,3.6285714285714286,13.628571428571428,0.05714285714285714,1999.9428571428575,60.88571428571416,704.3044082239718,311.37142857142857,10
aligned,定位点面向后续覆盖站,70,700,700,70,0,679.0434656009044,777.1735913415121,32,34,4,123.72092263390857,mixed_endpoint_30086,0.03088386383655981,-0.004548349274702268,0.14529422918324597,-0.3094400406934872,6790.434656009044,679.0434656009043,23630.958994330933,4726.191798866186,338.0571428571429,311.9142857142857,26.142857142857142,301.9142857142857,3.1857142857142855,3.442857142857143,13.442857142857143,0.02857142857142857,2003.914285714286,60.3285714285714,660.781973707933,313.62857142857143,10
insert400,路线插入 ≤400 m,70,700,700,70,0,717.0188934861196,827.0347625514693,10,60,0,108.05196676683317,boundary_endpoint_30011,38.0063117490519,-5.597291238966906,-8.016369219207675,0.13140604467806183,7170.188934861197,717.0188934861195,25562.44467430598,5112.488934861198,336.57142857142856,311.24285714285713,25.32857142857143,301.24285714285713,3.0428571428571427,4.171428571428572,14.17142857142857,0.04285714285714286,1995.1857142857143,62.51428571428565,75.16646855347737,312.3285714285714,10
bracket,无信号后对称恢复探测,70,700,700,70,0,695.7761864219735,785.4585963774376,5,38,27,109.64630988600334,mixed_endpoint_30074,16.76360468490594,-2.4688209225845137,-3.4844573885614016,-0.1144504260099044,6957.761864219736,695.7761864219736,24489.952178241547,4897.990435648307,337.4,309.4714285714286,27.928571428571427,299.4714285714286,3.1142857142857143,3.7,13.7,0.014285714285714285,1998.6714285714286,61.09999999999999,593.3849882283267,311.6714285714286,10
optical2,提前光学覆盖 ≤2 格,70,700,700,70,0,679.0125817370678,777.1735913415121,0,0,70,0.0,mixed_endpoint_30003,0.0,0.0,0.0,0.0,6790.125817370677,679.0125817370676,23665.34337256768,4733.0686745135345,337.01428571428573,309.0857142857143,27.928571428571427,299.0857142857143,3.585714285714286,3.6142857142857143,13.614285714285714,0.014285714285714285,1996.2142857142858,60.84285714285712,699.5321323746367,311.14285714285717,10
optical4,提前光学覆盖 ≤4 格,70,700,700,70,0,677.9235734747062,775.2019747840626,38,1,31,63.84573984137444,mixed_endpoint_30088,-1.0890082623614505,0.16038116106412703,0.12112521834601875,0.40269594336824754,6779.235734747062,677.9235734747062,23636.678673735318,4727.335734747063,335.65714285714284,309.0285714285714,26.62857142857143,299.0285714285714,3.4285714285714284,4.485714285714286,14.485714285714286,0.8142857142857143,1988.442857142857,63.457142857142834,702.2591442288871,310.15714285714284,10
short_clear,认证清除点缩短路程,70,700,700,70,0,677.6572649095799,764.6591521846456,58,12,0,42.26381948260587,mixed_endpoint_30180,-1.355316827487783,0.19960113611158237,0.20878082240091134,0.16107837734729014,6776.5726490957995,677.6572649095799,23615.934674050422,4723.186934810085,336.4714285714286,308.6857142857143,27.785714285714285,298.6857142857143,3.4857142857142858,3.4714285714285715,13.471428571428572,0.014285714285714285,1992.9714285714285,60.414285714285704,687.9830902406596,310.6142857142857,10
doptimal,D-optimal 信息增益选点,70,700,700,70,0,675.070595098853,759.0531070975596,36,34,0,60.923087814927044,mixed_endpoint_30180,-3.9419866382146407,0.5805469212558534,1.240328098004928,-1.0130982154211265,6750.705950988529,675.0705950988532,23371.81546922837,4674.363093845674,340.42857142857144,313.77142857142854,26.65714285714286,303.77142857142854,2.842857142857143,2.7714285714285714,12.771428571428572,0.0,2018.0285714285715,58.31428571428585,584.5793839121252,315.8857142857143,10
JSO_r120,JSO 试清除半径 120 m,70,700,700,70,0,669.8952640657409,754.5524876458178,38,32,0,60.53395473228886,mixed_endpoint_30165,-9.11731767132685,1.3427317720685839,2.0910995280126854,-0.03391123733627044,6698.952640657409,669.8952640657409,23170.477489001332,4634.095497800266,337.12857142857143,314.34285714285716,22.785714285714285,304.34285714285716,3.2285714285714286,4.557142857142857,14.557142857142857,0.0,2001.1857142857143,63.671428571428535,491.25063152653456,315.54285714285714,10
JSO_p85,JSO 接收门槛 0.85,70,700,700,70,0,676.237753198553,765.6640781987214,35,35,0,99.62573636946343,mixed_endpoint_30086,-2.774828538514693,0.4086564245121882,0.7643425291612771,-0.13988385401211278,6762.37753198553,676.237753198553,23484.459088499083,4696.891817699818,337.48571428571427,314.6,22.885714285714286,304.6,3.085714285714286,4.328571428571428,14.32857142857143,0.014285714285714285,2002.4999999999995,62.98571428571426,506.59526561644003,315.07142857142856,10
JSO_p50,JSO 接收门槛 0.50,70,700,700,70,0,668.1462765388703,753.5005959016179,44,26,0,82.53047996940029,mixed_endpoint_30131,-10.866305198197354,1.6003098455700027,2.582864831984577,-0.33487346869569556,6681.462765388703,668.1462765388703,23054.09954122924,4610.819908245846,338.14285714285717,313.35714285714283,24.785714285714285,303.35714285714283,4.014285714285714,4.457142857142857,14.457142857142857,0.0,2007.2714285714285,63.37142857142853,553.6362386614588,316.5571428571429,10
JSO_compact,JSO 外圈 1900 m,70,700,700,70,0,660.4458522058876,756.5718624332671,49,21,0,93.96609910555753,mixed_endpoint_30131,-18.566729531180098,2.7343719439899217,4.067946973176317,-0.004238904667031029,6604.458522058876,660.4458522058876,22702.64975315153,4540.5299506303045,337.0285714285714,313.42857142857144,23.6,303.42857142857144,3.3857142857142857,4.385714285714286,14.385714285714286,0.0,2000.771428571429,63.15714285714278,531.4593378536042,315.62857142857143,10
JSO_r160,JSO 试清除半径 160 m,70,700,700,70,0,669.9622095654795,762.4900014441045,38,32,0,79.55002753397855,directional_endpoint_30028,-9.050372171588203,1.332872529171003,2.047979858530502,0.08053918867365617,6699.622095654795,669.9622095654795,23180.681906845402,4636.1363813690805,336.74285714285713,314.2857142857143,22.457142857142856,304.2857142857143,3.2714285714285714,4.857142857142857,14.857142857142858,0.0,1998.9142857142858,64.57142857142853,449.12380067588765,315.2,10
S_doptimal,S + D-optimal,70,700,700,70,0,672.6070360549925,737.3953431584712,42,28,0,69.9357489182355,mixed_endpoint_30104,-6.405545682075227,0.9433618543102873,2.0795575167160796,-1.6828451528125177,6726.070360549925,672.6070360549927,23173.208945606766,4634.641789121354,342.6857142857143,312.72857142857146,29.957142857142856,302.72857142857146,2.585714285714286,3.0,13.0,0.014285714285714285,2032.4285714285718,58.99999999999997,711.5404351322568,319.0,10
SO_doptimal,S + O + D-optimal,70,700,700,70,0,677.4843216750609,750.4353746648434,36,34,0,71.7524622788759,mixed_endpoint_30104,-1.5282600620068756,0.22507094906804026,1.1474832879796004,-1.9880462888389516,6774.843216750609,677.4843216750606,23393.787512324467,4678.757502464894,343.7142857142857,314.15714285714284,29.557142857142857,304.15714285714284,2.8,3.2714285714285714,13.271428571428572,0.014285714285714285,2036.271428571429,59.81428571428565,761.0719641324567,317.7,10
JSO_outer1980,JSO 外圈 1980 m,70,700,700,70,0,674.748317024156,762.4364686198379,39,31,0,107.70906056165552,mixed_endpoint_30131,-4.264264712911777,0.6280096757563691,1.0023654924887437,0.06358357000550985,6747.4831702415595,674.7483170241558,23428.130136922086,4685.626027384416,336.8,313.15714285714284,23.642857142857142,303.15714285714284,3.4285714285714284,4.3,14.3,0.0,1998.9571428571423,62.89999999999998,519.9663499307327,314.95714285714286,10
S_dopt_short,S + D-optimal + 短清除,70,700,700,70,0,672.4711873024784,742.6408184084913,43,27,0,66.31636419786128,mixed_endpoint_30104,-6.541394434589406,0.9633686636343342,2.083509687423446,-1.6446950108092162,6724.711873024784,672.4711873024783,23172.273650838197,4634.45473016764,342.5571428571429,312.8142857142857,29.742857142857144,302.8142857142857,2.3714285714285714,2.942857142857143,12.942857142857143,0.0,2031.4285714285713,58.82857142857152,709.8193534829716,318.64285714285717,10
JSO_compact_dopt,JSO + 外圈 1900 m + D-optimal,70,700,700,70,0,659.3321404152695,760.2292127130388,50,20,0,78.10377986301569,mixed_endpoint_30104,-19.68044132179828,2.898391259768862,4.440281147974822,-0.3263956593616113,6593.321404152694,659.3321404152696,22614.535592192045,4522.907118438408,338.1142857142857,314.9142857142857,23.2,304.9142857142857,3.9571428571428573,4.171428571428572,14.17142857142857,0.0,2007.9,62.514285714285755,549.2351306858296,317.3285714285714,10
J,J 源中心联合路线,62,682,682,62,0,619.3304387950296,717.2478661129035,30,32,0,105.58174755572429,boundary_endpoint_30031,-2.07954884681672,0.3346500520064688,-0.02104796363431305,1.4997321906802474,6812.634826745326,619.3304387950296,24046.803165984697,4809.3606331969395,326.2741935483871,302.0967741935484,24.177419354838708,291.0967741935484,4.5,4.064516129032258,15.064516129032258,0.04838709677419355,1936.0806451612902,67.19354838709674,511.69927395765444,304.7096774193548,11
