factor,off,on,mean_delta_T_over_K
J,baseline,J,-1.772823317103316
J,S,JS,-3.977849672762933
J,O,JO,-3.130380799988834
J,SO,JSO,-5.354203431669646
J,average_over_other_factors,J,-3.5588143053811825
S,baseline,S,-4.862300702863311
S,J,JS,-7.067327058522926
S,O,SO,-3.1618537547219323
S,JO,JSO,-5.385676386402743
S,average_over_other_factors,S,-5.119289475627728
O,baseline,O,-0.32926026579028705
O,J,JO,-1.6868177486758058
O,S,SO,1.3711866823510905
O,JS,JSO,-0.005167076555621506
O,average_over_other_factors,O,-0.162514602167656
