variant,label,cases,source_total,cleared_total,full_success,failures,ratio_sum_T_K,p95_T_over_K,paired_wins,paired_losses,paired_ties,worst_delta_T_over_K,worst_scene,delta_T_over_K,improvement_pct,movement_reduction_pct,probe_reduction_pct,mean_T,mean_T_over_K,mean_move_m,mean_movement_s,mean_n_measure,mean_discovery_measure,mean_refine_measure,mean_discovery_no_signal,mean_refine_no_signal,mean_failed_clears,mean_n_clear,mean_n_optical_fallback,mean_measure_s,mean_clear_s,mean_after_last_clear_s,mean_switches,source_kind,error_mode
baseline,冻结基线 TRI25 + V4,50,652,652,50,0,589.7112264467784,780.9831225890475,0,0,50,0.0,boundary_endpoint_30000,0.0,0.0,0.0,0.0,7689.834392865991,604.0240897432222,26631.771964329946,5326.354392865989,386.24,357.98,28.26,344.94,10.1,3.38,16.42,0.04,2288.14,75.33999999999999,208.16690245436345,356.94,boundary,endpoint
J,J 源中心联合路线,50,652,652,50,0,624.7632872038139,791.0286371648724,3,46,1,105.58174755572429,boundary_endpoint_30031,35.147900929765626,-5.818956814240206,-8.407605638699955,-0.5178127589063886,8146.913265137733,639.1719906729878,28870.866325688665,5774.173265137733,388.24,358.7,29.54,345.66,11.72,3.2,16.24,0.06,2297.9399999999996,74.79999999999988,175.45900162349324,356.74,boundary,endpoint
S,S 选择性顺路探测,50,652,652,50,0,583.1126748499802,752.6489078573388,30,11,9,74.02325136474553,boundary_endpoint_30027,-6.4541603115378985,1.0685269712142786,1.948896096010455,-0.7352941176470562,7603.789280043741,597.5699294316844,26112.74640021871,5222.549280043742,389.08,359.74,29.34,346.7,10.8,3.34,16.38,0.04,2306.0199999999995,75.22000000000007,201.06257408190766,360.62,boundary,endpoint
previous_best,上一轮最优（附加对照）,50,652,652,50,0,620.2878812385022,783.871411258298,11,39,0,103.67686761376257,boundary_endpoint_30000,28.959479091165647,-4.794424524272989,-7.33559109411499,-0.34175642087821423,8088.553971350069,632.9835688343879,28585.369856750356,5717.07397135007,387.56,358.62,28.94,345.58,13.4,3.84,16.88,0.0,2294.7599999999998,76.71999999999987,158.0322399197565,356.96,boundary,endpoint
JS,J + S,50,652,652,50,0,610.9299970004109,767.9007631759973,11,38,1,81.86676437848223,boundary_endpoint_30027,21.399973525743594,-3.5429006705412824,-5.276268668787409,0.10874067937034493,7966.527160885358,625.4240632689657,28036.935804426797,5607.387160885359,385.82,356.56,29.26,343.52,11.7,3.0,16.04,0.06,2284.9399999999996,74.19999999999978,178.4235666308969,355.84,boundary,endpoint
O,O 测向交点试清除,50,652,652,50,0,585.3309533322672,776.7460936121959,47,3,0,4.5730213156955415,boundary_endpoint_30008,-4.367485590700873,0.7230648023587194,0.6927582862801485,0.616197183098588,7632.715631452764,599.6566041525214,26447.278157263816,5289.455631452764,383.86,356.08,27.78,343.04,10.28,1.14,14.18,0.02,2274.6399999999994,68.62000000000006,208.1164659772616,355.34,boundary,endpoint
JO,J + O,50,652,652,50,0,620.7313798340709,783.4339748883154,5,45,0,102.72984725834567,boundary_endpoint_30031,31.070220686686753,-5.1438711161164274,-7.589483732282809,-0.3728251864125953,8094.337193036285,635.094310429909,28652.985965181422,5730.597193036284,387.68,358.7,28.98,345.66,11.96,1.04,14.08,0.0,2295.4199999999996,68.31999999999991,175.44705000686372,357.02,boundary,endpoint
JSO,J + S + O,50,652,652,50,0,605.6271222559633,764.892738673582,13,37,0,86.30348596973602,boundary_endpoint_30019,15.975479942047919,-2.644841524257613,-4.174023449313613,0.3314001657000909,7897.377674217761,619.9995696852701,27743.38837108881,5548.677674217761,384.96,356.6,28.36,343.56,11.72,0.94,13.98,0.0,2280.6799999999994,68.01999999999984,178.37716659652065,355.88,boundary,endpoint
SO,S + O,50,652,652,50,0,575.4011683111503,750.6042175916097,46,4,0,12.719818379695766,boundary_endpoint_30032,-14.303001281752229,2.3679521271796844,3.2390476743279106,0.393537696768842,7503.2312347774,589.7210884614699,25769.156173887,5153.831234777401,384.72,356.6,28.12,343.56,10.5,1.1,14.14,0.0,2280.8999999999996,68.50000000000009,201.01213760480584,357.3,boundary,endpoint
aligned,定位点面向后续覆盖站,50,652,652,50,0,588.2404169338038,784.7959467768344,16,24,10,44.7658370124891,boundary_endpoint_30027,-0.35873620525568073,0.05939104273278151,0.033782131575699204,0.7767191383595717,7670.655036816802,603.6653535379666,26622.775184084014,5324.555036816803,383.24,354.9,28.34,341.86,9.98,3.6,16.64,0.02,2270.1,76.0000000000001,186.06459525174185,353.9,boundary,endpoint
