variant,label,cases,source_total,cleared_total,full_success,failures,ratio_sum_T_K,p95_T_over_K,paired_wins,paired_losses,paired_ties,worst_delta_T_over_K,worst_scene,delta_T_over_K,improvement_pct,movement_reduction_pct,probe_reduction_pct,mean_T,mean_T_over_K,mean_move_m,mean_movement_s,mean_n_measure,mean_discovery_measure,mean_refine_measure,mean_discovery_no_signal,mean_refine_no_signal,mean_failed_clears,mean_n_clear,mean_n_optical_fallback,mean_measure_s,mean_clear_s,mean_after_last_clear_s,mean_switches,ci95_delta_low,ci95_delta_high,block_signflip_p,independent_seed_blocks,holm_p,mean_n_selective_probe,mean_n_optimistic_attempt,mean_n_early_optical_proposals,mean_optimistic_success,mean_selective_heard,mean_optical_actions,mean_optical_candidate_cells,mean_optical_actions_within_early_threshold
baseline,冻结基线 TRI25 + V4,400,5187,5187,400,0,515.1046939731722,702.1115774433246,0,0,400,0.0,mixed_endpoint_30000,0.0,0.0,0.0,0.0,6679.620119097111,532.1729123408468,24452.10059548555,4890.42011909711,289.3425,254.67,34.6725,241.7025,4.3475,4.6325,17.6,0.05,1710.465,78.73500000000001,427.76771498349626,263.7525,0.0,0.0,1.0,200,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.5575,0.0
previous_best,上一轮最优（附加对照）,400,5187,5187,400,0,505.48510179268493,686.1195612733475,257,143,0,114.36464821092775,mixed_smooth_30000,-10.493823136934475,1.9718822385708656,2.24315210000241,1.4420626074634568,6554.878057496642,521.6790892039123,23903.602787483214,4780.720557496643,285.17,257.82,27.35,244.8525,4.8625,5.9825,18.95,0.0175,1691.3725,82.78499999999997,325.306712473789,265.5225,-14.25777982056996,-6.594946583896665,9.999000099990002e-05,200,0.0026997300269973002,0.0,0.0,0.0,0.0,0.0,0.0175,0.325,0.0
J,J 源中心联合路线,400,5187,5187,400,0,513.5040262688943,704.8754800432505,210,189,1,118.74420705798215,mixed_smooth_30000,-1.772823317103316,0.33312919090625615,0.020430932944204283,1.567346656643931,6658.863460641887,530.4000890237435,24447.104803209437,4889.420960641887,284.8075,256.6175,28.19,243.65,4.61,5.64,18.6075,0.035,1687.685,81.7575,352.8640094011318,263.6475,-5.67343744664105,1.8722187507379102,0.36136386361363865,200,1.0,0.0,0.0,0.0,0.0,0.0,0.035,0.52,0.0
S,S 选择性顺路探测,400,5187,5187,400,0,510.2732898219961,691.6003638873545,237,154,9,114.1616279073823,mixed_endpoint_30116,-4.86230070286331,0.9136693338027246,1.9651426869255917,-1.7773054425119117,6616.968885766734,527.3106116379836,23971.581928833675,4794.316385766735,294.485,255.86,38.625,242.8925,4.1175,5.065,18.0325,0.035,1742.62,80.03250000000007,357.5827312173267,270.195,-8.333696004878803,-1.550260898314909,0.006999300069993001,200,0.07699230076992301,14.86,0.0,0.0,0.0,13.4975,0.035,0.8675,0.0
O,O 测向交点试清除,400,5187,5187,400,0,514.9012582999054,700.395157896113,274,126,0,127.51750964063251,mixed_endpoint_30026,-0.32926026579028705,0.0618709179206367,0.08686476804925514,-0.276488936122421,6676.9820670040235,531.8436520750565,24430.860335020112,4886.172067004022,290.1425,255.6,34.5425,242.6325,4.2725,3.575,16.5425,0.05,1715.2475,75.56250000000004,414.98832266868243,264.535,-2.123486130474301,1.7176816695849464,0.754024597540246,200,1.0,0.0,5.0525,0.0,1.8275,0.0,0.05,0.5525,0.0
JS,J + S,400,5187,5187,400,0,506.2102865830451,704.0392344924152,246,153,1,147.77817356999762,mixed_smooth_30000,-8.840150375626243,1.661142491590073,2.182700570338325,0.9132775171293517,6564.281891265638,523.3327619652206,23918.384456328182,4783.676891265637,286.7,255.555,31.145,242.5875,4.59,5.3775,18.345,0.02,1699.635,80.97,369.03893353962246,266.135,-12.562488967178648,-5.153293414456645,9.999000099990002e-05,200,0.0026997300269973002,16.2525,0.0,0.0,0.0,14.18,0.02,0.36,0.0
JO,J + O,400,5187,5187,400,0,511.80749424138287,702.6825741951135,214,186,0,116.94810932988102,mixed_smooth_30000,-3.4596410657791226,0.6500971743490958,0.4179893960879477,1.5587063773901177,6636.863681575132,528.7132712750677,24349.89340787566,4869.978681575132,284.8325,256.595,28.2375,243.6275,4.5725,4.725,17.6925,0.035,1687.8725,79.0125,353.1319692842917,263.71,-7.347113141379182,0.19474966682786257,0.0836916308369163,200,0.5858414158584141,0.0,6.695,0.0,2.345,0.0,0.035,0.5175,0.0
SO,S + O,400,5187,5187,400,0,511.93612574424066,693.5671819205938,233,167,0,127.77967980356266,mixed_endpoint_30026,-3.49111402051222,0.6560112210815316,1.38992983942694,-1.4895841433595125,6638.531710588441,528.6817983203345,24112.2335529422,4822.4467105884405,293.6525,255.9025,37.75,242.935,4.29,5.14,18.1075,0.0375,1735.8275,80.25750000000009,369.6350549494746,267.565,-6.885403103091867,0.010137549256053785,0.0476952304769523,200,0.386961303869613,12.6075,6.7325,0.0,2.2075,11.305,0.0375,1.03,0.0
JSO,J + S + O,400,5187,5187,400,0,506.27694669448357,696.4689554020308,238,162,0,133.78564636136196,omni_endpoint_30035,-8.845317452181865,1.6621134310039198,2.0770467641366475,1.1068197724150353,6565.146306260716,523.3275948886649,23944.219031303583,4788.843806260716,286.14,255.6425,30.4975,242.675,4.79,5.3725,18.34,0.015,1695.3475,80.95499999999991,344.8675589242624,264.6475,-12.402669810288643,-5.300330330787696,9.999000099990002e-05,200,0.0026997300269973002,14.7675,7.715,0.0,2.6175,12.5975,0.015,0.3325,0.0
insert80,路线插入 ≤80 m,400,5187,5187,400,0,562.6302417891033,761.8710629576947,43,357,0,154.26934877314773,mixed_endpoint_30116,49.49610989257111,-9.30075709318887,-12.66435247320703,0.5728505145286222,7295.907660400197,581.6690222334179,27548.800802000987,5509.760160400199,287.685,259.5425,28.1425,246.575,3.5775,4.53,17.4975,0.0075,1707.72,78.42749999999992,0.0,269.295,44.17343083393282,54.55087388010342,9.999000099990002e-05,200,0.0026997300269973002,0.0,0.0,0.0,0.0,0.0,0.0075,0.1875,0.0
insert200,路线插入 ≤200 m,400,5187,5187,400,0,554.6272418187301,743.0376977360064,52,348,0,163.3333536320165,mixed_endpoint_30116,40.69597868411325,-7.647134557282431,-10.110759958155935,-0.7568884626351302,7192.1287582843825,572.86889102496,26924.393791421913,5384.8787582843825,291.5325,261.095,30.4375,248.1275,4.06,4.64,17.6075,0.0125,1728.4925,78.75749999999996,0.0,270.83,35.570187290760344,45.44277394464303,9.999000099990002e-05,200,0.0026997300269973002,0.0,0.0,0.0,0.0,0.0,0.0125,0.8125,0.0
insert400,路线插入 ≤400 m,400,5187,5187,400,0,550.1234059803642,738.4541275237561,66,334,0,194.0675646844282,directional_endpoint_30033,35.644996528982205,-6.698010308753233,-8.917999626457096,-0.7750330490681412,7133.725267050372,567.817908869829,26632.73883525186,5326.547767050372,291.585,260.0075,31.5775,247.04,4.3,5.58,18.5475,0.0275,1725.6,81.57750000000001,19.62170969548682,267.675,30.848081875387937,40.456447051595006,9.999000099990002e-05,200,0.0026997300269973002,0.0,0.0,0.0,0.0,0.0,0.0275,1.005,0.0
aligned,定位点面向后续覆盖站,400,5187,5187,400,0,513.4350075985795,693.6744266713109,194,196,10,133.9916526331057,mixed_smooth_30000,-1.4689012128893046,0.27601953779046173,0.41518228634882526,0.2013185066141232,6657.968461034579,530.7040111279575,24350.5798051729,4870.115961034579,288.76,256.5925,32.1675,243.625,4.285,4.4575,17.425,0.03,1709.6425,78.20999999999995,391.82337594708775,265.8425,-5.118161429202898,2.1484397532276263,0.43665633436656337,200,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.9025,0.0
doptimal,D-optimal 信息增益选点,400,5187,5187,400,0,515.3203312167582,700.0243129278473,210,190,0,128.72759632178787,mixed_endpoint_30079,-0.044718915332975936,0.00840307995689793,0.40955017270569716,-1.2994979997753786,6682.416395053312,532.1281934255138,24351.95697526656,4870.391395053313,293.1025,259.395,33.7075,246.4275,3.9875,4.095,17.0625,0.0225,1734.9025,77.12249999999993,336.2049066335828,269.39,-3.7859357638191073,3.940163742734521,0.9814018598140186,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0225,0.5425,0.0
bracket,无信号后对称恢复探测,400,5187,5187,400,0,528.3522808542184,720.5355247182663,41,222,137,143.03648086409225,mixed_endpoint_30119,13.37383817683949,-2.513062552923362,-3.338324293294237,-0.457934800452775,6851.408201977078,545.5467505176863,25268.39100988538,5053.678201977077,290.6675,255.7,34.9675,242.7325,4.115,4.86,17.8275,0.04,1718.3125,79.41750000000006,383.7777345659571,264.975,10.861350959854434,16.09302464607511,9.999000099990002e-05,200,0.0026997300269973002,0.0,0.0,0.0,0.0,0.0,0.04,0.725,0.0
optical2,提前光学覆盖 ≤2 格,400,5187,5187,400,0,515.1046939731722,702.1115774433246,0,0,400,0.0,mixed_endpoint_30000,0.0,0.0,0.0,0.0,6679.620119097111,532.1729123408468,24452.10059548555,4890.42011909711,289.3425,254.67,34.6725,241.7025,4.3475,4.6325,17.6,0.05,1710.465,78.73500000000001,427.76771498349626,263.7525,0.0,0.0,1.0,200,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.5575,0.0
optical4,提前光学覆盖 ≤4 格,400,5187,5187,400,0,513.3810812238719,699.2202218544072,270,8,122,63.84573984137444,mixed_endpoint_30088,-1.7031917660021316,0.3200448062097516,0.3542323134755332,0.5063203642741598,6657.269170770559,530.4697205748447,24365.483353852796,4873.096670770559,287.8775,254.7175,33.16,241.75,4.2125,5.75,18.7175,1.225,1702.085,82.08750000000005,434.3679103982013,262.6975,-2.1744106708264836,-1.1710332934843868,9.999000099990002e-05,200,0.0026997300269973002,0.0,0.0,1.19,0.0,0.0,1.225,5.25,1.1925
short_clear,认证清除点缩短路程,400,5187,5187,400,0,512.5111365815447,702.0486932514856,340,60,0,89.24093977606424,mixed_endpoint_30033,-2.5473235111839796,0.47866463176022833,0.627082228706155,0.18490197603185932,6645.988163621181,529.6255888296628,24298.765818105905,4859.753163621182,288.8075,254.275,34.5325,241.3075,4.245,4.675,17.6425,0.0375,1707.3725,78.86250000000001,426.22195979021717,263.335,-3.599863504347056,-1.41864377094741,9.999000099990002e-05,200,0.0026997300269973002,0.0,0.0,0.0,0.0,0.0,0.0375,0.5925,0.0
JSO_p50,JSO 接收门槛 0.50,400,5187,5187,400,0,504.36525469802604,693.5055913495894,254,146,0,134.29356415061636,omni_endpoint_30035,-10.810129589854263,2.0313190204108933,2.8151196716791116,0.5210088390056766,6540.356440296653,521.3627827509926,23763.74470148327,4752.748940296654,287.835,256.0825,31.7525,243.115,5.5725,5.73,18.6975,0.015,1705.58,82.02749999999993,344.37802818121037,266.405,-14.5603207080626,-7.096245782375216,9.999000099990002e-05,200,0.0026997300269973002,16.5325,7.845,0.0,2.6275,13.3825,0.015,0.5675,0.0
JSO_p85,JSO 接收门槛 0.85,400,5187,5187,400,0,512.605507252902,707.8056255648536,207,193,0,149.40995848599715,mixed_endpoint_30110,-2.5116732606398093,0.4719656341755196,0.26952088929195206,1.402317322895863,6647.211915302007,529.661239080207,24386.197076510034,4877.239415302007,285.285,255.1175,30.1675,242.15,4.7125,5.395,18.3625,0.0325,1688.95,81.02249999999995,328.1179776241272,262.525,-6.222725805897575,1.199117015047854,0.19818018198180182,200,1.0,11.8225,7.54,0.0,2.5375,10.585,0.0325,0.5375,0.0
JSO_r120,JSO 试清除半径 120 m,400,5187,5187,400,0,507.27541155830573,698.0204822973859,238,162,0,138.9027968530745,omni_endpoint_30035,-7.785061637347851,1.4628819800511783,1.7938381075320753,1.2571606314316086,6578.093899382329,524.387850703499,24013.469496911654,4802.6938993823305,285.705,255.945,29.76,242.9775,4.89,5.9775,18.945,0.0225,1692.63,82.76999999999992,358.21429262977364,264.105,-11.545951362308445,-3.9257174366833802,0.00019998000199980003,200,0.0027997200279972004,14.0075,8.565,0.0,2.895,11.8525,0.0225,0.3875,0.0
JSO_r160,JSO 试清除半径 160 m,400,5187,5187,400,0,507.9177208680831,698.0204822973859,233,167,0,135.79808538796874,mixed_endpoint_30026,-7.040197375250213,1.3229153930971127,1.5620247725127157,1.4956323388371828,6586.423045356867,525.1327149655965,24070.152726784338,4814.030545356867,285.015,255.7,29.315,242.7325,4.98,6.3475,19.315,0.025,1688.5125,83.8799999999999,338.21530695824697,263.4375,-11.02710135020316,-2.9663476692423227,0.00039996000399960006,200,0.0047995200479952005,13.6125,8.975,0.0,2.95,11.45,0.025,0.41,0.0
JSO_compact,JSO 外圈 1900 m,400,5187,5187,400,0,498.46065270157777,682.4980485133894,294,106,0,130.43838380666364,omni_endpoint_30035,-16.989812598106163,3.1925361483307713,4.036700332114751,1.4178698255527533,6463.78851390771,515.1830997427406,23465.04256953855,4693.00851390771,285.24,254.875,30.365,241.9075,4.8525,5.265,18.2325,0.0125,1690.1475,80.63249999999995,343.218853453741,263.9475,-20.605643012718136,-13.395386999312583,9.999000099990002e-05,200,0.0026997300269973002,14.7425,7.8,0.0,2.805,12.63,0.0125,0.3225,0.0
JSO_outer1980,JSO 外圈 1980 m,400,5187,5187,400,0,511.4088109750344,701.9434316210685,215,185,0,135.84725299294587,omni_endpoint_30035,-3.7886994018023517,0.7119301478794027,0.8114612203435345,0.8199625011880207,6631.6937563187585,528.3842129390445,24253.681281593796,4850.736256318759,286.97,256.415,30.555,243.4475,4.86,5.345,18.3125,0.0125,1700.0849999999994,80.87249999999993,341.10267957175614,265.235,-7.396208049374808,-0.20740173481199164,0.042995700429957005,200,0.386961303869613,14.6075,7.7775,0.0,2.7075,12.45,0.0125,0.3225,0.0
S_doptimal,S + D-optimal,400,5187,5187,400,0,506.9479847060971,690.7282611479799,249,151,0,121.97231884551351,mixed_smooth_30000,-8.008772450527395,1.504919221705514,2.9745323280661706,-2.268937332054599,6573.847991676314,524.1641398903193,23724.764958381573,4744.952991676314,295.9075,257.8675,38.04,244.9,3.5375,4.165,17.1325,0.005,1751.5625,77.33249999999995,360.49712413652685,272.025,-11.215382639622026,-4.775084504484043,0.00019998000199980003,200,0.0027997200279972004,13.48,0.0,0.0,0.0,12.4225,0.005,0.365,0.0
SO_doptimal,S + O + D-optimal,400,5187,5187,400,0,509.8129544357312,692.597184242823,233,167,0,133.75869837660312,mixed_smooth_30000,-5.172623114940845,0.9719816614093046,2.001476970650029,-1.7237357111381968,6610.999486645345,527.0002892259059,23962.697433226724,4792.539486645345,294.33,257.005,37.325,244.0375,3.8025,4.7375,17.705,0.02,1739.41,79.05000000000005,386.34350926960076,267.76,-8.783760415463501,-1.4751446891130067,0.0072992700729927005,200,0.07699230076992301,10.8975,6.415,0.0,2.09,9.8775,0.02,0.51,0.0
S_dopt_short,S + D-optimal + 短清除,400,5187,5187,400,0,504.9288849834805,688.4537437988773,264,136,0,121.10467809268718,mixed_smooth_30000,-10.16569009782726,1.9102231365200173,3.4367661464810406,-2.004544786887519,6547.665316023283,522.0072222430196,23611.739080116415,4722.347816023283,295.1425,256.9825,38.16,244.015,3.62,4.5675,17.535,0.01,1746.7775,78.54000000000005,372.60818067822316,271.065,-13.87488085844892,-6.3909024116179225,9.999000099990002e-05,200,0.0026997300269973002,13.51,0.0,0.0,0.0,12.4275,0.01,0.68,0.0
