scene_id,variant,seed,source_kind,error_mode,scenario_sha256,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,n_optical_fallback,n_cover_visited,failure,all_certified,n_probe,n_replan,planner_wall_s,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s,failed_clears,switches,accounting_residual_s,full_success,certificate_max_distance_m,certificate_hull_margin_m,event_sha256,n_selective_probe,n_optimistic_attempt,n_early_optical_proposals,delta_T,delta_T_over_K,delta_move_m,delta_movement_s,delta_n_measure,delta_discovery_measure,delta_refine_measure,delta_discovery_no_signal,delta_refine_no_signal,delta_failed_clears,delta_n_clear,delta_n_optical_fallback,delta_measure_s,delta_clear_s,delta_after_last_clear_s,delta_switches
directional_endpoint_30033,insert400,30033,directional,endpoint,a41ac723775b54ef399b859e2ca9aaabf7d373b206216a18aba47c2f4984eb32,15,15,9767.965292523597,651.1976861682398,37234.82646261802,24474.850657282903,325,122,15,1,25,,True,11,77,0.7521189000981394,0.8466974000039045,281,266,44,16,1924.9999999999995,395.99999999999005,7446.965292523614,0.0,107,300,-7.275957614183426e-12,True,943.0121947375768,17.74943008678929,2834d1187ec98218d7bba7070f215d2a6626215cc381c4914b91bea10da6c064,0,0,0,2911.0134702664227,194.0675646844282,12810.06735133213,2562.013470266439,7,5,2,5,9,102,102,1,43.00000000000114,305.9999999999905,-182.65513426516367,8
mixed_endpoint_30080,insert400,30080,mixed,endpoint,a6ac1d967cf3ba78cf126d4086235722cd3737bf3344131a0eefc0affb89ca43,16,16,8187.603774324448,511.725235895278,32633.01887162224,19299.717610286483,263,27,16,1,23,,True,13,88,1.3648293999722227,1.4148547000077087,209,193,54,10,1548.0000000000016,113.0000000000004,6526.603774324446,0.0,11,233,9.094947017729282e-13,True,943.0121947375768,17.74943008678929,daba6a9468e93fbc995c88050ec9323e254e093c04ea5f1ca23602e780b794ba,0,0,0,2801.5936249631204,175.09960156019508,12637.968124815601,2527.593624963119,46,35,11,35,7,3,3,1,265.00000000000205,9.000000000000242,0.0,35
mixed_endpoint_30116,insert400,30116,mixed,endpoint,fa0f08624a3aad128121356aca7a651364ab2eca0f1d53c07db478f626949d1a,16,16,7001.9602818622025,437.62251761638765,28129.801409310992,16482.82467160746,215,25,16,0,20,,True,12,77,1.2954608999716584,1.3496996000176296,170,154,45,5,1269.0000000000005,107.00000000000117,5625.9602818622025,0.0,9,194,3.637978807091713e-12,True,943.0121947375768,17.74943008678929,16f136731e037a3a3c2541df065fffbce22c37d11107d8b3aebbeeb2b95b0197,0,0,0,2799.773255095238,174.98582844345236,11008.866275476175,2201.7732550952383,98,97,1,97,0,5,5,0,583.0000000000002,15.000000000001492,0.0,93
mixed_endpoint_30116,insert200,30116,mixed,endpoint,fa0f08624a3aad128121356aca7a651364ab2eca0f1d53c07db478f626949d1a,16,16,6815.520684879229,425.9700428049518,27062.60342439614,15123.119557223084,220,25,16,0,21,,True,13,74,1.30158149995259,1.3543057999922894,178,162,42,4,1295.9999999999998,106.9999999999994,5412.520684879229,0.0,9,196,9.094947017729282e-13,True,943.0121947375768,17.74943008678929,607cb404740e39cfd6cd307d57a9bacd62d3a21c6883292408f3352df69e795a,0,0,0,2613.333658112264,163.3333536320165,9941.668290561323,1988.3336581122644,103,105,-2,105,-1,5,5,0,609.9999999999995,14.99999999999973,0.0,95
mixed_smooth_30000,insert200,30000,mixed,smooth,aa7e1a39a6b02dfc9bd56d180b0230510d3f349825b1e4e6666183a0f1281128,16,16,6587.085105209021,411.6928190755638,25965.42552604512,13043.260340235996,222,16,16,0,22,,True,16,52,0.7797060000011697,0.8109626000223216,191,175,31,6,1314.000000000001,79.99999999999909,5193.085105209021,0.0,0,204,-2.7284841053187847e-12,True,943.0121947375768,17.74943008678929,0b418f3c1d1f4f90b391278bd436e16a0f209398bbe9b212a462b98359be0921,0,0,0,2558.33199207595,159.89574950474693,9476.659960379762,1895.33199207595,112,125,-13,125,-3,-2,-2,0,669.0000000000017,-6.000000000000426,0.0,109
mixed_smooth_30000,insert400,30000,mixed,smooth,aa7e1a39a6b02dfc9bd56d180b0230510d3f349825b1e4e6666183a0f1281128,16,16,6502.129898224129,406.3831186390081,25610.649491120654,13710.688060645509,220,16,16,0,21,,True,13,57,0.7830726999673061,0.8151027999992948,186,170,34,7,1299.9999999999995,79.99999999999882,5122.12989822413,0.0,0,200,-1.8189894035458565e-12,True,943.0121947375768,17.74943008678929,08f68cc285688b38d73f163cbaf209552382aeecee90faaf0217c4a1f04aa68c,0,0,0,2473.3767850910576,154.58604906819122,9121.883925455295,1824.3767850910585,110,120,-10,120,-2,-2,-2,0,655.0000000000003,-6.000000000000696,0.0,105
mixed_endpoint_30116,insert80,30116,mixed,endpoint,fa0f08624a3aad128121356aca7a651364ab2eca0f1d53c07db478f626949d1a,16,16,6670.496607137328,416.906037946083,26457.483035686648,13609.436366738928,216,24,16,0,21,,True,16,66,1.2558427000185477,1.3044876999920234,178,162,38,3,1275.0000000000005,103.9999999999988,5291.496607137328,0.0,8,195,-9.094947017729282e-13,True,943.0121947375768,17.74943008678929,067c2e6df8e6c966033bbbed3584a0739bcf05352c182be73342b943a76bec80,0,0,0,2468.3095803703636,154.26934877314773,9336.54790185183,1867.309580370364,99,105,-6,105,-2,4,4,0,589.0000000000002,11.999999999999133,0.0,94
mixed_endpoint_30110,JSO_p85,30110,mixed,endpoint,cf10a18c64171c6849adc315396d5f204546c9f6c86f8f687f75b8db2b1e351a,16,16,7488.070155139652,468.0043846962282,29810.350775698294,17541.932904496723,189,127,16,1,21,,True,15,70,1.2680359999940265,1.411924200016074,148,132,41,8,1113.0000000000005,412.9999999999904,5962.070155139656,0.0,111,168,-7.275957614183426e-12,True,943.0121947375768,17.74943008678929,3d30f24ea5de3db9e39de8722f48f6d5d6ea3b6f2c71119d16ff6d1ca8499073,15,10,0,2390.5593357759553,149.40995848599715,8507.796678879815,1701.5593357759608,61,61,0,61,0,107,107,1,367.9999999999991,320.99999999999005,0.0,63
omni_endpoint_30035,insert400,30035,omni,endpoint,42b4843e6d87a6d7c65f997dbda69c5ed53b250d92d628a02c635d361b9a7f99,16,16,5230.398273909649,326.89989211935307,22046.991369548246,12016.490212804894,123,22,16,0,16,,True,10,53,0.9703878000436816,1.0081426000106148,97,81,26,0,723.0000000000002,97.99999999999932,4409.39827390965,0.0,6,108,0.0,True,943.0121947375768,17.74943008678929,1e1d46b9c7ea0b666bad002218ccb708a7d1934206f0ad6d5e300ec6897584e1,0,0,0,2382.8032822813757,148.92520514258598,10454.016411406874,2090.803282281377,50,55,-5,55,0,-1,-1,0,295.00000000000085,-3.0000000000006395,0.0,45
boundary_endpoint_30027,insert400,30027,boundary,endpoint,7772945c701de09b7269b2634b84957e6855c8346f70d3d7419db4a178605c5a,11,11,8610.826178517857,782.8023798652597,31134.13089258929,13642.97980278976,391,14,11,0,25,,True,0,60,0.5559830999409314,0.6036583999812137,369,358,22,8,2320.0,63.999999999999226,6226.826178517859,0.0,3,365,-1.8189894035458565e-12,True,943.0121947375768,17.74943008678929,47ffb2e121d77397c86f6d335c8960e49ff31e001ebb787a6fc862ecbfe2a02e,0,0,0,1631.2840483337668,148.29854984852432,6571.420241668842,1314.2840483337704,52,57,-5,57,-4,1,1,0,313.99999999999886,3.0000000000001634,0.0,54
