K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,all_certified,failure,wall_s,cover_mode,route_mode,n_optical_fallback,n_cover_visited,n_insert,n_defer,pending_max,seed,N,error_mode
15,10516.675417051083,701.1116944700722,43653.37708525542,0.0,290,22,15,True,,0.24175580000155605,HEX37,OLD_HEX37,0,37,0,0,0,0,15,smooth
13,12009.305814454565,923.7927549580435,47266.529072272795,0.0,371,118,13,True,,0.29763879999518394,HEX37,OLD_HEX37,2,37,0,0,0,1,13,smooth
15,12242.038821957074,816.135921463805,50050.194109785334,0.0,306,140,15,True,,0.3117636999959359,HEX37,OLD_HEX37,2,37,0,0,0,2,15,smooth
15,12438.038419607517,829.2025613071678,51095.19209803763,0.0,298,150,15,True,,0.2806758999940939,HEX37,OLD_HEX37,3,37,0,0,0,3,15,smooth
15,11999.738887936392,799.9825925290928,50893.69443968197,0.0,296,23,15,True,,0.2586074999999255,HEX37,OLD_HEX37,0,37,0,0,0,4,15,smooth
14,11126.402484406099,794.7430346004356,46347.0124220305,0.0,303,20,14,True,,0.2203604000096675,HEX37,OLD_HEX37,0,37,0,0,0,5,14,smooth
13,11045.88125540992,849.6831734930709,44844.40627704961,0.0,340,19,13,True,,0.21155150000413414,HEX37,OLD_HEX37,0,37,0,0,0,6,13,smooth
16,11134.163696362923,695.8852310226827,47310.81848181463,0.0,269,27,16,True,,0.2657864999928279,HEX37,OLD_HEX37,1,37,0,0,0,7,16,smooth
15,11229.47284623089,748.6315230820594,46447.364231154475,0.0,262,127,15,True,,0.2236494000098901,HEX37,OLD_HEX37,2,37,0,0,0,8,15,smooth
12,11895.260265535877,991.2716887946564,47831.30132767938,0.0,374,39,12,True,,0.2669769000058295,HEX37,OLD_HEX37,1,37,0,0,0,9,12,smooth
15,11913.198749423262,794.2132499615508,48945.99374711629,0.0,336,42,15,True,,0.2782980000047246,HEX37,OLD_HEX37,1,37,0,0,0,10,15,smooth
10,11608.390924972959,1160.839092497296,43056.95462486479,0.0,492,22,10,True,,0.1963462999992771,HEX37,OLD_HEX37,1,37,0,0,0,11,10,smooth
14,11226.398256860728,801.8855897757663,45126.99128430364,0.0,327,90,14,True,,0.30173770000692457,HEX37,OLD_HEX37,1,37,0,0,0,12,14,smooth
16,11760.448978879558,735.0280611799724,50437.24489439778,0.0,258,48,16,True,,0.3224947999988217,HEX37,OLD_HEX37,3,37,0,0,0,13,16,smooth
11,12192.351140725737,1108.3955582477943,45961.75570362865,0.0,441,124,11,True,,0.20779650000622496,HEX37,OLD_HEX37,2,37,0,0,0,14,11,smooth
16,11363.721187082787,710.2325741926742,47328.60593541395,0.0,302,36,16,True,,0.30480749999696855,HEX37,OLD_HEX37,1,37,0,0,0,15,16,smooth
13,10685.376416431041,821.952032033157,40801.88208215521,0.0,416,16,13,True,,0.2207407000096282,HEX37,OLD_HEX37,0,37,0,0,0,16,13,smooth
15,12028.331850813827,801.8887900542552,49846.659254069105,0.0,314,67,15,True,,0.32911069999681786,HEX37,OLD_HEX37,2,37,0,0,0,17,15,smooth
16,11779.084228273508,736.1927642670943,50015.42114136757,0.0,255,91,16,True,,0.3301956999930553,HEX37,OLD_HEX37,2,37,0,0,0,18,16,smooth
14,10836.572724477443,774.0409088912459,42157.86362238722,0.0,393,18,14,True,,0.17310299999371637,HEX37,OLD_HEX37,0,37,0,0,0,19,14,smooth
16,12580.150097622018,786.2593811013761,51940.75048811011,0.0,291,155,16,True,,0.29686010000295937,HEX37,OLD_HEX37,3,37,0,0,0,20,16,smooth
12,11249.773542385085,937.4811285320903,44258.86771192542,0.0,385,34,12,True,,0.16141349999816157,HEX37,OLD_HEX37,1,37,0,0,0,21,12,smooth
15,11307.713438240502,753.8475625493668,46343.56719120249,0.0,310,63,15,True,,0.1969729999982519,HEX37,OLD_HEX37,2,37,0,0,0,22,15,smooth
10,11088.708258151442,1108.8708258151441,41293.54129075721,0.0,459,34,10,True,,0.2132467000046745,HEX37,OLD_HEX37,1,37,0,0,0,23,10,smooth
12,10048.142516531165,837.3452097109304,39375.712582655826,0.0,357,15,12,True,,0.15378900000359863,HEX37,OLD_HEX37,0,37,0,0,0,24,12,smooth
13,10806.889587995,831.2991990765385,42344.44793997501,0.0,378,31,13,True,,0.23161450000770856,HEX37,OLD_HEX37,1,37,0,0,0,25,13,smooth
16,11347.171543639419,709.1982214774637,47750.8577181971,0.0,277,51,16,True,,0.2595385000022361,HEX37,OLD_HEX37,1,37,0,0,0,26,16,smooth
10,10158.628331947464,1015.8628331947464,37678.141659737325,0.0,433,14,10,True,,0.14226670000061858,HEX37,OLD_HEX37,0,37,0,0,0,27,10,smooth
14,11278.226584529702,805.587613180693,45816.13292264852,0.0,345,21,14,True,,0.2573741000087466,HEX37,OLD_HEX37,0,37,0,0,0,28,14,smooth
16,11624.441857315536,726.527616082221,49672.209286577694,0.0,235,98,16,True,,0.2868548999977065,HEX37,OLD_HEX37,2,37,0,0,0,29,16,smooth
