K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,all_certified,failure,wall_s,cover_mode,route_mode,n_optical_fallback,n_cover_visited,n_insert,n_defer,pending_max,seed,N,error_mode
15,10443.421835885101,696.2281223923401,36297.109179425504,13185.483928997237,524,15,15,True,,0.41886499999964144,HEX37,ROUTE_INSERT_V1,0,37,19,36,11,0,15,smooth
13,11211.043952160953,862.3879963200733,38335.219760804765,15667.842498140008,586,13,13,True,,0.38022380000620615,HEX37,ROUTE_INSERT_V1,0,37,15,36,8,1,13,smooth
15,9701.512431758885,646.7674954505924,35247.562158794426,12034.867126699603,434,17,15,True,,0.3127394000039203,HEX37,ROUTE_INSERT_V1,0,37,23,36,9,2,15,smooth
15,11958.688122832687,797.2458748555125,39018.44061416344,16209.914557728114,686,15,15,True,,0.4565257000067504,HEX37,ROUTE_INSERT_V1,0,37,18,36,14,3,15,smooth
15,10639.930191396676,709.3286794264451,37189.65095698336,13377.53504196432,527,16,15,True,,0.39961740000580903,HEX37,ROUTE_INSERT_V1,0,37,19,36,10,4,15,smooth
14,10766.488839793656,769.0349171281183,36242.4441989683,13539.773523841315,580,15,14,True,,0.30608619999838993,HEX37,ROUTE_INSERT_V1,0,37,19,36,9,5,14,smooth
13,10499.094955264012,807.6226888664625,36075.47477632006,11923.648074992385,542,14,13,True,,0.34537229999841657,HEX37,ROUTE_INSERT_V1,0,37,17,36,10,6,13,smooth
16,10005.105806573882,625.3191129108676,36340.5290328694,14887.592488732835,448,18,16,True,,0.372213800001191,HEX37,ROUTE_INSERT_V1,0,37,25,36,8,7,16,smooth
15,10415.75708963851,694.3838059759006,35998.785448192546,11759.803578435345,529,16,15,True,,0.36504340000101365,HEX37,ROUTE_INSERT_V1,0,37,18,36,8,8,15,smooth
12,10208.447702511383,850.7039752092819,34102.2385125569,11310.920287391531,560,13,12,True,,0.2989274999999907,HEX37,ROUTE_INSERT_V1,0,37,14,36,6,9,12,smooth
15,10610.78484979211,707.3856566528073,36818.924248960546,12996.499008610535,534,16,15,True,,0.3144380000012461,HEX37,ROUTE_INSERT_V1,0,37,14,36,10,10,15,smooth
10,10845.350329513838,1084.5350329513838,35316.75164756918,9526.952590633004,628,10,10,True,,0.23524629999883473,HEX37,ROUTE_INSERT_V1,0,37,10,36,6,11,10,smooth
14,10064.624929776151,718.9017806982965,34898.12464888076,11969.515240174062,507,19,14,True,,0.3630025000020396,HEX37,ROUTE_INSERT_V1,0,37,31,36,9,12,14,smooth
16,10715.389285394387,669.7118303371492,38206.94642697192,12698.820350388873,505,16,16,True,,0.30304009999963455,HEX37,ROUTE_INSERT_V1,0,37,19,36,9,13,16,smooth
11,10243.776800306701,931.2524363915182,33653.88400153352,9478.507255525308,581,14,11,True,,0.2330320000037318,HEX37,ROUTE_INSERT_V1,0,37,18,36,6,14,11,smooth
16,10285.13446461309,642.8209040383181,35640.67232306546,13026.077922397022,518,17,16,True,,0.37908660000539385,HEX37,ROUTE_INSERT_V1,0,37,19,36,10,15,16,smooth
13,10545.813524120917,811.2164249323782,36219.06762060457,14105.074233901141,544,15,13,True,,0.24587450000399258,HEX37,ROUTE_INSERT_V1,0,37,20,36,5,16,13,smooth
15,10376.842186389918,691.7894790926613,35849.21093194959,14010.697095873664,528,15,15,True,,0.3141124999965541,HEX37,ROUTE_INSERT_V1,0,37,18,36,9,17,15,smooth
16,10333.59271501435,645.8495446883969,36957.96357507177,14044.220830347116,482,18,16,True,,0.3321222999948077,HEX37,ROUTE_INSERT_V1,0,37,21,36,9,18,16,smooth
14,10509.606518090037,750.686179863574,36283.03259045019,14429.856310328141,535,17,14,True,,0.27184079999278765,HEX37,ROUTE_INSERT_V1,0,37,27,36,6,19,14,smooth
16,11520.856368952038,720.0535230595024,38434.28184476016,14528.135511304969,630,19,16,True,,0.3515439000038896,HEX37,ROUTE_INSERT_V1,0,37,18,36,11,20,16,smooth
12,10424.826329888561,868.7355274907135,34484.13164944281,11171.049623225621,584,12,12,True,,0.25637829999323003,HEX37,ROUTE_INSERT_V1,0,37,10,36,8,21,12,smooth
15,10485.568487995599,699.0378991997065,37757.842439978005,14561.57501769539,482,16,15,True,,0.23502440001175273,HEX37,ROUTE_INSERT_V1,0,37,21,36,8,22,15,smooth
10,10285.49550583946,1028.549550583946,34387.47752919729,9318.430515260261,565,12,10,True,,0.2636993999913102,HEX37,ROUTE_INSERT_V1,0,37,17,36,5,23,10,smooth
12,10434.000591800574,869.5000493167145,34520.00295900285,11646.724444773632,584,12,12,True,,0.3086578000074951,HEX37,ROUTE_INSERT_V1,0,37,12,36,9,24,12,smooth
13,10431.83526579375,802.4488665995193,35814.176328968744,12072.141702673809,540,13,13,True,,0.3345180999895092,HEX37,ROUTE_INSERT_V1,0,37,17,36,8,25,13,smooth
16,10440.5138710637,652.5321169414813,36242.56935531849,15080.230648604582,525,16,16,True,,0.3355078000022331,HEX37,ROUTE_INSERT_V1,0,37,21,36,10,26,16,smooth
10,10407.375212234598,1040.7375212234597,33911.876061172996,10341.233917156227,602,10,10,True,,0.21655929999542423,HEX37,ROUTE_INSERT_V1,0,37,9,36,6,27,10,smooth
14,11476.949261727534,819.7820901233953,38504.746308637674,14577.747104861657,623,18,14,True,,0.3916827000066405,HEX37,ROUTE_INSERT_V1,0,37,30,36,10,28,14,smooth
16,9714.933027446232,607.1833142153895,34879.66513723114,11682.283532727266,449,17,16,True,,0.3237695999996504,HEX37,ROUTE_INSERT_V1,0,37,24,36,8,29,16,smooth
