session_id,source_file,source_line,request_id,command,accepted,idempotent_replay,x_m,y_m,channel,receiver_channel_after,measure_result,clear_result,bearing_deg,bearing_rad,bearing_missing_reason,repeated_site_channel,virtual_time_response_s,effective_virtual_time_s,reconstructed_delta_s,timing_residual_s,real_timestamp_ms
20260910-193306-p3,simulator_automation/evidence/20260910-193306-p3/requests.jsonl,1,9ac8f6a75e7e47d7bd9b46fa54e96033,/enter,True,False,,,,1,,,,,not_measurement,False,0,0,0.0,0.0,1789039986376
20260910-193306-p3,simulator_automation/evidence/20260910-193306-p3/requests.jsonl,2,d8fb571dbbf44cf5a34105811f6490be,/measure,True,False,0,0,1,1,no_signal,,,,no_signal,False,5,5,5.0,0.0,1789039986380
20260910-193306-p3,simulator_automation/evidence/20260910-193306-p3/requests.jsonl,3,978a9add0932449fa34a3f7550f447a9,/measure,True,False,0,0,2,2,no_signal,,,,no_signal,False,11,11,6.0,0.0,1789039986392
20260910-193306-p3,simulator_automation/evidence/20260910-193306-p3/requests.jsonl,4,0814a97647064339bf0bf1e05c982fee,/clear,True,False,0,0,1,2,,no_target_in_range,,,not_measurement,False,14,14,3.0,0.0,1789039986406
20260910-193306-p3,simulator_automation/evidence/20260910-193306-p3/requests.jsonl,5,b9328fa2425a4286ab635a81eeff76eb,/measure,True,False,0,0,2,2,no_signal,,,,no_signal,True,19,19,5.0,0.0,1789039986418
20260910-193306-p3,simulator_automation/evidence/20260910-193306-p3/requests.jsonl,6,8cd03c1dd58c40b5b9f8b5c5e2960ac3,/exit,True,False,,,,2,,,,,not_measurement,False,19,19,0.0,0.0,1789039986431
20260910-193359-p4,simulator_automation/evidence/20260910-193359-p4/requests.jsonl,1,d304eb3ba3dd4146aa8c2f32d7464bf3,/enter,True,False,,,,1,,,,,not_measurement,False,0,0,0.0,0.0,1789040039596
20260910-193359-p4,simulator_automation/evidence/20260910-193359-p4/requests.jsonl,2,30492475453946c3abc33b893ae358a6,/measure,True,False,0,0,1,1,no_signal,,,,no_signal,False,5,5,5.0,0.0,1789040039599
20260910-193359-p4,simulator_automation/evidence/20260910-193359-p4/requests.jsonl,3,e4ae98f1108a4933a6ac5523816b1374,/measure,True,False,0,0,2,2,direction,,97.39,1.6997761585172775,,False,11,11,6.0,0.0,1789040039601
20260910-193359-p4,simulator_automation/evidence/20260910-193359-p4/requests.jsonl,4,d13692733b7a4bd2904ffba0bd52cead,/clear,True,False,0,0,1,2,,no_target_in_range,,,not_measurement,False,14,14,3.0,0.0,1789040039605
20260910-193359-p4,simulator_automation/evidence/20260910-193359-p4/requests.jsonl,5,53917e4326d54d20ab7511fc0ee423d0,/measure,True,False,0,0,2,2,direction,,97.39,1.6997761585172775,,True,19,19,5.0,0.0,1789040039617
20260910-193359-p4,simulator_automation/evidence/20260910-193359-p4/requests.jsonl,6,5811b8087e6e44df9cd0b6756cbcb209,/exit,True,False,,,,2,,,,,not_measurement,False,19,19,0.0,0.0,1789040039621
