scene_id,variant,seed,source_kind,error_mode,scenario_sha256,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,n_optical_fallback,n_cover_visited,failure,all_certified,n_probe,n_replan,planner_wall_s,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s,failed_clears,switches,accounting_residual_s,full_success,certificate_max_distance_m,certificate_hull_margin_m,event_sha256,delta_T,delta_T_over_K,delta_move_m,delta_movement_s,delta_n_measure,delta_discovery_measure,delta_refine_measure,delta_discovery_no_signal,delta_refine_no_signal,delta_failed_clears,delta_n_clear,delta_n_optical_fallback,delta_measure_s,delta_clear_s,delta_after_last_clear_s,delta_switches
mixed_endpoint_10000,baseline,10000,mixed,endpoint,ea32df438d254b96f1f422344eb32ad37b2991e070fba32fb105c0e1bd9186ec,11,11,6668.629132993378,606.2390120903071,23918.14566496689,8814.376126601497,308,13,11,0,25,,True,6,54,0.7565734001400415,0.8081360999785829,285,274,23,1,1823.9999999999995,60.999999999999744,4783.629132993378,953.538801216504,2,284,-9.094947017729282e-13,True,943.0121947375768,17.74943008678929,57ff3beaca8f8ccfeb830b368a9dac93c21810b6f25c86b334184052b71c5373,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_10001,baseline,10001,mixed,endpoint,7c02f83f62299988f3f50a5f0d4de8c0c5aa610034174a35aef5de357b4fcb12,13,13,6534.69420533647,502.6687850258823,23078.471026682342,8361.581092561684,311,16,13,0,25,,True,5,63,1.1197826999414249,1.176448199985316,283,270,28,1,1845.000000000001,74.00000000000027,4615.694205336469,426.665006451487,3,290,1.8189894035458565e-12,True,943.0121947375768,17.74943008678929,39df31a6be81a560d85628971a6c7153ddcb41c7cd62ea3590c06492cfb21e17,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_10002,baseline,10002,mixed,endpoint,f1f281afb2e1a12618108ffe1444552d32ff3ae84594462be4d4c76426148b03,16,16,6180.4778390450365,386.2798649403148,25157.38919522516,17369.262728087888,179,23,16,0,18,,True,5,79,2.05175949994009,2.117315699986648,135,119,44,1,1048.0000000000016,101.00000000000072,5031.477839045033,0.0,7,153,4.547473508864641e-12,True,943.0121947375768,17.74943008678929,560f929c3d984fd94604dea0411acee4c63fc354b5da101a565032a774791056,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_10003,baseline,10003,mixed,endpoint,9486a8518f51ff5319dcff5021f5cc138f1fee7c8a6d384273d068cb85e3783b,12,12,6865.88993294661,572.1574944122175,23424.449664733063,9659.55156639848,356,14,12,0,25,,True,3,62,1.132372999796644,1.2073383000097238,329,317,27,2,2114.999999999998,65.99999999999957,4684.889932946612,0.0,2,335,-2.7284841053187847e-12,True,943.0121947375768,17.74943008678929,680ad0a1b3a999de45dcde2931353d4d9275f7d20f70d8096736fcb3c769f561,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_10004,baseline,10004,mixed,endpoint,d703cb3832cdc5da7124f9bb8c889d985095d8ed399cea10a96c94549e7c5206,12,12,7276.256727732659,606.354727311055,26926.28363866329,9060.874845923672,307,17,12,0,25,,True,5,72,1.7658811998844612,1.845986800006358,271,259,36,9,1816.000000000001,75.00000000000055,5385.256727732658,1192.7418423308436,5,281,9.094947017729282e-13,True,943.0121947375768,17.74943008678929,2bab5700dd7afed9ecc53535f58abc8de6b2ff0e8ad8d77481a4d924d2926cd2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_10005,baseline,10005,mixed,endpoint,10c6a0359da956604e43aa0b632e5a02ac8fad495f02a8199848e343ec68f69b,12,12,6652.920956401801,554.41007970015,24579.604782009013,11092.413741441684,284,12,12,0,25,,True,11,65,1.510875600069994,1.592396699998062,244,232,40,8,1677.0000000000002,60.00000000000027,4915.920956401801,130.50702009723682,0,257,-1.8189894035458565e-12,True,943.0121947375768,17.74943008678929,c388dc344cf1c51f56eb51e710a86c5305bece849a210a6060a3e23915bbff5e,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_10006,baseline,10006,mixed,endpoint,1f1a91b9bc11f184d43bc9841d572dd1fa04ffd59b23bd5b130a15f5e56b405c,12,12,6685.040321788209,557.0866934823508,24475.20160894105,8662.240788000478,291,16,12,0,25,,True,6,66,1.6476875999942422,1.7345725999912247,259,247,32,6,1718.0000000000005,71.99999999999872,4895.040321788209,0.0,4,263,-9.094947017729282e-13,True,943.0121947375768,17.74943008678929,1602291fc605ce839795f1dd47e5fdb01fa01f15440b2d4e97ea7eb09c12f711,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_10007,baseline,10007,mixed,endpoint,42bcbcc5f040704d359290c66360df320605ee439d1ae14486d0c23d4318a98f,11,11,6436.465731187496,585.1332482897724,22442.32865593748,7677.511200316919,318,14,11,0,25,,True,8,61,1.2711888000485487,1.34705959999701,287,276,31,2,1883.9999999999995,64.0000000000004,4488.465731187497,913.7322135946616,3,294,0.0,True,943.0121947375768,17.74943008678929,bc07f5c8d0935a90dea15c8f6d3e4b09180ea16004b6efdf1f16adbc85cd0d57,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_10008,baseline,10008,mixed,endpoint,0ec0dc5ea2c790177d6b746c393bc253a8b7a1cd4d7bd927905dd000c5b8e8a5,13,13,7369.535373070557,566.8873363900428,26337.67686535278,9986.09137946291,340,19,13,0,25,,True,7,72,1.8249444999091795,1.9327828999958,304,291,36,4,2019.0,83.00000000000033,5267.5353730705565,795.1495161561561,6,319,1.8189894035458565e-12,True,943.0121947375768,17.74943008678929,23df88bf71e33ad81c1e8ce87a1b6a7b607678b5bb6e20d09750ab3da0dc851d,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
mixed_endpoint_10009,baseline,10009,mixed,endpoint,5b35645a3622adac239efddf4f5cc5bc20f7586b1f36c59c311a6b00b03fb6f0,15,15,7289.428193868826,485.9618795912551,27732.14096934414,12635.352714459952,281,21,15,0,25,,True,6,84,2.187517700076569,2.276412400009576,236,221,45,4,1650.0000000000005,92.99999999999967,5546.428193868826,91.229526925933,6,245,-9.094947017729282e-13,True,943.0121947375768,17.74943008678929,d3c8034a30c97f3b6c7548f012ecb04b73371a0844f0b5da648e06adda5a9179,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0
