variant,scene_id,seed,source_kind,error_mode,scenario_sha256,N,K,T,T_over_K,move_m,localization_move,n_measure,n_clear,n_clear_ok,n_optical_fallback,n_cover_visited,failure,all_certified,n_probe,n_replan,planner_wall_s,wall_s,discovery_measure,discovery_no_signal,refine_measure,refine_no_signal,measure_s,clear_s,movement_s,after_last_clear_s,failed_clears,switches,accounting_residual_s,full_success,certificate_max_distance_m,certificate_hull_margin_m,event_sha256
baseline,mixed_endpoint_10000,10000,mixed,endpoint,ea32df438d254b96f1f422344eb32ad37b2991e070fba32fb105c0e1bd9186ec,11,11,6668.629132993378,606.2390120903071,23918.145664966894,8814.376126601497,308,13,11,0,25,,True,6,54,0.7565734001400415,0.8081360999785829,285,274,23,1,1823.9999999999993,60.999999999999744,4783.629132993378,953.538801216504,2,284,-9.094947017729282e-13,True,943.0121947375769,17.74943008678929,57ff3beaca8f8ccfeb830b368a9dac93c21810b6f25c86b334184052b71c5373
nearest,mixed_endpoint_10000,10000,mixed,endpoint,ea32df438d254b96f1f422344eb32ad37b2991e070fba32fb105c0e1bd9186ec,11,11,7125.862952788137,647.8057229807397,25789.3147639407,7661.245464536263,322,15,11,0,25,,True,5,63,1.0097344999667257,1.0760923999769147,293,282,29,4,1900.999999999999,67.00000000000016,5157.8629527881385,0.0,4,291,-3.637978807091713e-12,True,943.0121947375769,17.74943008678929,2c1670d2ce5242d5478b436840addb9ba0ad57c4086817b9297208c7fc91ac87
reuse,mixed_endpoint_10000,10000,mixed,endpoint,ea32df438d254b96f1f422344eb32ad37b2991e070fba32fb105c0e1bd9186ec,11,11,6584.791398449532,598.6173998590483,23443.956992247655,6979.8555038989025,309,13,11,0,25,,True,6,50,0.9519420001306571,1.0163680000114255,290,279,19,0,1835.0000000000005,61.00000000000079,4688.791398449531,320.6321626993267,2,290,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,0b37ad0b25ab901092f7ea2e93e7f44f4e0c4dcb744eaa6046700fa8dd719e42
early160,mixed_endpoint_10000,10000,mixed,endpoint,ea32df438d254b96f1f422344eb32ad37b2991e070fba32fb105c0e1bd9186ec,11,11,6720.1765232619155,610.925138478356,24160.88261630958,9052.225271112224,308,14,11,0,25,,True,6,55,1.1035178001329768,1.1790216999943368,285,274,23,1,1823.9999999999998,63.999999999999375,4832.1765232619155,953.538801216504,3,284,-9.094947017729282e-13,True,943.0121947375769,17.74943008678929,0c0391967f0089134c320e96f858c214e7a910b2bc0f30c6cd6fe7d268a97e3e
probe_off,mixed_endpoint_10000,10000,mixed,endpoint,ea32df438d254b96f1f422344eb32ad37b2991e070fba32fb105c0e1bd9186ec,11,11,6738.299968256173,612.5727243869248,24036.499841280856,8383.322522624672,313,17,11,0,25,,True,0,64,1.1837673999834806,1.2466128999949433,290,279,23,0,1858.0000000000023,72.99999999999993,4807.299968256171,320.6321626993267,6,293,1.8189894035458565e-12,True,943.0121947375769,17.74943008678929,a4b01bc610a5b72d491055cb8ed44105e8852c099002d182ad70b8947f4e4189
nearest_early,mixed_endpoint_10000,10000,mixed,endpoint,ea32df438d254b96f1f422344eb32ad37b2991e070fba32fb105c0e1bd9186ec,11,11,6905.869048204261,627.8062771094783,25089.34524102131,9324.182029694688,306,17,11,0,25,,True,7,61,1.148911200085422,1.225935299997218,279,268,27,3,1814.9999999999993,73.00000000000014,5017.869048204263,1838.1741537859543,6,285,-9.094947017729282e-13,True,943.0121947375769,17.74943008678929,02d8537770b86520029be1629fd62f777e96f08c20e96a08143e7894e506b82f
nearest_reuse,mixed_endpoint_10000,10000,mixed,endpoint,ea32df438d254b96f1f422344eb32ad37b2991e070fba32fb105c0e1bd9186ec,11,11,7112.300776454966,646.5727978595423,25761.50388227483,8088.853014206797,320,15,11,0,25,,True,6,60,1.2388660999422427,1.3025802000192925,293,282,27,1,1893.0,67.00000000000003,5152.300776454967,320.6321626993267,4,293,0.0,True,943.0121947375769,17.74943008678929,42d61be87f358d5f8b1fb258e8202d956ef888930c0977f2493436c83adab9c1
full,mixed_endpoint_10000,10000,mixed,endpoint,ea32df438d254b96f1f422344eb32ad37b2991e070fba32fb105c0e1bd9186ec,11,11,6490.78362996853,590.0712390880482,23043.918149842648,7852.23409252578,305,17,11,0,25,,True,8,59,1.2071252000168897,1.2776994000014383,279,268,26,3,1809.0000000000005,73.00000000000031,4608.7836299685305,704.468784681736,6,284,0.0,True,943.0121947375769,17.74943008678929,31bad97e3d7defd53d4391fbd1be6a85bc5bf2279d9ead4f6f145cabe7335cb4
reuse_early,mixed_endpoint_10000,10000,mixed,endpoint,ea32df438d254b96f1f422344eb32ad37b2991e070fba32fb105c0e1bd9186ec,11,11,6925.134242066502,629.557658369682,25590.67121033251,9060.618553063678,292,17,11,0,25,,True,7,57,1.3453612001612782,1.4255236000171863,269,258,23,1,1733.9999999999995,73.00000000000107,5118.134242066502,0.0,6,274,0.0,True,943.0121947375769,17.74943008678929,01c9c9b99a862d4266a6672e5b65b312a93ef120014b3c3140948c5de97d49aa
probe_strict,mixed_endpoint_10000,10000,mixed,endpoint,ea32df438d254b96f1f422344eb32ad37b2991e070fba32fb105c0e1bd9186ec,11,11,6531.574480439634,593.7794982217848,23082.872402198165,6673.218857677172,312,14,11,0,25,,True,3,57,1.0529961999272928,1.1184196000103839,290,279,22,0,1851.000000000001,63.999999999999574,4616.574480439633,320.6321626993267,3,291,9.094947017729282e-13,True,943.0121947375769,17.74943008678929,2d17e741f88ce8e398de96072cbb53100f36312859b065063733d186bff36d5b
