variant,label,cases,source_total,cleared_total,full_success,failures,ratio_sum_T_K,p95_T_over_K,paired_wins,paired_losses,paired_ties,worst_delta_T_over_K,worst_scene,delta_T_over_K,improvement_pct,movement_reduction_pct,probe_reduction_pct,mean_T,mean_T_over_K,mean_move_m,mean_movement_s,mean_n_measure,mean_discovery_measure,mean_refine_measure,mean_discovery_no_signal,mean_refine_no_signal,mean_failed_clears,mean_n_clear,mean_n_optical_fallback,mean_measure_s,mean_clear_s,mean_after_last_clear_s,mean_switches,ci95_delta_low,ci95_delta_high,block_signflip_p,independent_seed_blocks,holm_p
baseline,冻结基线 TRI25 + V4,400,5133,5133,400,0,530.8440950637333,696.2198889793643,0,0,400,0.0,mixed_endpoint_10000,0.0,0.0,0.0,0.0,6812.056849905359,543.5402015904275,24864.371749526792,4972.87434990536,297.985,263.79,34.195,250.9575,4.2325,4.3275,17.16,0.035,1762.0375,77.14500000000001,371.01998600653855,272.1125,0.0,0.0,1.0,200,1.0
nearest,A 就近任务调度,400,5133,5133,400,0,553.9688073546045,738.5259912168663,92,308,0,134.74706001137713,mixed_smooth_10029,24.521706933594878,-4.51147989823808,-5.910422218453926,-0.21729281675251233,7108.8047203779615,568.0619085240223,26333.961101889807,5266.792220377963,298.6325,262.815,35.8175,249.9825,4.155,4.94,17.7725,0.0425,1763.03,78.98250000000003,815.5624924531363,269.8675,19.913369650183608,28.93731321962293,9.999000099990002e-05,200,0.0018998100189981002
reuse,B 覆盖站复用定位,400,5133,5133,400,0,526.2985279218806,694.5098772808375,216,153,31,98.55284181149483,omni_endpoint_10017,-4.377175504961096,0.8053085111558222,1.0944071078100581,0.28273235229961946,6753.725859557532,539.1630260854663,24592.25429778766,4918.450859557533,297.1425,263.6625,33.48,250.83,4.3025,4.4175,17.25,0.0375,1757.86,77.415,333.8140670790126,272.1475,-6.889747007784891,-1.9340567614034694,0.00039996000399960006,200,0.0031996800319968005
early160,C 提前清除（160 m）,400,5133,5133,400,0,527.7757724995729,700.8319977206021,204,179,17,69.98046954513256,mixed_smooth_10030,-2.6658118234666652,0.49045347808064355,0.5087952665659312,1.1225397251539593,6772.68260060077,540.8743897669607,24737.863003003848,4947.57260060077,294.64,262.685,31.955,249.8525,4.1775,5.1175,17.95,0.02,1745.595,79.51500000000007,377.11412312655716,272.395,-5.245027914890547,-0.32874492538562017,0.030896910308969103,200,0.10358964103589641
nearest_reuse,A + B,400,5133,5133,400,0,547.5179567327306,730.1645480475219,111,289,0,156.34825256172252,mixed_endpoint_10081,17.959032847639854,-3.304085474283358,-4.265990148563525,-0.062083661929301925,7026.024179772765,561.4992344380673,25925.083398863826,5185.016679772765,298.17,263.135,35.035,250.3025,4.1275,5.16,17.9925,0.0375,1761.365,79.6425,761.2827498028829,270.515,13.529987463501023,22.09799404208943,9.999000099990002e-05,200,0.0018998100189981002
nearest_early,A + C,400,5133,5133,400,0,550.3872043902479,732.6148838715612,107,293,0,148.3354852603406,mixed_endpoint_10081,20.82792705203914,-3.831901852171282,-5.1959275914022385,0.7525546587915488,7062.843800337857,564.3681286424667,26156.306501689283,5231.261300337857,295.7425,262.86,32.8825,250.0275,4.08,5.885,18.7175,0.03,1749.765,81.81750000000007,786.5877154116001,271.0525,16.25228837967209,25.34200617908701,9.999000099990002e-05,200,0.0018998100189981002
reuse_early,B + C,400,5133,5133,400,0,525.7366365866377,696.9399120853252,232,165,3,74.6695594981428,mixed_endpoint_10160,-4.6949577469850405,0.8637737803473211,0.982408914238142,1.3037569005151184,6746.515388998028,538.8452438434424,24620.10194499014,4924.020388998028,294.1,262.48,31.62,249.6475,4.285,5.2075,18.04,0.0275,1742.71,79.7850000000001,381.3225089254019,272.21,-8.266452086182664,-1.482168203460812,0.0038996100389961006,200,0.023397660233976603
full,A + B + C,400,5133,5133,400,0,545.3863076380538,723.6684500094328,120,280,0,127.11453876881342,mixed_endpoint_10121,15.620452137515526,-2.8738356595904513,-3.9803527885986956,1.036125979495628,6998.669792765327,559.160653727943,25854.061463826634,5170.812292765327,294.8975,262.42,32.4775,249.5875,4.1125,6.1225,18.955,0.0375,1745.3275,82.53000000000006,715.060192338108,270.84,11.052959132083629,19.86378225023184,9.999000099990002e-05,200,0.0018998100189981002
probe_off,关闭已发现频道顺路探测,400,5133,5133,400,0,550.4207660525581,724.7003326627643,48,322,30,143.09801499199352,mixed_smooth_10045,19.766676857265075,-3.636654068903611,-5.230981363304332,0.7668171216672071,7063.27448036945,563.3068784476926,26165.02240184725,5233.004480369451,295.7,261.2775,34.4225,248.445,4.615,6.63,19.4625,0.0975,1746.2175,84.0525000000001,372.87084683684765,267.7175,16.689818322800516,22.89166607681522,9.999000099990002e-05,200,0.0018998100189981002
probe_strict,收紧顺路探测门槛,400,5133,5133,400,0,537.666364003939,708.9682462559094,92,257,51,143.00172847946965,mixed_smooth_10045,6.882159876701812,-1.2661731103907892,-1.7777297384734547,0.16192090205883192,6899.603616080546,550.4223614671293,25306.39308040273,5061.278616080546,297.5025,263.4975,34.005,250.665,4.015,5.29,18.1225,0.065,1758.2925,80.03249999999997,362.22492910415605,270.78,5.1501060865392265,8.686480355457663,9.999000099990002e-05,200,0.0018998100189981002
probe_loose,放宽顺路探测门槛,400,5133,5133,400,0,530.8091670321554,696.2198889793643,132,148,120,67.75124307365115,mixed_endpoint_10066,-0.041562923520512385,0.007646706425568084,0.09311946450675235,-0.1778613017433761,6811.608635940135,543.4986386669069,24841.218179700674,4968.2436359401345,298.515,263.7825,34.7325,250.95,4.515,4.5325,17.365,0.03,1765.605,77.76,385.027088877763,273.03,-1.0153330629089254,0.9769880187043996,0.9386061393860614,200,0.9386061393860614
